,MDY,UDN,DBA,EMB
MDY,1.0,0.17616626841357177,0.19653325200669006,0.4304452438078742
UDN,0.17616626841357177,1.0,0.18473516564078235,0.204158204322265
DBA,0.19653325200669006,0.18473516564078235,1.0,0.11885338183468558
EMB,0.4304452438078742,0.204158204322265,0.11885338183468558,1.0
