date,small_cap_return,large_cap_return,weight_small_cap,weight_large_cap,turnover,leverage,net_return
2000-05-30 13:30:00+00:00,0.036910190742838855,0.032608360848282336,0.0,0.0,0.0,3.0,0.0
2000-05-31 13:30:00+00:00,0.003625781428142405,0.0021926221125263545,0.0,0.0,0.0,3.0,0.0
2000-06-01 13:30:00+00:00,0.022660248118863136,0.01750532159293261,0.0,0.0,0.0,3.0,0.0
2000-06-02 13:30:00+00:00,0.05202306989266825,0.017419117318281607,0.0,0.0,0.0,3.0,0.0
2000-06-05 13:30:00+00:00,-0.003663209303798931,-0.004861076598347114,0.0,0.0,0.0,3.0,-0.0
2000-06-06 13:30:00+00:00,0.009804893695851247,-0.004460693798935655,0.0,0.0,0.0,3.0,0.0
2000-06-07 13:30:00+00:00,0.001212724263327969,0.006934615874783612,0.0,0.0,0.0,3.0,0.0
2000-06-08 13:30:00+00:00,-0.0024236523058893678,-0.003920501679285704,0.0,0.0,0.0,3.0,-0.0
2000-06-09 13:30:00+00:00,0.01761809718058638,-0.00212718923328592,0.0,0.0,0.0,3.0,0.0
2000-06-12 13:30:00+00:00,-0.029701520796707848,-0.011724273856463241,0.0,0.0,0.0,3.0,-0.0
2000-06-13 13:30:00+00:00,0.012767666133385536,0.018765872565123853,0.0,0.0,0.0,3.0,0.0
2000-06-14 13:30:00+00:00,-0.0048607459032126155,0.0016935940885649536,0.0,0.0,0.0,3.0,0.0
2000-06-15 13:30:00+00:00,0.0012214879425109793,0.0021144401723918183,0.0,0.0,0.0,3.0,0.0
2000-06-16 13:30:00+00:00,-0.005488005879044189,-0.008216785151454964,0.0,0.0,0.0,3.0,-0.0
2000-06-19 13:30:00+00:00,0.02513736142591294,0.012790793108518494,0.0,0.0,0.0,3.0,0.0
2000-06-20 13:30:00+00:00,0.006578908961750951,-0.0035785949246970317,0.0,0.0,0.0,3.0,0.0
2000-06-21 13:30:00+00:00,0.005327138891135785,-0.00042285562932387055,0.0,0.0,0.0,3.0,0.0
2000-06-22 13:30:00+00:00,-0.030159239578560704,-0.015215231405531604,0.0,0.0,0.0,3.0,-0.0
2000-06-23 13:30:00+00:00,-0.00670793481305354,-0.00858383917904526,0.0,0.0,0.0,3.0,-0.0
2000-06-26 13:30:00+00:00,0.012277778285574081,0.012878434134409034,0.0,0.0,0.0,3.0,0.0
2000-06-27 13:30:00+00:00,-0.01576659793198132,-0.007371946055722223,0.0,0.0,0.0,3.0,-0.0
2000-06-28 13:30:00+00:00,0.02526140165933377,0.0027981781750783252,0.0,0.0,0.0,3.0,0.0
2000-06-29 13:30:00+00:00,-0.015625395335193804,-0.009445789839666263,0.0,0.0,0.0,3.0,-0.0
2000-06-30 13:30:00+00:00,0.009615770402597867,0.007585330769596554,0.0,0.0,0.0,3.0,0.0
2000-07-03 13:30:00+00:00,0.014058554646957377,0.013766526896138442,0.0,0.0,0.0,3.0,0.0
2000-07-05 13:30:00+00:00,-0.011329442415777491,-0.01803519755176075,0.0,0.0,0.0,3.0,-0.0
