scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,total_trading_cost,total_short_cost,total_financing_cost,average_position,max_position,total_overlay_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
BTC_LS_1x,10000.0,167852.81851896126,15.785281851896126,0.32610149002566624,0.6687352290953198,0.7549257870954371,1.050346698260562,0.4021886365998964,-0.810817264213452,-0.39832889679390737,1053.0,1.127054651096205,0.5300096805421104,0.16461243494932895,60.1246918652424,10984.094798083504,301.0,0.1317447274719255,0.1317447274719255,2.6280127665830872,-0.3816361421311594,0.5333333333333333,3650.0,0.5555555555555556,9,-0.06697487652265124,7512.5,3471.594798083504,0.0,,,,0.0126,0.01764,False,False,False,False,False,True,False
BTC_LS_2x,10000.0,20774.10079428008,1.0774100794280077,0.07590511333821737,1.3374704581906396,0.7250185844689859,1.00923385074977,0.07745634465532446,-0.9799728308376806,-0.7135569370573266,3139.0,1.1217205304392344,0.5280735721200387,0.3292248698986579,120.2493837304848,25966.546885694734,301.0,0.263489454943851,0.263489454943851,6.827054208714474,-0.8095846683190782,0.49166666666666664,3650.0,0.5555555555555556,9,-0.10944551946081307,15025.0,6943.189596167008,3998.35728952772,,,,0.017,0.0182,False,False,False,False,False,True,False
BTC_LS_3x,10000.0,19.104518548080673,-0.9980895481451919,-0.4655250120023985,2.0062056872859597,0.7150495169268356,0.9954800121837942,-0.46555856200413853,-0.9999279360224939,-0.9469934898402695,3139.0,1.1199480429563473,0.5280735721200387,0.4938373048479869,180.37407559572722,40948.99897330596,301.0,0.3952341824157765,0.3952341824157765,9.31005152343423,-0.9705156156709309,0.48333333333333334,3650.0,0.2222222222222222,9,-0.12360240044020046,22537.5,10414.784394250513,7996.71457905544,,,,0.0182,0.0182,False,False,False,False,False,True,False
BLEND_1x,10000.0,62185.61172934103,5.218561172934103,0.20066915387351236,0.1973280334800697,1.4457199002108418,2.2437131809667124,0.7363018859801911,-0.27253652027031616,-0.07517057817553895,484.0,1.2531745199833002,0.5211155378486055,,,,,,,1.5790215537902137,-0.25922328329311595,0.6166666666666667,3650.0,0.7777777777777778,9,0.21066394994213802,,,,,,,0.0016,0.007933333333333332,False,False,False,False,False,True,False
BLEND_2x,10000.0,202129.94916198487,19.212994916198486,0.3509911168896289,0.39465076639587854,1.3024044703528839,2.020823550064164,0.6903964204534732,-0.5083906962598204,-0.16247598360599905,545.0,1.225420177147744,0.5159362549800797,,,,,,,4.837826312633711,-0.49009135617580324,0.6166666666666667,3650.0,0.7777777777777778,9,0.07783427909333109,,,,,,,0.0034,0.007933333333333332,False,False,False,False,False,True,False
BLEND_3x,10000.0,509418.47263146227,49.94184726314623,0.48191874616535313,0.5919736835975642,1.2546314143208912,1.9465212860191543,0.7097338370878377,-0.6790133441329925,-0.25122542855333235,615.0,1.2163059137588796,0.5139442231075697,,,,,,,11.148506687555775,-0.6607275335614988,0.5916666666666667,3650.0,0.7777777777777778,9,0.033557722143728846,,,,,,,0.0048,0.0084,False,True,False,False,False,True,False
BLEND_RISK_OVERLAY,10000.0,91526.71166637754,8.152671166637754,0.24801741442588376,0.2353366906157623,1.4859854759826745,2.069361440211375,0.9228015666784222,-0.2687657058479105,-0.14917275768736465,624.0,1.2898968910620325,0.5171314741035856,,,,,,,1.879473544213338,-0.2336104249707226,0.6,3650.0,0.6666666666666666,9,0.13301269136835148,,,,1.1529874034387575,3.0,1981.388779952648,0.0024,0.007933333333333332,False,False,False,False,False,True,False
