date,international_return,domestic_return,weight_international,weight_domestic,turnover,leverage,net_return
2001-08-28 13:30:00+00:00,-0.011440068383318347,-0.014622474874331104,1.478495645090655,-1.4737360205222427,3.0,3.0,0.002938292276201675
2001-08-29 13:30:00+00:00,-0.004565829119821951,-0.00892109026114396,1.4628779163075618,-1.4517887347364666,0.0,3.0,0.006061456129975722
2001-08-30 13:30:00+00:00,-0.014234591091282,-0.01921430947097491,1.432405290302338,-1.4143659784375686,0.0,3.0,0.006736331620279318
2001-08-31 13:30:00+00:00,0.002406525164786233,0.007324530446620958,1.4463351062865433,-1.4351270080569025,0.0,3.0,-0.0072477647547627665
2001-09-04 13:30:00+00:00,-0.022809167391976692,-0.006394654682558842,1.5033957309248307,-1.5286492510245724,0.11853788565655421,3.0,-0.025016355467272513
2001-09-05 13:30:00+00:00,-0.006142329678678227,0.002468021682163757,1.5143666785716254,-1.553144682377877,0.0,3.0,-0.013342409173127226
2001-09-06 13:30:00+00:00,-0.02266189892467052,-0.025769122180094306,1.4721436770990624,-1.505040294244136,0.0,3.0,0.005369433018562623
2001-09-07 13:30:00+00:00,-0.005902173986013559,-0.018507368526266665,1.4364070405132379,-1.4498843896282476,0.0,3.0,0.018830169797491157
2001-09-10 13:30:00+00:00,-0.011450318874997256,0.012233680839127903,1.470729387057002,-1.5200956023606658,0.0,3.0,-0.03452005898483088
2001-09-17 13:30:00+00:00,-0.04375820721357304,-0.052249023842937725,1.3859554089703703,-1.4197566440940594,0.0,3.0,0.014731712637038185
2001-09-18 13:30:00+00:00,-0.008075360235302975,-0.002396614479039383,1.386024487827937,-1.4279558869386288,0.0,3.0,-0.008124797327871674
2001-09-19 13:30:00+00:00,-0.0027132612928039146,-0.020182873244328547,1.3489129286751607,-1.365377643357288,0.0,3.0,0.02472428861055572
2001-09-20 13:30:00+00:00,-0.04353761313508753,-0.031780357002027304,1.3107256178673827,-1.343032898909458,0.0,3.0,-0.015671577753413192
2001-09-21 13:30:00+00:00,-0.0279753439665128,-0.010788800667358767,1.3034018908821647,-1.3591423768793396,0.0,3.0,-0.022513603229838364
2001-09-24 13:30:00+00:00,0.04634121898902821,0.03515627708355584,1.3472540886721096,-1.3898524697613872,0.0,3.0,0.012283528998193646
2001-09-25 13:30:00+00:00,0.011655200543790878,0.010426699957880148,1.3617642112359505,-1.4031154422777634,0.0,3.0,0.000875624438677519
2001-09-26 13:30:00+00:00,0.005069122947470861,-0.0035376673640007406,1.3530644496676711,-1.3822128532247868,0.0,3.0,0.011531388459974761
2001-09-27 13:30:00+00:00,0.015772862876982652,0.008679588285299245,1.3621342138808634,-1.3817611302554549,0.0,3.0,0.009009344079370806
2001-09-28 13:30:00+00:00,0.019499446743073134,0.021218217205646983,1.3930035841582744,-1.4154575941531125,0.0,3.0,-0.003092961687910287
2001-10-01 13:30:00+00:00,-0.0054017270075328305,-0.00162834616220775,1.501040484452768,-1.5067352433980556,0.19153882168861314,3.0,-0.0060911581391493875
2001-10-02 13:30:00+00:00,0.0035308206749442572,0.01256350100085779,1.5276747992502269,-1.547273220647383,0.0,3.0,-0.01396528242234246
2001-10-03 13:30:00+00:00,0.01021792875654759,0.01676480205656916,1.5599216197303956,-1.590172737637842,0.0,3.0,-0.010665374469989138
2001-10-04 13:30:00+00:00,0.010641949034656317,0.0008385862199189464,1.5533282517890388,-1.5680918138292121,0.0,3.0,0.014931791969838062
2001-10-05 13:30:00+00:00,0.001566425961646578,-0.00195498761841173,1.5477695848435775,-1.556986780515369,0.0,3.0,0.005163456320812884
2001-10-08 13:30:00+00:00,-0.005995647135856208,-0.006527386366900312,1.5376472944296602,-1.5459767527469412,0.0,3.0,0.0005478565459298189
2001-10-09 13:30:00+00:00,-0.0026217948812063963,-0.0053512897489083056,1.5276485120255994,-1.5317204904083495,0.0,3.0,0.00390625628307125
2001-10-10 13:30:00+00:00,0.020157452311259094,0.022272679954520536,1.5641626820625787,-1.5715838202721129,0.0,3.0,-0.0036573356934419344
2001-10-11 13:30:00+00:00,0.006872830085112636,0.015510091174891993,1.5972107696879103,-1.618555069021623,0.0,3.0,-0.013960501462432844
2001-10-12 13:30:00+00:00,-0.001279769815317633,-0.004545659262217505,1.587265268907258,-1.6032168233706907,0.0,3.0,0.0049780202488429424
2001-10-15 13:30:00+00:00,-0.015805296895314958,-0.0018266320665886182,1.5981263710612292,-1.637113617341644,0.0,3.0,-0.022494029027755363
2001-10-16 13:30:00+00:00,0.01388903873820202,0.006312675679761126,1.601858896587081,-1.6286751718555124,0.0,3.0,0.011526554298695809
2001-10-17 13:30:00+00:00,0.0008562933293581043,-0.02127427726348108,1.5479901711331088,-1.539103037548775,0.0,3.0,0.03568523080560486
2001-10-18 13:30:00+00:00,-0.008126868964822287,-0.0021362554848004534,1.5503360490607179,-1.5507452511306452,0.0,3.0,-0.009627713434312454
2001-10-19 13:30:00+00:00,-0.009918307831711437,-0.0006521170912465735,1.5578610809900864,-1.5728561648866337,0.0,3.0,-0.014700760155069192
2001-10-22 13:30:00+00:00,0.006969205613365448,0.019748533113535638,1.6016150935035034,-1.6375528826130492,0.0,3.0,-0.02053986532493014
2001-10-23 13:30:00+00:00,0.007958182997623187,-0.00511488145446537,1.5814874236355299,-1.5960016770870913,0.0,3.0,0.020786517415522583
2001-10-24 13:30:00+00:00,0.010041420342383311,-0.002663429206481327,1.5663602919089652,-1.560852362316716,0.0,3.0,0.019795900006946664
2001-10-25 13:30:00+00:00,-0.001444747242492661,0.017952605710007674,1.613502217492676,-1.639061259306237,0.0,3.0,-0.030619679205008982
2001-10-26 13:30:00+00:00,0.0064669875212761685,-0.002261113416166305,1.6018230924499872,-1.6130860439033334,0.0,3.0,0.013805284649094873
2001-10-29 14:30:00+00:00,-0.02088244852850618,-0.026015905973483355,1.555646995308844,-1.558371750097385,0.0,3.0,0.008180589105150451
2001-10-30 14:30:00+00:00,-0.011311477819099913,-0.012004816858605105,1.536857752545507,-1.5384699553155172,0.0,3.0,0.0007759835154401524
2001-10-31 14:30:00+00:00,0.00279435870866096,-0.0033911578008942733,1.5271386360103454,-1.519310942659103,0.0,3.0,0.009176408774890867
2001-11-01 14:30:00+00:00,0.021076876386752152,0.025614385542244822,1.5426682331667372,-1.5495236143762816,0.04644957866944832,3.0,-0.007164805982891188
2001-11-02 14:30:00+00:00,-8.567088131750111e-05,0.00681970602291293,1.559747534098818,-1.5774982477071045,0.0,3.0,-0.011034774733041108
2001-11-05 14:30:00+00:00,0.009980414359746392,0.013088857921886854,1.5838928899494058,-1.6068486566857008,0.0,3.0,-0.005416041209682356
2001-11-06 14:30:00+00:00,0.010388604236055254,0.015540483259274485,1.6146402603328653,-1.6463938811057062,0.0,3.0,-0.00885208572374309
2001-11-07 14:30:00+00:00,-0.009027829387868058,-0.001334389034304495,1.620670525919308,-1.6653723003752394,0.0,3.0,-0.012715084312291963
2001-11-08 14:30:00+00:00,0.007170011667762877,0.0031178410336041296,1.6224061730849286,-1.6604483136764103,0.0,3.0,0.006092543025785752
2001-11-09 14:30:00+00:00,-0.0016746376932557094,0.0010658060209718379,1.627537175430107,-1.6702720408499825,0.0,3.0,-0.0048219758017650815
2001-11-12 14:30:00+00:00,-0.01342361379551349,-0.0061215686644141565,1.6251230689167249,-1.680138558519258,0.0,3.0,-0.011958062954817768
2001-11-13 14:30:00+00:00,0.009183955813721889,0.02249452797358731,1.6790081391703406,-1.7587426687199468,0.0,3.0,-0.023204182807640257
2001-11-14 14:30:00+00:00,0.001011048316334806,0.000959705699978608,1.6812531715114705,-1.7610039876877446,0.0,3.0,-0.0003256344720629734
2001-11-15 14:30:00+00:00,0.0042930865735386625,0.0018320935268285599,1.6823201658780043,-1.7578035639838288,0.0,3.0,0.0036561239504557296
2001-11-16 14:30:00+00:00,0.005615774661000161,-0.004440238542010477,1.6636237077062623,-1.7208857890195686,0.0,3.0,0.016917280632994202
2001-11-19 14:30:00+00:00,0.005000186187570144,0.012329366276502496,1.694365917397175,-1.765467989237775,0.0,3.0,-0.013234320388580635
2001-11-20 14:30:00+00:00,-0.006882710047696139,-0.008378565045708108,1.678014136558244,-1.745796501587312,0.0,3.0,0.0027949415994833167
2001-11-21 14:30:00+00:00,-0.00258909729064416,-0.006620123478306428,1.6622375078827476,-1.7223933031260061,0.0,3.0,0.00687752909356038
2001-11-23 14:30:00+00:00,0.0031815623320718966,0.014381040361983288,1.7012388109727683,-1.7824859445755885,0.0,3.0,-0.019816612829745457
2001-11-26 14:30:00+00:00,0.009681508019702356,0.002161335256079644,1.6968672734464787,-1.7646636773594477,0.0,3.0,0.012282690016066649
2001-11-27 14:30:00+00:00,-0.007770141317704038,-0.004312936027802805,1.6936909612307343,-1.7674975298009044,0.0,3.0,-0.005909334421345194
2001-11-28 14:30:00+00:00,-0.01741080077836965,-0.01810646116818826,1.6605835488451273,-1.7317204797871466,0.0,3.0,0.0021792920217775747
