regime,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,family
2014_2017,1049,10000.0,13894.605991294566,0.38946059912945663,0.08224215343477259,0.09575087532612238,1.2441558381505782,1.8937715425477262,0.9136030461848663,-0.09001957007281147,-0.030625245455764546,381.0,1.1855279462562112,0.47950428979980936,,,,,,,0.11735084222977155,-0.007588412986129778,0.64,1520.0416666666667,0.75,4,0.6062899194780768,period
2018_2021,1008,10000.0,7770.431200785183,-0.22295687992148172,-0.06119858528687716,0.12250665531013151,-0.6847655396701887,-1.0700664946250895,-0.14643508746697137,-0.4179229605792436,-0.22301853441575584,989.0,0.910178289616225,0.4384920634920635,,,,,,,0.24631343840063158,-0.22167478985660927,0.3191489361702128,1459.0,0.25,4,-1.7356150388306542,period
2022_plus,1178,10000.0,25426.59398071891,1.542659398071891,0.21988206660269172,0.16837129282661997,1.8035625203646077,2.4727828312574403,1.280410221799887,-0.17172782820618304,-0.039771637152408404,180.0,1.2880797079442494,0.5144312393887945,,,,,,,0.30405463956768264,0.1214389889116938,0.6964285714285714,1714.9583333333333,1.0,4,0.898787894729949,period
2018,251,10000.0,8739.878528237177,-0.12601214717628229,-0.12674148965177756,0.0941258310112228,-2.034596911426126,-3.0992467622767346,-0.8019412627135986,-0.15804335746849008,-0.07919101454261608,232.0,0.7576947785471967,0.398406374501992,,,,,,,-0.12601214717628229,-0.12601214717628229,0.18181818181818182,363.0,0.0,1,,event
2020,253,10000.0,7783.252101433907,-0.22167478985660927,-0.2223443393758907,0.12675881417627635,-2.7893780031547633,-4.3680456266749035,-0.8796162681020647,-0.25277424649687286,-0.15188065676711818,250.0,0.6878265100414307,0.4031620553359684,,,,,,,-0.22167478985660927,-0.22167478985660927,0.18181818181818182,364.0,0.0,1,,event
2022,251,10000.0,13040.546395676827,0.30405463956768264,0.3081367571171596,0.24612587047207146,1.693675002295158,2.6447715362356696,1.7943321145784172,-0.17172782820618304,-0.07037008039433064,151.0,1.2492868338023995,0.5577689243027888,,,,,,,0.30405463956768264,0.30405463956768264,0.45454545454545453,361.0,1.0,1,,event
other_days,2480,10000.0,30946.907793792587,2.094690779379259,0.09173972678712472,0.12142915228146835,1.4312761279166084,2.055000370930094,0.6837998728144321,-0.13416166108591954,-0.03687607459921888,381.0,1.2208017546437773,0.4875,,,,,,,0.25315242019182427,-0.08346016001742518,0.6386554621848739,4701.0,0.7777777777777778,9,0.09652517636589526,event
