alpha_name,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
A01_ts_momentum_12,False,0.020263411307733386,0.6666666666666666,0.7976348998080763,0.5753186832375135,inf,-1.1843868811095692,14668,1466,True,True,False,True,False,True,True
A01_ts_momentum_120,False,0.02002429354376779,1.0,0.4553724830670266,0.6928417762525217,0.5921154699682958,0.4394042734988775,14668,1466,True,True,True,False,True,True,True
A01_ts_momentum_24,False,0.018026104977632337,0.6666666666666666,1.0,0.9449909883222621,inf,-1.563149037604973,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_48,False,0.009759462303632657,1.0,0.8985569863133834,0.8379370459533564,0.9945941437086665,0.005048193448784738,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_72,False,0.016020426730079654,0.6666666666666666,0.7128456017541159,0.5502175631410958,6.647312309911301,-0.686056764256401,14668,1466,True,True,False,True,False,True,True
A02_ema_distance_100,False,0.011705762604381071,0.8333333333333334,0.39570380507168734,0.6678848300715318,1.5174888953194152,-0.25537802970220114,14668,1466,True,True,True,False,False,True,True
A02_ema_distance_20,False,0.024134506252298613,0.8333333333333334,0.6046878680394908,0.7077037419486114,inf,-1.0197087690151205,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_50,False,0.022084244608033113,0.8333333333333334,0.6344766837266865,0.7214883112430981,18.96514141768527,-0.793705093021319,14668,1466,True,True,False,False,False,True,True
A03_donchian_breakout_20,False,-0.005417228719480402,0.3333333333333333,0.6285398315004258,1.0,inf,-0.4721314412524856,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_1,False,-0.005558115100168716,0.5,1.0,0.8667982849759982,1.6530943156303084,-0.28808755603004504,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_2,False,-0.01331363598784926,0.3333333333333333,1.0,0.8568703317118804,1.046150320334461,-0.03174151170917888,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_3,False,-0.026527034853125034,0.3333333333333333,1.0,0.9750455985089201,0.9115134976195407,0.07013019656853503,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_6,False,-0.02402602554693875,0.16666666666666666,1.0,1.0,1.0257748597625227,-0.01981519952962596,14668,1466,False,False,False,False,False,True,True
A05_bollinger_reversion_20,False,-0.030295520888610313,0.16666666666666666,0.5154931522433664,0.8751759339207629,2.3695880006106265,-0.5296666702599198,14668,1466,False,False,False,False,False,True,True
A06_rsi_reversion_14,False,-0.02571616710133574,0.16666666666666666,0.8438086923923414,0.8535850147685103,3.9496517319534123,-0.7104538358451128,14668,1466,False,False,False,False,False,True,True
A07_atr_percentile,False,0.008238018441837129,0.8333333333333334,1.0,0.9289020965660828,0.6764981371470334,0.37889590435109943,14668,1466,True,True,False,False,True,True,True
A07_volatility_compression,False,0.0049475073091642275,0.6666666666666666,0.5665296725316945,0.6869414394217227,inf,-0.9497017082708012,14668,1466,True,True,False,False,False,True,True
A08_trend_quality,False,0.005957873643825501,0.5,1.0,0.5507491687971122,1.1685181430894516,-0.045358985412737196,14668,1466,True,False,False,True,False,True,True
