,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A18_btc_lead_eth_lag_1,A18_btc_lead_eth_lag_2,A18_btc_lead_eth_lag_3,A19_relative_strength_btc_eth_24
A01_ts_momentum_12,1.0,0.653440862389054,0.44085611670473857,0.33928485475056935,0.2545832035749878,0.6511747341901107,0.8716423017352608,0.7356280232899531,0.5492565552778502,0.32484348555509757,0.5255427457890617,0.744372474644006,-0.23384516115514237,-0.3368266757231935,-0.4167920878593622,-0.5909919058347073,-0.8871809925281365,-0.8491532933908298,-0.7345014533988224,0.026115558933637276,-0.026310822819336957,0.28561804064175417,0.17381212365153464,0.47696276187269326,0.5232374584243359,0.5232374584243359,0.007476732233528535,0.21370360189963986,0.3024827020033114,0.36859391129011404,-0.1421647103102739
A01_ts_momentum_24,0.653440862389054,1.0,0.6164709133834754,0.4724212083842268,0.3517243364726214,0.7732417690660529,0.7864512440927157,0.8402946164275987,0.6913526557440013,0.2716247271085543,0.6557474829155906,0.8438995884094614,-0.12889015566151693,-0.1898956079286397,-0.23712196997362944,-0.34867974112067956,-0.683299176250513,-0.8431856863097198,-0.5585821906271775,0.07351099219654098,0.005253148120989553,0.23817238058943882,0.12182157996980975,0.33548687916765807,0.36545595413020765,0.3654559541302075,0.00313643825084964,0.13704377707437496,0.1942678533190316,0.23773615136800116,-0.23798259664133062
A01_ts_momentum_48,0.44085611670473857,0.6164709133834754,1.0,0.7117736095841013,0.5148566290469637,0.8519408251239327,0.5908467842876781,0.8187088184308057,0.8129006385026337,0.19766410090984599,0.6503285842874966,0.5695211011306883,-0.05457990711901986,-0.08396768291409651,-0.10637552258165042,-0.16623863104185344,-0.4426725586898708,-0.6780259301852029,-0.3654372944651336,0.08872372948644183,0.06414815300236025,0.1722865481386102,0.07760568102040463,0.2532387891390475,0.29877034686231846,0.29877034686231824,-0.008602267784091087,0.09283292938731706,0.13377375420216472,0.1621919833650443,-0.18253488253978392
A01_ts_momentum_72,0.33928485475056935,0.4724212083842268,0.7117736095841013,1.0,0.6803607930201915,0.8476187349460318,0.4674974111274242,0.7253970067323681,0.840836543795915,0.15736708228207857,0.5902660061230043,0.446970305944278,-0.012854351773937622,-0.02385656842708574,-0.03441560854065181,-0.06206122891480308,-0.33542177029259007,-0.5456214147542162,-0.25272186443512007,0.047426709482653595,0.13199416645691947,0.1388753328550339,0.06779088836192716,0.21277563189228038,0.2543726431062276,0.2543726431062277,-0.01620097378105069,0.07490107242875382,0.1067147517030355,0.1315419259807034,-0.1404888855388958
A01_ts_momentum_120,0.2545832035749878,0.3517243364726214,0.5148566290469637,0.6803607930201915,1.0,0.7515337336305907,0.3529426709014406,0.5743423801061392,0.774729871496549,0.12499014376499709,0.49070677139169677,0.3375636036294269,0.006166366631662993,0.00796458932403503,0.0077672529049407375,0.004795897981472894,-0.25582618301335625,-0.41096942571582584,-0.16620828882018837,-0.04283728695132863,0.2549489570310801,0.1076976040547927,0.04826147404318733,0.18015673734462673,0.23185930014245226,0.2318593001424526,-0.0024147491591237236,0.05934149827569206,0.0821583149375632,0.09784357983472163,-0.10852650096342978
A16_momentum_ensemble,0.6511747341901107,0.7732417690660529,0.8519408251239327,0.8476187349460318,0.7515337336305907,1.0,0.7599021821102272,0.9401735659736211,0.953762909808778,0.26546692890972645,0.7455324864308922,0.7311620906183756,-0.09616745723484064,-0.14271440391473933,-0.1797336140880894,-0.26740986079030693,-0.6344406827854046,-0.8303975123540065,-0.5037859570064175,0.047365448590672925,0.12307990994372962,0.232390195425864,0.11904430525383992,0.35831515854029566,0.4136196032569784,0.4136196032569783,-0.00519889850195355,0.14026351164737502,0.19896256744582708,0.24218831121821402,-0.20602535302756067
A02_ema_distance_20,0.8716423017352608,0.7864512440927157,0.5908467842876781,0.4674974111274242,0.3529426709014406,0.7599021821102272,1.0,0.8902752089681139,0.7004341416834157,0.4353399620553422,0.638865432638521,0.8641011074867135,-0.3569632475833515,-0.4891155792568964,-0.5769961137499788,-0.7203948526088503,-0.9333793781573588,-0.9782709703156328,-0.8833437546333514,0.029481995244306888,0.0036539723330650587,0.37952028969831586,0.24119681896566603,0.6186228306178236,0.5693616136671713,0.5693616136671711,0.01255783703995547,0.3224684683841872,0.4385141561737321,0.5145572213407148,-0.1950970864394473
A02_ema_distance_50,0.7356280232899531,0.8402946164275987,0.8187088184308057,0.7253970067323681,0.5743423801061392,0.9401735659736211,0.8902752089681139,1.0,0.9207755329083301,0.3275517659005105,0.771293884512707,0.8363063268109702,-0.18138569004881316,-0.2575398522874498,-0.3138614696567617,-0.4271387740555703,-0.7675568110018013,-0.9452591547328648,-0.6572758093258638,0.06068196790970924,0.07178179751025857,0.2855935579298361,0.1568055764657531,0.4561456913797507,0.47531717145164853,0.4753171714516484,0.0014841223948064163,0.20380651661924126,0.2841362680776737,0.3416937913617964,-0.21552988925536268
A02_ema_distance_100,0.5492565552778502,0.6913526557440013,0.8129006385026337,0.840836543795915,0.774729871496549,0.953762909808778,0.7004341416834157,0.9207755329083301,1.0,0.2473354129016408,0.7296219281765913,0.6690468216751528,-0.08294660396044086,-0.12074584583226566,-0.15055165560069766,-0.21558448913073303,-0.5630554237410931,-0.7763499767272317,-0.44860676051011816,0.02771991091274569,0.1823106028410549,0.2174098532683449,0.10702906685713666,0.34706114351593914,0.3920654682779504,0.3920654682779506,-0.0035267267654536774,0.13638446939665771,0.19156200629483935,0.23207179045779502,-0.18269978936010106
A03_donchian_breakout_20,0.32484348555509757,0.2716247271085543,0.19766410090984599,0.15736708228207857,0.12499014376499709,0.26546692890972645,0.4353399620553422,0.3275517659005105,0.2473354129016408,1.0,0.2049904581624357,0.3336043803414757,-0.46691519333981846,-0.45199811279876634,-0.4295655691150196,-0.3929166457216389,-0.3853786086407628,-0.3743709031634937,-0.5103314861600009,-0.009295670187908793,-0.0008504119263801612,0.882405000549846,0.41648347748690584,0.38719746683170886,0.26028605807682126,0.26028605807682115,-0.00012841806648827885,0.3567878725040876,0.3433591380465756,0.3258538412321305,-0.07695410892097586
