,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy
A01_ts_momentum_12,1.0,0.6550441737883137,0.44911439323919566,0.34564685854557237,0.27550840163052115,0.6548845164116004,0.8690759690370956,0.7355012489247513,0.557584754895085,0.32085278088760755,0.5186928270015738,0.7357586237822544,-0.23132348567346858,-0.33324099915501876,-0.4116712128305535,-0.5898124772999408,-0.8862400921926548,-0.8458131691373377,-0.7334925634069583,0.01634963251705008,-0.014460627745378886,0.28135793984978236,0.1676878439536109,0.4785692762446487,0.5280761056742573,0.5280761056742571,0.023176978469111747
A01_ts_momentum_24,0.6550441737883137,1.0,0.6390859624260248,0.4877663328833826,0.38887778188939853,0.7865823921763628,0.7908562951667523,0.8460548131309145,0.7063126010243391,0.2708540908275689,0.660317050093801,0.8440761049292027,-0.1287271134465034,-0.1896836767961495,-0.23543782664870516,-0.3522991174592128,-0.6896237612301349,-0.8484868897116858,-0.564750700736417,0.05761888301901701,0.0012060893412814066,0.23749946727613705,0.12592599830831036,0.34522950536122615,0.3709038964446968,0.3709038964446968,0.024556253438240985
A01_ts_momentum_48,0.44911439323919566,0.6390859624260248,1.0,0.7234139815007838,0.5556757133345919,0.8640489135508616,0.5994862500121346,0.8251591908345463,0.8261672880379626,0.1961392758971622,0.6616474693997287,0.5863624433008547,-0.05415432813001052,-0.08398212742803832,-0.1066153879091482,-0.16480388604320723,-0.4641478804545607,-0.688450465717851,-0.3758307602924286,0.10712459857145994,0.02274214022155898,0.16698326469139205,0.08638758785055348,0.2555376723500393,0.28756273011433614,0.28756273011433625,0.019838026678644698
A01_ts_momentum_72,0.34564685854557237,0.4877663328833826,0.7234139815007838,1.0,0.6864102623602168,0.8462765086397167,0.47373253596359927,0.7265974063660633,0.8402773188777585,0.15966627705866185,0.5947406597871403,0.45676836719377983,-0.012516564295779785,-0.025050135167369158,-0.036115123190427076,-0.06593259355625863,-0.35232267791537597,-0.552910502559694,-0.26204442372007175,0.07807142954674633,0.06953128759934,0.13809624824967473,0.07518792959816517,0.2179058517516398,0.23939749547587172,0.2393974954758719,0.02391817590017027
A01_ts_momentum_120,0.27550840163052115,0.38887778188939853,0.5556757133345919,0.6864102623602168,1.0,0.7679277726079516,0.38267434508350057,0.6024062249835871,0.7899419208778548,0.14047094164946022,0.5095249848369783,0.36856002968544826,0.0037200104468413414,0.0022859491400425017,-0.0003386482554471181,-0.008765326364413767,-0.28305936118559155,-0.4437313004294325,-0.18873400984665545,0.0022326843969412867,0.14656575106677225,0.12124766231238994,0.06196011052331934,0.1921703688305532,0.22310676178802946,0.2231067617880292,0.008150999270281843
A16_momentum_ensemble,0.6548845164116004,0.7865823921763628,0.8640489135508616,0.8462765086397167,0.7679277726079516,1.0,0.765044976469187,0.941198326650814,0.955524934624932,0.2663568578150871,0.7464059738606242,0.7379639859487763,-0.09536056173170256,-0.142766532945929,-0.17968183121389794,-0.27040410359981265,-0.6474737636901448,-0.8363703896520891,-0.5117754488013895,0.06735828529794777,0.06397751474189194,0.23109132774514718,0.12567625555791606,0.36286249436982276,0.4022493324207884,0.4022493324207886,0.02455486687670663
A02_ema_distance_20,0.8690759690370956,0.7908562951667523,0.5994862500121346,0.47373253596359927,0.38267434508350057,0.765044976469187,1.0,0.8917196067263358,0.7094280028734449,0.4330577982731691,0.640700213062108,0.8643055269607322,-0.35509254818241615,-0.4872249582687879,-0.5726326893860852,-0.7161964687945344,-0.9343111771128901,-0.9766280280217087,-0.884082053471557,0.02224789313291515,0.0067967732015008905,0.3755559486490255,0.2405891553831366,0.6132762010728393,0.56581722470596,0.5658172247059597,0.025547093721508856
A02_ema_distance_50,0.7355012489247513,0.8460548131309145,0.8251591908345463,0.7265974063660633,0.6024062249835871,0.941198326650814,0.8917196067263358,1.0,0.9246068828461893,0.3246594090333767,0.7721491183100974,0.8390155399080342,-0.1791626009050282,-0.2555773455795911,-0.30991694508319406,-0.4239855067826364,-0.7754948816749828,-0.946529041512796,-0.6607735344523632,0.0693156418452874,0.04198753283109885,0.28099419823302735,0.16185555207477326,0.45272179714795063,0.46356754542332,0.46356754542332,0.02521555309734433
A02_ema_distance_100,0.557584754895085,0.7063126010243391,0.8261672880379626,0.8402773188777585,0.7899419208778548,0.955524934624932,0.7094280028734449,0.9246068828461893,1.0,0.24914149430830917,0.7268477564011788,0.6794459345197458,-0.08233521568345853,-0.12162051594147101,-0.15084954642868434,-0.21852374063575175,-0.5806825398819517,-0.7852112912469207,-0.4586790433368853,0.06252760682452432,0.1023023798352506,0.21530802104501082,0.11697847550265789,0.3468837495606829,0.375532109616509,0.37553210961650896,0.02051308511300147
A03_donchian_breakout_20,0.32085278088760755,0.2708540908275689,0.1961392758971622,0.15966627705866185,0.14047094164946022,0.2663568578150871,0.4330577982731691,0.3246594090333767,0.24914149430830917,1.0,0.20622511161162907,0.3327997363649994,-0.4669162239347634,-0.4506947597350524,-0.4282020669795716,-0.38869609332211874,-0.38109102736105804,-0.36935732042100994,-0.5081858547862962,-0.013284004604458489,0.010578768263583907,0.8811983484962338,0.4151002622232311,0.384917530252994,0.27083633718971545,0.2708363371897155,0.005170460819129452
