symbol,alpha_name,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
BTCUSDT,A01_ts_momentum_12,trend,False,0.012946144078078108,0.8333333333333334,inf,inf,0.1319250406867174,-3.014184029931668,14618,1466,True,True,False,False,True,True,True
BTCUSDT,A01_ts_momentum_24,trend,False,-0.004863217261323736,0.3333333333333333,1.0,0.6182170893825786,0.08509353319485051,-1.7902142286189318,14618,1466,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_48,trend,False,0.01140453600386212,0.8333333333333334,0.8273588612006014,0.6062919909474589,0.055506381839696584,-0.12971053179529435,14618,1466,True,True,False,False,True,True,True
BTCUSDT,A01_ts_momentum_72,trend,False,-0.0033345023273418845,0.5,0.7233212113870873,0.6044764836392549,0.04411497400183129,0.09766689918342675,14594,1466,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_120,trend,False,0.0008136841485993179,0.5,0.5861808962177815,0.597093057972967,0.03248487675923675,0.887729223963758,14546,1466,True,False,False,True,True,True,True
BTCUSDT,A16_momentum_ensemble,trend,False,0.010597168228775095,0.6666666666666666,0.5058985302710265,0.5635679502424318,0.06593353061881724,-0.12170645524980572,14618,1466,True,True,False,True,True,True,True
BTCUSDT,A02_ema_distance_20,trend,False,0.02016568690825998,0.6666666666666666,1.0,0.5142786571591078,0.13434569081254835,-1.4084529349751436,14647,1466,True,True,False,True,True,True,True
BTCUSDT,A02_ema_distance_50,trend,False,0.015051403376759243,0.6666666666666666,0.7793143535684376,0.45472972588109606,0.07760403728501782,-0.3727692537720515,14617,1466,True,True,False,True,True,True,True
BTCUSDT,A02_ema_distance_100,trend,True,0.016318903821452284,0.6666666666666666,0.2997698088415293,0.4729803177105898,0.049593392744740214,0.6419260250563015,14567,1466,True,True,True,True,True,True,True
BTCUSDT,A03_donchian_breakout_20,trend,False,0.022959119692239086,0.6666666666666666,inf,inf,0.526156176837288,-0.6045707263353101,14667,1466,True,True,False,False,True,True,True
BTCUSDT,A08_trend_quality,trend,True,0.022691833859388576,0.8333333333333334,0.4856957698442269,0.5505909175982251,0.06107682629947061,0.20073618448899827,14607,1466,True,True,True,True,True,True,True
BTCUSDT,A09_efficiency_ratio_20,trend,False,0.018186806916997426,0.6666666666666666,1.0,0.5590745410703692,0.11074681138552252,-0.838006093654178,14646,1466,True,True,False,True,True,True,True
BTCUSDT,A04_short_reversion_1,mean_reversion,False,-0.017510962077059017,0.3333333333333333,inf,inf,0.4714730875727501,-8.316635814843742,14566,1466,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_2,mean_reversion,False,-0.002657505800718159,0.5,inf,inf,0.32133633084999247,-5.633686433693899,14565,1466,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_3,mean_reversion,False,-0.021816002488675122,0.3333333333333333,inf,inf,0.2506128611442171,-5.236893844675539,14564,1466,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_6,mean_reversion,False,-0.0005825355800626007,0.5,inf,inf,0.1721980927028124,-2.9999166669357997,14561,1466,False,False,False,False,True,True,True
