symbol,alpha_name,fold,start_time,end_time,observations,fold_ic,fold_ic_observations,fold_sharpe,fold_return,fold_pnl_sum,fold_turnover,fold_max_drawdown
BTCUSDT,A01_ts_momentum_12,1,2022-09-04 16:00:00+00:00,2023-05-07 04:00:00+00:00,1468,0.03862615093441205,1466,-0.3882543761908601,-0.10235169742316652,-0.07798486063957377,0.10151888941770124,-0.2876980028669981
BTCUSDT,A01_ts_momentum_12,2,2023-05-07 04:00:00+00:00,2024-01-06 16:00:00+00:00,1468,0.005000325586657212,1466,-1.9408963330037887,-0.2460619854265781,-0.2682435453602795,0.10435835814107566,-0.3200974190249477
BTCUSDT,A01_ts_momentum_12,3,2024-01-06 16:00:00+00:00,2024-09-07 04:00:00+00:00,1468,0.020290520341060853,1466,-0.9995950567965854,-0.167434938281392,-0.16322695448092878,0.10003004083529703,-0.3384688571514869
BTCUSDT,A01_ts_momentum_12,4,2024-09-07 04:00:00+00:00,2025-05-09 16:00:00+00:00,1468,0.005601767815095362,1466,-1.3193159245089996,-0.22105383256081068,-0.22761064627208255,0.11257732029447738,-0.40541336482461343
BTCUSDT,A01_ts_momentum_12,5,2025-05-09 16:00:00+00:00,2026-01-09 04:00:00+00:00,1468,-0.015289093194366079,1466,-5.52007979368801,-0.44903927776495045,-0.5875073058394008,0.10806030615271944,-0.45818346092626927
BTCUSDT,A01_ts_momentum_12,6,2026-01-09 04:00:00+00:00,2026-09-10 16:00:00+00:00,1466,0.02613205452168471,1466,-2.8430957833127217,-0.31105121197577423,-0.36059845669541685,0.10030024402394819,-0.3813487529506391
BTCUSDT,A01_ts_momentum_24,1,2022-09-04 16:00:00+00:00,2023-05-07 04:00:00+00:00,1468,0.020682384480693986,1466,-0.2593669010444294,-0.08025399504576702,-0.052685131375777905,0.0806583284219655,-0.3497873040199141
BTCUSDT,A01_ts_momentum_24,2,2023-05-07 04:00:00+00:00,2024-01-06 16:00:00+00:00,1468,-0.01669775364490541,1466,-1.4774078993367792,-0.21149787213156168,-0.2210075575551984,0.08416903875911493,-0.31342675303092016
BTCUSDT,A01_ts_momentum_24,3,2024-01-06 16:00:00+00:00,2024-09-07 04:00:00+00:00,1468,0.0341444567524652,1466,0.07656734255012884,-0.011776080174132453,0.014292856637246706,0.06869780661966429,-0.2828799341727374
BTCUSDT,A01_ts_momentum_24,4,2024-09-07 04:00:00+00:00,2025-05-09 16:00:00+00:00,1468,-0.0038866261315190814,1466,-0.9353778093441456,-0.18137824311145245,-0.17421056540233593,0.09067046137658072,-0.38996338649678564
BTCUSDT,A01_ts_momentum_24,5,2025-05-09 16:00:00+00:00,2026-01-09 04:00:00+00:00,1468,-0.019219177639201078,1466,-3.781950357632924,-0.3791267864655281,-0.46525877898768964,0.08216985735190449,-0.39198373854344537
BTCUSDT,A01_ts_momentum_24,6,2026-01-09 04:00:00+00:00,2026-09-10 16:00:00+00:00,1466,-0.00583980839112839,1466,-2.6531829420246984,-0.32739844146120956,-0.38122599881155017,0.08038775564681505,-0.4363877035752345
BTCUSDT,A01_ts_momentum_48,1,2022-09-04 16:00:00+00:00,2023-05-07 04:00:00+00:00,1468,0.01645353558084258,1466,-0.07449629287961419,-0.04672421240031466,-0.015483210595958308,0.0632890998722009,-0.31965857211216986
BTCUSDT,A01_ts_momentum_48,2,2023-05-07 04:00:00+00:00,2024-01-06 16:00:00+00:00,1468,0.008855269706096859,1466,-0.25797096258760777,-0.05884714393375656,-0.04145981778093487,0.0607479072339961,-0.2358699719779801
BTCUSDT,A01_ts_momentum_48,3,2024-01-06 16:00:00+00:00,2024-09-07 04:00:00+00:00,1468,0.013953802301627382,1466,0.0988677589253501,-0.013916357006426128,0.021531059429132998,0.0530237884131656,-0.33496908006827675
BTCUSDT,A01_ts_momentum_48,4,2024-09-07 04:00:00+00:00,2025-05-09 16:00:00+00:00,1468,-0.013811427643386434,1466,0.5156903704305184,0.07615772793210596,0.10318463451766807,0.06228719546859823,-0.2599580183206479
BTCUSDT,A01_ts_momentum_48,5,2025-05-09 16:00:00+00:00,2026-01-09 04:00:00+00:00,1468,0.0017557198119042684,1466,-1.946448785960681,-0.23490662802135887,-0.2549124353748529,0.060660863305615854,-0.2508571152322491
BTCUSDT,A01_ts_momentum_48,6,2026-01-09 04:00:00+00:00,2026-09-10 16:00:00+00:00,1466,0.022692823340057486,1466,-1.8958486827454437,-0.2529611438193258,-0.2758406275373805,0.06979410599842888,-0.2923588576804057
BTCUSDT,A01_ts_momentum_72,1,2022-09-04 16:00:00+00:00,2023-05-07 04:00:00+00:00,1468,0.0026712017414414592,1466,0.09066727989931415,-0.014841287091620914,0.019416980345063617,0.050738653958617895,-0.25114226099838277
BTCUSDT,A01_ts_momentum_72,2,2023-05-07 04:00:00+00:00,2024-01-06 16:00:00+00:00,1468,-0.019190613915773223,1466,-0.7577799250131152,-0.13912988736527487,-0.1284362877777784,0.05733024659878887,-0.2825081514719928
BTCUSDT,A01_ts_momentum_72,3,2024-01-06 16:00:00+00:00,2024-09-07 04:00:00+00:00,1468,0.005220502326028479,1466,0.1774331730738109,0.002951794243486905,0.03888186878857475,0.04356193859840775,-0.33473397598533927
BTCUSDT,A01_ts_momentum_72,4,2024-09-07 04:00:00+00:00,2025-05-09 16:00:00+00:00,1468,-0.009340206396125228,1466,0.7383877747821999,0.12826814574854373,0.15241065059314168,0.051782876786500384,-0.36402004196252025
BTCUSDT,A01_ts_momentum_72,5,2025-05-09 16:00:00+00:00,2026-01-09 04:00:00+00:00,1468,-0.025865854028825266,1466,-3.2491805821909123,-0.3681466490466476,-0.44499756424761555,0.05121464344431299,-0.4144541490100092
BTCUSDT,A01_ts_momentum_72,6,2026-01-09 04:00:00+00:00,2026-09-10 16:00:00+00:00,1466,0.020364205855672897,1466,-1.4886318640860274,-0.21260352852058184,-0.22234912938354762,0.05574952892024131,-0.32224247054620725
BTCUSDT,A01_ts_momentum_120,1,2022-09-04 16:00:00+00:00,2023-05-07 04:00:00+00:00,1468,-0.017028903764102907,1466,-0.7382623981317455,-0.1848267302117116,-0.16623584846206482,0.05530756446008198,-0.3051671827357191
BTCUSDT,A01_ts_momentum_120,2,2023-05-07 04:00:00+00:00,2024-01-06 16:00:00+00:00,1468,0.0462986517704028,1466,1.9773813046885225,0.4005758168200344,0.36180689805123867,0.03336048550067177,-0.15258183682589044
BTCUSDT,A01_ts_momentum_120,3,2024-01-06 16:00:00+00:00,2024-09-07 04:00:00+00:00,1468,0.0020773856114746953,1466,-0.01626388205987597,-0.04328850074873236,-0.003781514450459156,0.03518985736896124,-0.382448378558531
BTCUSDT,A01_ts_momentum_120,4,2024-09-07 04:00:00+00:00,2025-05-09 16:00:00+00:00,1468,-0.00045001731427605937,1466,1.1548327326975791,0.24482015474070318,0.2554204807079932,0.03765329087725825,-0.29817478774965467
BTCUSDT,A01_ts_momentum_120,5,2025-05-09 16:00:00+00:00,2026-01-09 04:00:00+00:00,1468,-0.019463767690211662,1466,-2.0952436896254665,-0.25510122074758856,-0.2810324346648755,0.04349420811603532,-0.3163693065307548
BTCUSDT,A01_ts_momentum_120,6,2026-01-09 04:00:00+00:00,2026-09-10 16:00:00+00:00,1466,0.023916774959776156,1466,-0.7603305141306997,-0.12226105426674294,-0.11372097979132775,0.04048036838984789,-0.27079355184121323
