symbol,alpha_name,horizon_bars,year,observations,mean_forward_return,ic
BTCUSDT,A01_ts_momentum_48,3,2025,2190,4.417841494311725e-05,-0.025301145647751478
BTCUSDT,A01_ts_momentum_48,3,2026,1513,-0.00011655845457381627,0.04554195509031099
BTCUSDT,A01_ts_momentum_48,6,2020,2148,0.004325968240203772,0.013893440465519165
BTCUSDT,A01_ts_momentum_48,6,2021,2190,0.0022771476562700043,-0.014806559748075489
BTCUSDT,A01_ts_momentum_48,6,2022,2190,-0.0023203712562343257,-0.02042362330278013
BTCUSDT,A01_ts_momentum_48,6,2023,2190,0.00288717323800612,0.01793625397208279
BTCUSDT,A01_ts_momentum_48,6,2024,2196,0.0025029389862192184,-0.0009916760579681935
BTCUSDT,A01_ts_momentum_48,6,2025,2190,6.568478702372625e-05,-0.028554904809275906
BTCUSDT,A01_ts_momentum_48,6,2026,1510,-0.00022039457616562338,0.07639217294061303
BTCUSDT,A01_ts_momentum_72,1,2020,2124,0.0007093646567784016,0.025933903217491432
BTCUSDT,A01_ts_momentum_72,1,2021,2190,0.00038809867329112416,-0.001395141627792599
BTCUSDT,A01_ts_momentum_72,1,2022,2190,-0.0003892610753551619,0.006159490784648221
BTCUSDT,A01_ts_momentum_72,1,2023,2190,0.00046951690234148203,-0.008712474251331459
BTCUSDT,A01_ts_momentum_72,1,2024,2196,0.00042397674881828327,0.0005470658070958756
BTCUSDT,A01_ts_momentum_72,1,2025,2190,1.4375098166262898e-05,-0.02315801952608329
BTCUSDT,A01_ts_momentum_72,1,2026,1515,-4.405507064441999e-05,0.02055194485882367
BTCUSDT,A01_ts_momentum_72,3,2020,2124,0.002114190747075636,0.043229539149888356
BTCUSDT,A01_ts_momentum_72,3,2021,2190,0.0011285121386776311,-0.006093816614273885
BTCUSDT,A01_ts_momentum_72,3,2022,2190,-0.0011631806419079573,0.000957192385952088
BTCUSDT,A01_ts_momentum_72,3,2023,2190,0.0014166642013055905,-0.010326634682432452
BTCUSDT,A01_ts_momentum_72,3,2024,2196,0.0012576133607295407,-0.0020364613229558698
BTCUSDT,A01_ts_momentum_72,3,2025,2190,4.417841494311725e-05,-0.03156357849962996
BTCUSDT,A01_ts_momentum_72,3,2026,1513,-0.00011655845457381627,0.03444693528941917
BTCUSDT,A01_ts_momentum_72,6,2020,2124,0.004305435616515555,0.054467094701622434
BTCUSDT,A01_ts_momentum_72,6,2021,2190,0.0022771476562700043,-0.0028134320404713475
BTCUSDT,A01_ts_momentum_72,6,2022,2190,-0.0023203712562343257,0.00376757324954653
BTCUSDT,A01_ts_momentum_72,6,2023,2190,0.00288717323800612,-0.01684320193982609
BTCUSDT,A01_ts_momentum_72,6,2024,2196,0.0025029389862192184,-0.002496104543075863
BTCUSDT,A01_ts_momentum_72,6,2025,2190,6.568478702372625e-05,-0.04176343805149196
BTCUSDT,A01_ts_momentum_72,6,2026,1510,-0.00022039457616562338,0.05781300168357329
BTCUSDT,A01_ts_momentum_120,1,2020,2076,0.000691490043451897,0.04160279243760791
