symbol,alpha_name,direction,horizon_bars,sample_start,sample_end,observations,alpha_mean,alpha_std,forward_return_correlation,pearson_ic,spearman_ic,ic_t_stat,rolling_ic_positive_ratio,rolling_windows_used,low_bucket_return,mid_bucket_return,high_bucket_return,top_minus_bottom_spread,turnover_proxy,cost_adjusted_spread_1x,cost_adjusted_spread_2x,cost_adjusted_spread_3x,regime_trending_ic,regime_trending_observations,regime_mixed_ic,regime_mixed_observations,regime_ranging_ic,regime_ranging_observations
BTCUSDT,A01_ts_momentum_12,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 08:00:00+00:00,14619,0.0428460550279762,0.6446062717233197,0.009857033457904993,0.009857033457904993,-0.02023330525055576,1.1917809892173732,0.42957550452331245,14370,8.679395591191007e-05,0.0002651069538139461,0.00035569470115358835,0.0002689007452416783,0.20040734892471218,-0.00033232130153245824,-0.0009335433483065947,-0.0015347653950807314,0.009055704153443513,4863,0.024131467677233998,4875,-0.010070623794991527,4881
BTCUSDT,A01_ts_momentum_12,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 00:00:00+00:00,14617,0.0428460550279762,0.6446062717233197,0.015331034679504951,0.015331034679504951,-0.013911251796691055,1.8536251797638736,0.4220489977728285,14368,0.00048399569796557816,0.0005702752660052154,0.0010519185107062184,0.0005679228127406402,0.20040734892471218,-0.0012357433275817695,-0.0030394094679041792,-0.004843075608226589,0.020968895898562157,4862,0.012047712978102403,4874,0.0066181258530583625,4881
BTCUSDT,A01_ts_momentum_12,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 12:00:00+00:00,14614,0.0428460550279762,0.6446062717233197,0.016435085676920685,0.016435085676920685,-0.012135564820679718,1.9869432637127777,0.41079011486251304,14365,0.0009763138748382794,0.0015518690416635704,0.0017475224952624028,0.0007712086204241233,0.20040734892471218,-0.002836123660220696,-0.0064434559408655155,-0.010050788221510336,0.016347843961465363,4862,0.016377303479374564,4871,0.014293136732362058,4881
BTCUSDT,A01_ts_momentum_24,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 08:00:00+00:00,14619,0.05915512207369818,0.7399215750318378,0.008105338405760798,0.008105338405760798,-0.01334833964128304,0.9799739731588386,0.411482254697286,14370,0.00012416031968450768,0.0002946377327111194,0.00028879755848381744,0.00016463723879930976,0.15615782744816106,-0.00030383624354517343,-0.0007723097258896566,-0.0012407832082341399,0.011994692066205348,4863,0.017828939643740317,4875,-0.01827692093403618,4881
BTCUSDT,A01_ts_momentum_24,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 00:00:00+00:00,14617,0.05915512207369818,0.7399215750318378,0.014185783966317308,0.014185783966317308,-0.013898709774417138,1.7151276719957247,0.3992900890868597,14368,0.0003656976241755371,0.0008577792789558173,0.0008827368527594899,0.0005170392285839528,0.15615782744816106,-0.0008883812184494968,-0.0022938016654829464,-0.003699222112516396,0.02291466238718591,4862,0.011104232448650072,4874,-0.002289245454935802,4881
BTCUSDT,A01_ts_momentum_24,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 12:00:00+00:00,14614,0.05915512207369818,0.7399215750318378,0.015562415418481105,0.015562415418481105,-0.0096537057855427,1.881414266194601,0.37953358858336234,14365,0.0010902325954868638,0.0016311521578968435,0.0015542972712484062,0.00046406467576154235,0.15615782744816106,-0.002346776218305357,-0.005157617112372256,-0.007968458006439156,0.025888106494804806,4862,0.004262286971473649,4871,0.01048441275818914,4881
BTCUSDT,A01_ts_momentum_48,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 08:00:00+00:00,14619,0.08433811581069821,0.8148358067149384,0.009684959279229013,0.009684959279229013,-0.004180800309820751,1.170974106074988,0.36903270702853164,14370,0.00012049488757495936,0.00019357579646168697,0.0003935249268427982,0.0002730300392678389,0.11688331809402984,-7.761991501425064e-05,-0.00042826986929634015,-0.0007789198235784297,0.006835204026164226,4863,0.02593580313215567,4875,-0.007839549606866988,4881
BTCUSDT,A01_ts_momentum_48,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 00:00:00+00:00,14617,0.08433811581069821,0.8148358067149384,0.011200835563489758,0.011200835563489758,-0.011141999488242437,1.3541821225335235,0.33344933184855235,14368,0.00046406707362153245,0.0005316324443180405,0.0011104940471775755,0.000646426973556043,0.11688331809402984,-0.0004055228892902255,-0.0014574727521364942,-0.002509422614982763,0.021433477663195394,4862,0.01879191928491325,4874,-0.01347863489413345,4881
BTCUSDT,A01_ts_momentum_48,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 12:00:00+00:00,14614,0.08433811581069821,0.8148358067149384,0.010944226016521341,0.010944226016521341,-0.011558619049691092,1.3230184351179166,0.3326139923424991,14365,0.0013442371653925723,0.0010681590969743085,0.0018632336159770157,0.0005189964505844433,0.11688331809402984,-0.0015849032751080938,-0.003688803000800631,-0.005792702726493168,0.029471212395442974,4862,0.0072593947405644775,4871,-0.010420089743334218,4881
BTCUSDT,A01_ts_momentum_72,trend,1,2020-01-13 00:00:00+00:00,2026-09-10 08:00:00+00:00,14595,0.10659637229966126,0.8469996759604531,0.007806089262167164,0.007806089262167164,-0.001033994588055334,0.9430159461779988,0.2701798410706817,14346,0.00021421768990799794,6.000206954118669e-05,0.00043044167117110263,0.00021622398126310469,0.09979331670982293,-8.315596886636413e-05,-0.0003825359189958329,-0.0006819158691253017,0.014529019440161259,4863,0.0059322078293304005,4862,-9.565655208176653e-05,4870
