,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A18_btc_lead_eth_lag_1,A18_btc_lead_eth_lag_2,A18_btc_lead_eth_lag_3,A19_relative_strength_btc_eth_24
A01_ts_momentum_12,1.0,0.6845158196195152,0.49164464304598965,0.387294622316985,0.2990856376014266,0.6691274587577454,0.8841720598836632,0.7443557358497741,0.5754841030249969,0.4108990985246645,0.49514798537970023,0.7528717928722892,-0.21047834062992304,-0.31262500792638304,-0.3987350735029156,-0.5850370834106559,-0.8834465416070494,-0.8558925825636173,-0.7437168296716223,0.020716491581698093,-0.017900323495627063,0.41020133373508727,0.1445654440733632,0.4663790956171517,0.5249951134263151,0.5249951134263151,0.007630805725390952,0.1913125591225148,0.2836288685156069,0.3551416497652533,-0.14784934505734015
A01_ts_momentum_24,0.6845158196195152,1.0,0.6924408275955507,0.5450727903391084,0.42057136086686653,0.8017223801847949,0.8191370461264271,0.866184395941428,0.7329536300626223,0.3444470498192203,0.6614271129618504,0.8846664528823537,-0.11378303669072769,-0.17522212188567898,-0.22641836471046817,-0.3472355672629521,-0.688639137470742,-0.8710311259077935,-0.574149828368185,0.04980182518036226,0.023621811869509356,0.3437620592454119,0.1022895124654808,0.33318533628110775,0.3790665108595366,0.3790665108595366,0.0005137629308713683,0.12348582398764904,0.18756483027186754,0.23479697676753028,-0.2525307903924118
A01_ts_momentum_48,0.49164464304598965,0.6924408275955507,1.0,0.7754181502705756,0.5790676871322422,0.8738448598866707,0.6371122104805813,0.8637786462511762,0.8537713883758081,0.24625228473694424,0.709795126847342,0.6179198803451785,-0.046276098151780354,-0.07478178269115685,-0.10150603749267371,-0.16937488977182194,-0.478210303487424,-0.7280768693343859,-0.39168720121293826,0.06701382888917386,0.09014577724771176,0.24576556950222683,0.0617596431607631,0.256881706727337,0.3201457940313612,0.3201457940313612,0.0006968866346875805,0.09042629992332321,0.13558929361308245,0.1683018519674551,-0.1951998405092208
A01_ts_momentum_72,0.387294622316985,0.5450727903391084,0.7754181502705756,1.0,0.7248214833095363,0.8546420280616573,0.5052482071220256,0.771852266609298,0.874988482358943,0.19558653892566308,0.6633217573979009,0.4826139707870824,-0.003926198194786407,-0.012359191030128301,-0.025053874710456985,-0.0571020285008958,-0.3712747121734889,-0.5896658757458128,-0.2732984227970895,0.02404237799216074,0.16209263358625337,0.19508164586146762,0.053181464294292206,0.2195116261554602,0.27989799949720573,0.27989799949720573,-0.0045688055595491895,0.07596692427564115,0.11172613687257764,0.13980751752864032,-0.15120703943917918
A01_ts_momentum_120,0.2990856376014266,0.42057136086686653,0.5790676871322422,0.7248214833095363,1.0,0.7578602956618583,0.38847558826490436,0.6184599576232666,0.817531884924349,0.1600626926254641,0.560164693328573,0.3737752296017933,0.021463220097404964,0.026135745211680533,0.02345678460692802,0.017603228397901936,-0.2899592049717088,-0.45387516675577255,-0.1799524101606809,-0.06056038367545811,0.2986408550518418,0.15819704260022455,0.03948913194970654,0.1938838104301855,0.2629259670209217,0.2629259670209217,-0.006198148753473884,0.05854554257406048,0.08479607080837456,0.10205734885766776,-0.11302121920412925
A16_momentum_ensemble,0.6691274587577454,0.8017223801847949,0.8738448598866707,0.8546420280616573,0.7578602956618583,1.0,0.7671429065465434,0.9416285591647748,0.9524861342116069,0.3183360554717809,0.7708566475195412,0.7393766417872234,-0.07369971424218148,-0.11695169392173807,-0.1564440932080132,-0.2503427229918455,-0.6380555340035945,-0.8367061375515324,-0.5031755561657666,0.028930541818572797,0.13405820141854838,0.3172873960714308,0.09188688649889461,0.34239428568815505,0.4115620023675803,0.4115620023675803,-0.0005455701367987507,0.12218966174546379,0.1831807720272559,0.22810303221319336,-0.20847726583772447
A02_ema_distance_20,0.8841720598836632,0.8191370461264271,0.6371122104805813,0.5052482071220256,0.38847558826490436,0.7671429065465434,1.0,0.8914865115262853,0.7164990632934589,0.46294178517510964,0.5859740020349488,0.8562523767899712,-0.30420684921305907,-0.43300622402025796,-0.5255165994063982,-0.6808620428751891,-0.9505179493519316,-0.9837305406955758,-0.8797979548360259,0.037239691052942434,0.004641848262072836,0.46182526905323606,0.16494450493911547,0.5811960921715914,0.554165143866055,0.554165143866055,0.0033756765789659453,0.2832244486069434,0.4042921534116449,0.4869037849248946,-0.17999997553973102
A02_ema_distance_50,0.7443557358497741,0.866184395941428,0.8637786462511762,0.771852266609298,0.6184599576232666,0.9416285591647748,0.8914865115262853,1.0,0.9300612645697748,0.38696453773958356,0.7640889961450593,0.8362363802168988,-0.14943296738704828,-0.22176069128117099,-0.28047081881306973,-0.39924589492857177,-0.7652383290518505,-0.9470854826076549,-0.649988508691565,0.05423488218492542,0.07726907343359585,0.38600532288830935,0.11907061023976714,0.43301312211714305,0.46456540636454785,0.46456540636454785,0.0013290992276880217,0.17911071041711268,0.262067833341048,0.32267780506154187,-0.2110121329753028
A02_ema_distance_100,0.5754841030249969,0.7329536300626223,0.8537713883758081,0.874988482358943,0.817531884924349,0.9524861342116069,0.7164990632934589,0.9300612645697748,1.0,0.3021044522311667,0.759771374854656,0.6826452451818132,-0.06554209965273772,-0.10124971504018934,-0.13479973660903805,-0.20551583063576181,-0.5774166551050482,-0.7927502316216006,-0.4568916989153382,0.013790133206148917,0.19124442292321903,0.3010619264691022,0.0853718524184379,0.33916226149641004,0.39450906513479633,0.39450906513479633,-0.0014949638586229024,0.12575515280428615,0.1841180537787957,0.22756742647370087,-0.19009260498248284
A03_donchian_breakout_20,0.4108990985246645,0.3444470498192203,0.24625228473694424,0.19558653892566308,0.1600626926254641,0.3183360554717809,0.46294178517510964,0.38696453773958356,0.3021044522311667,1.0,0.22490558895007978,0.37928151849270064,-0.4384030695402939,-0.4442310305277807,-0.43588044943897974,-0.4236050579559346,-0.48545089156205956,-0.43721246334538233,-0.4890092964024338,0.0069125957425171065,0.0016223158879213398,0.9998429532150185,0.33115102782308337,0.3881478739912733,0.31149355532428086,0.31149355532428086,0.002371552774020826,0.3391253538503878,0.3617305257788268,0.3577567262310757,-0.0817910513734866
