leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__sample_at_least_5y,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__inception_covered,strict_oos_passed
1.0,10000.0,9294.950871314635,-0.07050491286853644,-0.007496447203344081,0.06153378531996994,-0.14703078250342008,-0.23444079050550343,-0.04091518109722596,-0.1832192111170281,-0.06812446613617425,1254.0,0.9797609525842353,0.48013109381401065,,,,,,,0.11030754177818336,-0.05760695335339494,0.49572649572649574,3548.9583333333335,0.2222222222222222,9,-1.1997796563272902,True,True,True,False,False,True,False,False,True,False
2.0,10000.0,5718.486577659263,-0.4281513422340737,-0.05589570642072417,0.12306759551137694,-0.6179300113274755,-0.9810390184147474,-0.1145116026378731,-0.488122645505945,-0.23672468040241046,2434.0,0.9177440153046507,0.4678410487505121,,,,,,,0.18088028795347588,-0.14891421626812484,0.4188034188034188,3548.9583333333335,0.2222222222222222,9,-1.7466885868272497,True,True,True,False,False,False,False,False,True,False
3.0,10000.0,3429.9471112051715,-0.6570052888794828,-0.10427863587953567,0.18460141590978857,-0.7748963357935053,-1.228810146541566,-0.1474362192639104,-0.7072796386136111,-0.3894361161871664,2434.0,0.8979875383221337,0.4645637034002458,,,,,,,0.2519553897968696,-0.23335446846881702,0.4017094017094017,3548.9583333333335,0.2222222222222222,9,-1.92899156366057,True,True,True,False,False,False,False,False,True,False
