date,SRRIX
2013-12-10 14:30:00+00:00,50.0
2013-12-11 14:30:00+00:00,50.0
2013-12-12 14:30:00+00:00,50.0
2013-12-13 14:30:00+00:00,50.0
2013-12-16 14:30:00+00:00,50.0
2013-12-17 14:30:00+00:00,50.0
2013-12-18 14:30:00+00:00,50.0
2013-12-19 14:30:00+00:00,50.0
2013-12-20 14:30:00+00:00,50.0
2013-12-23 14:30:00+00:00,49.95000076293945
2013-12-24 14:30:00+00:00,49.95000076293945
2013-12-26 14:30:00+00:00,49.95000076293945
2013-12-27 14:30:00+00:00,49.95000076293945
2013-12-30 14:30:00+00:00,49.95000076293945
2013-12-31 14:30:00+00:00,49.95000076293945
2014-01-02 14:30:00+00:00,49.95000076293945
2014-01-03 14:30:00+00:00,49.95000076293945
2014-01-06 14:30:00+00:00,49.95000076293945
2014-01-07 14:30:00+00:00,49.900001525878906
2014-01-08 14:30:00+00:00,49.900001525878906
2014-01-09 14:30:00+00:00,49.900001525878906
2014-01-10 14:30:00+00:00,49.95000076293945
2014-01-13 14:30:00+00:00,49.95000076293945
2014-01-14 14:30:00+00:00,49.95000076293945
2014-01-15 14:30:00+00:00,49.95000076293945
2014-01-16 14:30:00+00:00,49.95000076293945
2014-01-17 14:30:00+00:00,49.95000076293945
2014-01-21 14:30:00+00:00,49.95000076293945
2014-01-22 14:30:00+00:00,49.900001525878906
2014-01-23 14:30:00+00:00,49.900001525878906
2014-01-24 14:30:00+00:00,50.0
2014-01-27 14:30:00+00:00,50.0
2014-01-28 14:30:00+00:00,50.0
2014-01-29 14:30:00+00:00,49.95000076293945
2014-01-30 14:30:00+00:00,49.95000076293945
2014-01-31 14:30:00+00:00,50.04999923706055
2014-02-03 14:30:00+00:00,50.04999923706055
2014-02-04 14:30:00+00:00,50.04999923706055
2014-02-05 14:30:00+00:00,50.04999923706055
2014-02-06 14:30:00+00:00,50.04999923706055
2014-02-07 14:30:00+00:00,50.150001525878906
2014-02-10 14:30:00+00:00,50.20000076293945
2014-02-11 14:30:00+00:00,50.20000076293945
2014-02-12 14:30:00+00:00,50.20000076293945
2014-02-13 14:30:00+00:00,50.20000076293945
2014-02-14 14:30:00+00:00,50.29999923706055
2014-02-18 14:30:00+00:00,50.25
2014-02-19 14:30:00+00:00,50.25
2014-02-20 14:30:00+00:00,50.25
2014-02-21 14:30:00+00:00,50.349998474121094
2014-02-24 14:30:00+00:00,50.349998474121094
2014-02-25 14:30:00+00:00,50.349998474121094
2014-02-26 14:30:00+00:00,50.29999923706055
2014-02-27 14:30:00+00:00,50.29999923706055
2014-02-28 14:30:00+00:00,50.400001525878906
2014-03-03 14:30:00+00:00,50.400001525878906
2014-03-04 14:30:00+00:00,50.400001525878906
2014-03-05 14:30:00+00:00,50.400001525878906
