date,gross_fund_return,leverage,turnover,trading_cost,financing_cost,net_return
2013-12-11 14:30:00+00:00,0.0,3.0,0.0,0.0015,0.00031746031746031746,-0.0018174603174603175
2013-12-12 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-13 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-16 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-17 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-18 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-19 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-20 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-23 14:30:00+00:00,-0.0009999847412109908,3.0,0.0029999542236329724,1.4999771118164863e-06,0.00031746031746031746,-0.0033189145182051065
2013-12-24 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-26 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-27 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-30 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2013-12-31 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-02 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-03 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-06 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-07 14:30:00+00:00,-0.0010009857116487497,3.0,0.003002957134946249,1.5014785674731247e-06,0.00031746031746031746,-0.0033219189309740397
2014-01-08 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-09 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
2014-01-10 14:30:00+00:00,0.0010019886880086037,3.0,0.0030059660640258112,1.5029830320129057e-06,0.00031746031746031746,0.0026870027635334808
2014-01-13 14:30:00+00:00,0.0,3.0,0.0,0.0,0.00031746031746031746,-0.00031746031746031746
