symbol,simulation_count,trade_count,median_final_value,percentile_5_final_value,loss_probability,percentile_5_max_drawdown
BTCUSDT,5000,136,6771.728754150611,5433.910279933054,0.006,-0.07858888896372475
ETHUSDT,5000,158,5938.10429299463,4786.211977794626,0.1004,-0.12818802571751142
