symbol,variant,trend_weight,pullback_weight,range_weight,use_regime_filter,ema_window,ema_slope_window,breakout_entry_window,breakout_exit_window,atr_window,trend_stop_atr_multiple,trend_trailing_atr_multiple,rsi_window,pullback_entry_rsi,pullback_exit_rsi,bollinger_window,bollinger_std_multiple,pullback_stop_atr_multiple,adx_window,trend_adx_threshold,range_adx_threshold,range_ema_window,range_ema_slope_window,range_max_slope_atr,range_max_distance_atr,range_entry_rsi,range_exit_rsi,range_stop_atr_multiple,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,base,1.0,0.0,0.0,False,200,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6823.487007399395,1823.4870073993952,0.36469740147987895,0.04837842492239708,-0.03565185882678634,1.261478033915191,234.052113742856,136,0.38235294117647056,2.0695059290442903,13.407992701466133,2403.8333333333335
BTCUSDT,ema_minus_20pct,1.0,0.0,0.0,False,160,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6864.545246544657,1864.545246544657,0.3729090493089313,0.049334501102687556,-0.04103825466422495,1.2796936458951162,241.21725494336297,138,0.391304347826087,2.1102802986995965,13.511197438729425,2403.8333333333335
BTCUSDT,ema_plus_20pct,1.0,0.0,0.0,False,240,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6673.46557702011,1673.4655770201098,0.334693115404022,0.04484304488635349,-0.04226888475563806,1.1887593201455222,227.6674986196194,134,0.3582089552238806,1.94976471910158,12.488549082239595,2403.8333333333335
BTCUSDT,entry_minus_20pct,1.0,0.0,0.0,False,200,10,16,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6701.498688102711,1701.4986881027107,0.3402997376205421,0.045508754061768686,-0.042882047999560524,1.1501636418875492,263.7751921467291,152,0.3618421052631579,1.8425725986173582,11.194070316465217,2403.8333333333335
BTCUSDT,entry_plus_20pct,1.0,0.0,0.0,False,200,10,24,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6630.774443059764,1630.774443059764,0.32615488861195274,0.04382467792202438,-0.03879464383858122,1.1602317308991947,225.9221737862828,134,0.373134328358209,1.9497992437614142,12.169958530296766,2403.8333333333335
BTCUSDT,exit_minus_20pct,1.0,0.0,0.0,False,200,10,20,8,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6832.819136983401,1832.8191369834012,0.36656382739668025,0.048596159107740844,-0.0341498967843441,1.2811241063589938,237.09186940648937,139,0.39568345323741005,2.1242151729068057,13.185749186930988,2403.8333333333335
BTCUSDT,exit_plus_20pct,1.0,0.0,0.0,False,200,10,20,12,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6791.322736497714,1791.3227364977138,0.3582645472995427,0.04762603841557489,-0.034160647222801654,1.2349312567925133,231.29227783317717,135,0.37777777777777777,2.035516793606952,13.269057307390533,2403.8333333333335
BTCUSDT,stop_minus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.0,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,7383.561434626243,2383.5614346262428,0.4767122869252485,0.06102014982719117,-0.04238181929848295,1.315598686770156,307.3107911111111,139,0.37410071942446044,2.147822692824904,17.147923990116855,2403.8333333333335
BTCUSDT,stop_plus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,3.0,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6566.681564210416,1566.6815642104157,0.3133363128420832,0.04228529748548571,-0.03097717136331879,1.2910617104253317,186.7593521878022,133,0.39849624060150374,2.1512224698243094,11.779560633160996,2403.8333333333335
BTCUSDT,trailing_minus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.5,2.4000000000000004,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6291.44978864638,1291.4497886463796,0.2582899577292759,0.035526373266985045,-0.035563034021866335,1.0477719859185766,243.17363952142364,152,0.3881578947368421,1.7858726377759568,8.496380188463002,2403.8333333333335
BTCUSDT,trailing_plus_20pct,1.0,0.0,0.0,False,200,10,20,10,14,2.5,3.5999999999999996,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6803.289251375576,1803.289251375576,0.3606578502751152,0.0479063113878222,-0.043418362250507214,1.2010049190588135,221.20877727191487,129,0.35658914728682173,2.04919071436023,13.978986444771952,2403.8333333333335
ETHUSDT,base,1.0,0.0,0.0,False,200,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6025.473566331681,1025.4735663316806,0.2050947132663361,0.02875213142264088,-0.0679945173501807,0.7284443038353358,191.76018258588,158,0.31645569620253167,1.4789558759725603,6.4903390274157,2403.8333333333335
ETHUSDT,ema_minus_20pct,1.0,0.0,0.0,False,160,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6188.887812668107,1188.8878126681066,0.23777756253362137,0.032943490667765696,-0.06089332654687463,0.8189980725097883,196.55173006504052,160,0.30625,1.557896246053464,7.43054882917564,2403.8333333333335
ETHUSDT,ema_plus_20pct,1.0,0.0,0.0,False,240,10,20,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,5767.300760263383,767.3007602633834,0.1534601520526766,0.021929586038440974,-0.07049836684126476,0.5654407723548048,187.68947979383995,162,0.2839506172839506,1.3473910677521284,4.736424446070266,2403.8333333333335
ETHUSDT,entry_minus_20pct,1.0,0.0,0.0,False,200,10,16,10,14,2.5,3.0,14,30.0,55.0,20,2.0,2.0,14,25.0,20.0,50,10,1.0,3.0,30.0,50.0,1.5,5000.0,6089.894971135792,1089.8949711357918,0.21797899422715838,0.03041583214250987,-0.06297585175868192,0.7567017327492435,203.44781718534864,168,0.3273809523809524,1.4997131762295433,6.487470066284463,2403.8333333333335
