symbol,scenario,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,base,5000.0,6803.289251375576,1803.289251375576,0.3606578502751152,0.0479063113878222,-0.043418362250507214,1.2010049190588135,221.20877727191487,129,0.35658914728682173,2.04919071436023,13.978986444771952,2403.8333333333335
BTCUSDT,fee_x2,5000.0,6425.4594920135705,1425.4594920135705,0.2850918984027142,0.038847943013428754,-0.044306830307429546,1.0428908833291752,403.0723717829493,129,0.34108527131782945,1.835269302670115,11.050073581500516,2403.8333333333335
BTCUSDT,slippage_x2,5000.0,6650.63713925741,1650.6371392574101,0.3301274278514821,0.044299178130415395,-0.04440245523849384,1.1302603597399143,215.07416922872727,129,0.34108527131782945,1.9511009896982958,12.795636738429494,2403.8333333333335
BTCUSDT,all_costs_x2,5000.0,6296.232759370755,1296.232759370755,0.2592465518741509,0.03564595203294485,-0.04523647350002158,0.9720025925115743,392.8892389594713,129,0.34108527131782945,1.7525185392235745,10.048315964114423,2403.8333333333335
BTCUSDT,delay_2_bars,5000.0,6774.561602475884,1774.5616024758838,0.35491232049517674,0.04723276360370621,-0.052054743467827014,1.1958788793007928,220.96145181935086,129,0.35658914728682173,2.067304967424706,13.756291492061132,2403.8333333333335
BTCUSDT,delay_3_bars,5000.0,6922.651625858143,1922.6516258581432,0.38453032517162855,0.05067930317830438,-0.04864177481732268,1.2845666821176616,226.66285504034803,130,0.35384615384615387,2.1486837909771563,14.789627891216526,2403.8333333333335
BTCUSDT,costs_x2_delay_2,5000.0,6276.247583135421,1276.2475831354213,0.2552495166270843,0.03514579121036476,-0.05360861156117447,0.9688993302993029,392.9231971170767,129,0.3178294573643411,1.7628032581866884,9.893392117328817,2403.8333333333335
ETHUSDT,base,5000.0,6672.138553095988,1672.1385530959878,0.3344277106191975,0.04481147297480481,-0.06394824382950304,1.0207678516124634,189.43988522114424,145,0.3310344827586207,1.7942579026924013,11.531990021351737,2403.8333333333335
ETHUSDT,fee_x2,5000.0,6373.807402712494,1373.807402712494,0.2747614805424987,0.037574713398629944,-0.06422295338485107,0.9007552026591519,352.60113056968964,145,0.31724137931034485,1.6605633019796744,9.474533811810366,2403.8333333333335
ETHUSDT,slippage_x2,5000.0,6559.601055894348,1559.601055894348,0.3119202111788697,0.04211445746591291,-0.06440721160860319,0.9721310931305418,185.48318136577626,145,0.31724137931034485,1.7397238150704328,10.755869350995535,2403.8333333333335
ETHUSDT,all_costs_x2,5000.0,6274.686194735479,1274.6861947354791,0.25493723894709586,0.035106658124916645,-0.06466428650391576,0.8521857631101738,345.7370158390112,145,0.31724137931034485,1.6118099406160007,8.790939274037832,2403.8333333333335
ETHUSDT,delay_2_bars,5000.0,6649.653637703876,1649.6536377038756,0.329930727540775,0.044275711548334096,-0.056660020377871434,1.009292489988629,186.01772352719033,145,0.32413793103448274,1.7949338821618053,11.376921639337077,2403.8333333333335
ETHUSDT,delay_3_bars,5000.0,6762.260912854299,1762.260912854299,0.35245218257085975,0.046943621077162545,-0.058382192048461845,1.0694026099096858,188.32068076601337,146,0.3150684931506849,1.8803618910158135,12.070280225029434,2403.8333333333335
ETHUSDT,costs_x2_delay_2,5000.0,6243.93280528684,1243.9328052868404,0.24878656105736807,0.03433419757352385,-0.06074840507706991,0.8338193013341968,339.6279719562123,145,0.296551724137931,1.599968087068296,8.57884693301268,2403.8333333333335
