symbol,scenario,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,base,5000.0,6823.487007399395,1823.4870073993952,0.36469740147987895,0.04837842492239708,-0.03565185882678634,1.261478033915191,234.052113742856,136,0.38235294117647056,2.0695059290442903,13.407992701466133,2403.8333333333335
BTCUSDT,fee_x2,5000.0,6429.005064886457,1429.0050648864571,0.28580101297729144,0.038935023027105276,-0.03850818719219051,1.0874963770417134,425.52263323232296,136,0.35294117647058826,1.8449529799592048,10.50739018298871,2403.8333333333335
BTCUSDT,slippage_x2,5000.0,6667.486315178458,1667.4863151784584,0.3334972630356916,0.044700747104125416,-0.03654424511965981,1.1863915694579454,227.4935314779635,136,0.36764705882352944,1.970107787442111,12.260928788076821,2403.8333333333335
BTCUSDT,all_costs_x2,5000.0,6297.485657868483,1297.485657868483,0.2594971315736967,0.03567726294045914,-0.04165149620429853,1.01222215066388,414.6909205501576,136,0.3382352941176471,1.7599484603232065,9.54033571962115,2403.8333333333335
BTCUSDT,delay_2_bars,5000.0,6852.280935624908,1852.2809356249081,0.37045618712498163,0.049049425236802335,-0.04711767420792645,1.291516239653752,236.4040711318176,137,0.39416058394160586,2.13723121666943,13.520298800181813,2403.8333333333335
BTCUSDT,delay_3_bars,5000.0,6962.462342151655,1962.4623421516553,0.39249246843033103,0.05159515874948162,-0.043970980948180194,1.3528787787552878,237.91183188213313,137,0.39416058394160586,2.1841729730118193,14.324542643442722,2403.8333333333335
BTCUSDT,costs_x2_delay_2,5000.0,6321.740844950703,1321.740844950703,0.2643481689901406,0.03628238025419206,-0.04869482317028606,1.0406900886142836,418.9762921351506,137,0.36496350364963503,1.8068588865507025,9.647743393800736,2403.8333333333335
ETHUSDT,base,5000.0,6025.473566331681,1025.4735663316806,0.2050947132663361,0.02875213142264088,-0.0679945173501807,0.7284443038353358,191.76018258588,158,0.31645569620253167,1.4789558759725603,6.4903390274157,2403.8333333333335
ETHUSDT,fee_x2,5000.0,5769.219747006566,769.2197470065657,0.15384394940131307,0.021981244914447418,-0.07003136562982248,0.5872967363986676,357.6958965265888,158,0.31645569620253167,1.3625052282623076,4.868479411433975,2403.8333333333335
ETHUSDT,slippage_x2,5000.0,5919.867650887674,919.8676508876742,0.18397353017753493,0.025991907343290155,-0.0695597633626922,0.6678334342972551,187.7690977345447,158,0.31645569620253167,1.4277074566240904,5.821947157516884,2403.8333333333335
ETHUSDT,all_costs_x2,5000.0,5675.601555286501,675.601555286501,0.13512031105730027,0.01944389696873472,-0.07151678959457208,0.5269752580435464,350.74294421121516,158,0.31645569620253167,1.3170081229835957,4.275959210674104,2403.8333333333335
ETHUSDT,delay_2_bars,5000.0,6192.71243228359,1192.7124322835898,0.23854248645671805,0.03304045774331832,-0.05837514973281932,0.8316112573304787,192.30787510048518,157,0.34394904458598724,1.5751855218491186,7.596894473143904,2403.8333333333335
ETHUSDT,delay_3_bars,5000.0,6263.169978295612,1263.169978295612,0.25263399565912237,0.03481777177869705,-0.06025017515409281,0.8784473049278719,194.33322181184843,158,0.3291139240506329,1.6213099836159253,7.994746698073458,2403.8333333333335
ETHUSDT,costs_x2_delay_2,5000.0,5819.165249876443,819.1652498764433,0.1638330499752887,0.023320672993671465,-0.06705249755434473,0.6262185480257302,351.4292532146309,157,0.31210191082802546,1.394162227501651,5.217613056537876,2403.8333333333335
