date,phdg_contribution,fx_trend_contribution,fx_cross_contribution,gross_return,phdg_turnover,fx_turnover,trading_cost,fx_gross,total_gross,roll_haircut,financing_cost,raw_net_return,net_return,equity,bankrupt
2012-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,False
2012-12-10 00:00:00+00:00,0.0038157492711193624,0.0,0.0,0.0038157492711193624,1.2000000000000002,0.0,0.0012000000000000001,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0025840032393733307,0.0025840032393733307,10025.840032393733,False
2012-12-11 00:00:00+00:00,0.0009500985756378811,0.0,0.0,0.0009500985756378811,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0009183525438918494,0.0009183525438918494,10035.047288092135,False
2012-12-12 00:00:00+00:00,0.004276249486279405,0.0,0.0,0.004276249486279405,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.004244503454533373,0.004244503454533373,10077.641080972848,False
2012-12-13 00:00:00+00:00,-0.0033136979571961604,0.0,0.0,-0.0033136979571961604,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.003345443988942192,-0.003345443988942192,10043.92689719579,False
2012-12-14 00:00:00+00:00,-0.0014242880521448066,0.0,0.0,-0.0014242880521448066,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0014560340838908384,-0.0014560340838908384,10029.302597297365,False
2012-12-17 00:00:00+00:00,0.007128855302021276,0.0,0.0,0.007128855302021276,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.007097109270275244,0.007097109270275244,10100.481653735038,False
2012-12-18 00:00:00+00:00,0.0066143508783095065,0.0,0.0,0.0066143508783095065,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.006582604846563474,0.006582604846563474,10166.969133221539,False
2012-12-19 00:00:00+00:00,0.0028193469659684393,0.0,0.0,0.0028193469659684393,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0027876009342224077,0.0027876009342224077,10195.310585875519,False
2012-12-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-3.174603174603177e-05,-3.174603174603177e-05,10194.986925221998,False
2012-12-21 00:00:00+00:00,0.0067085800656253814,0.0,0.0,0.0067085800656253814,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.006676834033879349,0.006676834033879349,10263.057160899276,False
2012-12-24 00:00:00+00:00,-0.005598084199008336,0.0,0.0,-0.005598084199008336,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0056298302307543685,-0.0056298302307543685,10205.277891434886,False
2012-12-26 00:00:00+00:00,-0.003282173503763542,0.0,0.0,-0.003282173503763542,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0033139195355095736,-0.0033139195355095736,10171.458421665156,False
2012-12-27 00:00:00+00:00,-0.003289565236392589,0.0,0.0,-0.003289565236392589,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0033213112681386207,-0.0033213112681386207,10137.675842195877,False
2012-12-28 00:00:00+00:00,-0.00848391342985484,0.0,0.0,-0.00848391342985484,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.008515659461600872,-0.008515659461600872,10051.34684699164,False
2012-12-31 00:00:00+00:00,-0.009968955416299831,0.0,0.0,-0.009968955416299831,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.010000701448045863,-0.010000701448045863,9950.826328024119,False
2013-01-02 00:00:00+00:00,0.011487746097704135,0.0,0.0,0.011487746097704135,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.011456000065958103,0.011456000065958103,10064.8229950943,False
2013-01-03 00:00:00+00:00,0.002844848837557557,0.0,0.0,0.002844848837557557,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.002813102805811525,0.002813102805811525,10093.136376901797,False
2013-01-04 00:00:00+00:00,0.0009462330498165806,0.0,0.0,0.0009462330498165806,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0009144870180705489,0.0009144870180705489,10102.366419090089,False
2013-01-07 00:00:00+00:00,-0.0028359999533580376,0.0,0.0,-0.0028359999533580376,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.002867745985104069,-0.002867745985104069,10073.395398351695,False
2013-01-08 00:00:00+00:00,-0.008053247839016243,0.0,0.0,-0.008053247839016243,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.008084993870762275,-0.008084993870762275,9991.952058298257,False
2013-01-09 00:00:00+00:00,0.0057234993732294915,0.0,0.0,0.0057234993732294915,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0056917533414834595,0.0056917533414834595,10048.823784814018,False
2013-01-10 00:00:00+00:00,0.00522118116535042,0.0,0.0,0.00522118116535042,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.005189435133604388,0.005189435133604388,10100.971504014331,False
2013-01-11 00:00:00+00:00,-0.004253653004581893,0.0,0.0,-0.004253653004581893,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.004285399036327925,-0.004285399036327925,10057.684810465053,False
2013-01-14 00:00:00+00:00,-0.0004745415076818028,0.0,0.0,-0.0004745415076818028,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0005062875394278346,-0.0005062875394278346,10052.592729970022,False
2013-01-15 00:00:00+00:00,-0.00189752377056589,0.0,0.0,-0.00189752377056589,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.001929269802311922,-0.001929269802311922,10033.198566381152,False
2013-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-3.174603174603177e-05,-3.174603174603177e-05,10032.880052140948,False
2013-01-17 00:00:00+00:00,0.00950520332418128,0.0,0.0,0.00950520332418128,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.009473457292435247,0.009473457292435247,10127.926112835034,False
2013-01-18 00:00:00+00:00,-0.006130023905447547,0.0,0.0,-0.006130023905447547,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.006161769937193579,-0.006161769937193579,10065.52016218685,False
2013-01-22 00:00:00+00:00,0.004739231065007133,0.0,0.0,0.004739231065007133,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.004707485033261101,0.004707485033261101,10112.903447702332,False
2013-01-23 00:00:00+00:00,0.0028327684801324974,0.0,0.0,0.0028327684801324974,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.0028010224483864658,0.0028010224483864658,10141.229917277713,False
2013-01-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-3.174603174603177e-05,-3.174603174603177e-05,10140.907973470814,False
2013-01-25 00:00:00+00:00,0.007064263219782153,0.0,0.0,0.007064263219782153,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.007032517188036121,0.007032517188036121,10212.22408309654,False
2013-01-28 00:00:00+00:00,-0.0009362900608966386,0.0,0.0,-0.0009362900608966386,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,-0.0009680360926426704,-0.0009680360926426704,10202.338281597948,False
2013-01-29 00:00:00+00:00,0.0028112927884453858,0.0,0.0,0.0028112927884453858,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,3.174603174603177e-05,0.002779546756699354,0.002779546756699354,10230.69615787931,False
