date,gross_fund_return,leverage,external_cost,financing_cost,net_return,equity,solvent
2014-04-11 13:30:00+00:00,0.004020168480684871,5.0,0.005,0.0006349206349206349,0.014465921768503722,10144.659217685037,True
2014-04-14 13:30:00+00:00,-0.0020021387277838754,5.0,0.0,0.0006349206349206349,-0.01064561427384001,10036.663088714005,True
2014-04-15 13:30:00+00:00,-0.0050150098676969845,5.0,0.0,0.0006349206349206349,-0.025709969973405557,9778.620782069982,True
2014-04-16 13:30:00+00:00,-0.0030240200289199937,5.0,0.0,0.0006349206349206349,-0.015755020779520602,9624.558408453417,True
2014-04-17 13:30:00+00:00,-0.002022452019829979,5.0,0.0,0.0006349206349206349,-0.010747180734070529,9521.121539752148,True
2014-04-21 13:30:00+00:00,-0.0010132058034582059,5.0,0.0,0.0006349206349206349,-0.005700949652211664,9466.842105221434,True
2014-04-22 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9460.831411821293,True
2014-04-23 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9454.824534734424,True
2014-04-24 13:30:00+00:00,0.0020283277060089144,5.0,0.0,0.0006349206349206349,0.009506717895123938,9544.70888433404,True
2014-04-25 13:30:00+00:00,-0.002024221920604141,5.0,0.0,0.0006349206349206349,-0.01075603023794134,9442.045706961795,True
2014-04-28 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9436.050757306582,True
2014-04-29 13:30:00+00:00,0.0010142334306562084,5.0,0.0,0.0006349206349206349,0.004436246518360407,9477.911404625756,True
2014-04-30 13:30:00+00:00,0.0010130667891474765,5.0,0.0,0.0006349206349206349,0.004430413310816748,9519.902469471554,True
2014-05-01 13:30:00+00:00,0.0010124581443582414,5.0,0.0,0.0006349206349206349,0.004427370086870572,9562.050600894818,True
2014-05-02 13:30:00+00:00,-0.004044626573338039,5.0,0.0,0.0006349206349206349,-0.02085805350161083,9362.604837876243,True
2014-05-05 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9356.660326868066,True
2014-05-06 13:30:00+00:00,-0.0020305260061111996,5.0,0.0,0.0006349206349206349,-0.010787550665476632,9255.724879532323,True
2014-05-07 13:30:00+00:00,0.002034657430938225,5.0,0.0,0.0006349206349206349,0.00953836651977049,9344.00937583946,True
2014-05-08 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9338.076671473847,True
2014-05-09 13:30:00+00:00,-0.0030458586574485524,5.0,0.0,0.0006349206349206349,-0.015864213922163396,9189.935425536023,True
2014-05-12 13:30:00+00:00,-0.0020366597355171434,5.0,0.0,0.0006349206349206349,-0.010818219312506351,9090.516688634803,True
2014-05-13 13:30:00+00:00,0.0,5.0,0.0,0.0006349206349206349,-0.0006349206349206349,9084.7449320071,True
2014-05-14 13:30:00+00:00,0.003061329280962477,5.0,0.0,0.0006349206349206349,0.014671725769891751,9218.033818338921,True
2014-05-15 13:30:00+00:00,-0.0020345178509539874,5.0,0.0,0.0006349206349206349,-0.010807509889690571,9118.40982668372,True
2014-05-16 13:30:00+00:00,-0.0020387354846830297,5.0,0.0,0.0006349206349206349,-0.010828598058335782,9019.670231739385,True
2014-05-19 13:30:00+00:00,0.0010212750212905686,5.0,0.0,0.0006349206349206349,0.004471454471532208,9060.001276528841,True
2014-05-20 13:30:00+00:00,0.0020408161836660277,5.0,0.0,0.0006349206349206349,0.009569160283409504,9146.697880911841,True
2014-05-21 13:30:00+00:00,-0.003054814950604001,5.0,0.0,0.0006349206349206349,-0.01590899538794064,9001.183106509528,True
2014-05-22 13:30:00+00:00,0.0010212750212905686,5.0,0.0,0.0006349206349206349,0.004471454471532208,9041.431486960211,True
2014-05-23 13:30:00+00:00,0.0010205831009386657,5.0,0.0,0.0006349206349206349,0.004467994869772693,9081.828556459352,True
