symbol,fold,start_time,end_time,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
BTCUSDT,1,2022-08-19 12:00:00+00:00,2023-04-16 16:00:00+00:00,5000.0,5373.683774970168,373.6837749701681,0.07473675499403365,0.11576263595708913,-0.010430545408024683,2.6209661552648837,11.36079209731143,9,0.3333333333333333,5.7191807656877165,41.52041944112976,240.33333333333334
BTCUSDT,2,2023-04-16 20:00:00+00:00,2023-12-13 04:00:00+00:00,5000.0,5178.058855683616,178.05885568361555,0.0356117711367232,0.05458069794589049,-0.011856727104153197,2.3270722615404913,8.764268540269406,7,0.5714285714285714,4.8843226465629135,25.43697938337352,240.5
BTCUSDT,3,2023-12-13 08:00:00+00:00,2024-08-09 12:00:00+00:00,5000.0,5084.377703787875,84.37770378787536,0.016875540757575136,0.025759019112518988,-0.009946192013814525,1.2036132269694348,9.10261188359067,9,0.4444444444444444,2.4578536564843687,9.375300420875066,240.33333333333334
BTCUSDT,4,2024-08-09 16:00:00+00:00,2025-04-07 00:00:00+00:00,5000.0,5041.231150943808,41.231150943807734,0.008246230188761583,0.01255038969991551,-0.013104199925814908,0.7085126290606619,12.514978395785368,13,0.46153846153846156,1.5235841750248518,3.171626995677528,240.5
BTCUSDT,5,2025-04-07 04:00:00+00:00,2025-12-03 08:00:00+00:00,5000.0,5022.637453309579,22.637453309578632,0.004527490661915712,0.0068888083883735796,-0.014509827598097047,0.3993247400009946,15.305999063259737,11,0.36363636363636365,1.2410882190106904,2.0579503008707305,240.33333333333334
BTCUSDT,6,2025-12-03 12:00:00+00:00,2026-07-31 20:00:00+00:00,5000.0,4905.153190816036,-94.84680918396407,-0.018969361836792764,-0.028666809787822656,-0.023749125055897213,-2.339656979974669,11.712901088835993,10,0.2,0.05450902962829663,-9.48468091839639,240.5
ETHUSDT,1,2022-08-19 12:00:00+00:00,2023-04-16 16:00:00+00:00,5000.0,5118.618352731457,118.61835273145698,0.02372367054629132,0.03627583690618574,-0.015694964751844065,1.3643191505073584,5.8197324339431455,7,0.42857142857142855,3.7829025286612863,16.94547896163674,240.33333333333334
ETHUSDT,2,2023-04-16 20:00:00+00:00,2023-12-13 04:00:00+00:00,5000.0,5033.043172031132,33.04317203113169,0.006608634406226388,0.010053790296703502,-0.011122415232331817,0.4990819531540579,8.481323807366703,8,0.5,1.9580204935461234,4.130396503891418,240.5
ETHUSDT,3,2023-12-13 08:00:00+00:00,2024-08-09 12:00:00+00:00,5000.0,5152.525803848574,152.52580384857356,0.030505160769714657,0.04672641240179676,-0.014782358767865378,1.6275773379477447,8.121401185227159,10,0.4,3.877576761726962,15.252580384857357,240.33333333333334
ETHUSDT,4,2024-08-09 16:00:00+00:00,2025-04-07 00:00:00+00:00,5000.0,4977.25002508499,-22.74997491501017,-0.004549994983002015,-0.006901967144990806,-0.014876854962537212,-0.5552833425970074,7.667507571179495,10,0.4,0.7027969657383331,-2.2749974915009035,240.5
ETHUSDT,5,2025-04-07 04:00:00+00:00,2025-12-03 08:00:00+00:00,5000.0,5239.219859713983,239.21985971398317,0.04784397194279655,0.07360883251337991,-0.009006676986656581,2.7591144672232306,5.362645507750536,6,0.6666666666666666,10.346368762624385,39.86997661899705,240.33333333333334
ETHUSDT,6,2025-12-03 12:00:00+00:00,2026-07-31 20:00:00+00:00,5000.0,4944.549632039629,-55.450367960371295,-0.011090073592074257,-0.016794086474052783,-0.018617241281708163,-1.4083768154440763,6.168429196109846,7,0.14285714285714285,0.16022161302286939,-7.9214811371959835,240.5
