symbol,fold,strategy,trade_count,net_profit
BTCUSDT,1,trend_breakout,9,569.6759315005459
BTCUSDT,2,trend_breakout,15,41.028213237927886
BTCUSDT,3,trend_breakout,16,147.67696127503032
BTCUSDT,4,trend_breakout,12,114.93179079915606
BTCUSDT,5,trend_breakout,15,101.43002684318067
BTCUSDT,6,trend_breakout,10,-44.77949282835612
ETHUSDT,1,trend_breakout,14,192.4200881571498
ETHUSDT,2,trend_breakout,10,140.59562002815957
ETHUSDT,3,trend_breakout,16,136.56121431560123
ETHUSDT,4,trend_breakout,10,-47.43809121289985
ETHUSDT,5,trend_breakout,14,424.84966534360024
ETHUSDT,6,trend_breakout,15,-205.88002623675627
