date,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,net_return,equity
2007-07-02 13:30:00+00:00,0.004034503348434582,2.0,0.02202059059539274,0.0010110102952976964,3.968253968253968e-05,0.00015873015873015873,0.0028250803547241864,10028.250803547242
2007-07-03 13:30:00+00:00,-0.0007022118103008346,0.0,0.009984620029461766,4.992310014730883e-06,3.968253968253968e-05,0.00015873015873015873,-0.0009056168187282639,10019.169050957127
2007-07-05 13:30:00+00:00,-0.0027216248049057867,0.0,0.005757247345153704,2.878623672576852e-06,3.968253968253968e-05,0.00015873015873015873,-0.002922916126991062,9989.883860159034
2007-07-06 13:30:00+00:00,-0.004526411064817326,0.0,0.009190953152216297,4.595476576108148e-06,3.968253968253968e-05,0.00015873015873015873,-0.004729419239806133,9942.637511227369
2007-07-09 13:30:00+00:00,0.0023389772012571974,0.0,0.0025489342908291412,1.2744671454145707e-06,3.968253968253968e-05,0.00015873015873015873,0.0021392900356990846,9963.907696583707
2007-07-10 13:30:00+00:00,0.0035336564479742094,0.0,0.0035336564479742094,1.7668282239871048e-06,3.968253968253968e-05,0.00015873015873015873,0.0033334769213375238,9997.122152936605
2007-07-11 13:30:00+00:00,0.0032746993679323433,0.0,0.0032746993679323433,1.6373496839661716e-06,3.968253968253968e-05,0.00015873015873015873,0.0030746493198356784,10027.859797764448
2007-07-12 13:30:00+00:00,-0.004210689926710476,0.0,0.013477887870888328,6.7389439354441635e-06,3.968253968253968e-05,0.00015873015873015873,-0.004415841569058618,9983.578357620787
2007-07-13 13:30:00+00:00,0.0077635003354114,0.0,0.0077635003354114,3.8817501677057e-06,3.968253968253968e-05,0.00015873015873015873,0.0075612058868309955,10059.066249070067
2007-07-16 13:30:00+00:00,-0.0025353733817619073,0.0,0.009187227572449608,4.593613786224804e-06,3.968253968253968e-05,0.00015873015873015873,-0.0027383796939608306,10031.520706313408
2007-07-17 13:30:00+00:00,0.0010090163735589908,0.0,0.0010090163735589908,5.045081867794954e-07,3.968253968253968e-05,0.00015873015873015873,0.0008100991669595129,10039.64723288093
2007-07-18 13:30:00+00:00,0.006049064535703086,0.0,0.006049064535703086,3.024532267851543e-06,3.968253968253968e-05,0.00015873015873015873,0.005847627305022536,10098.355348172718
2007-07-19 13:30:00+00:00,0.0013831544443869692,0.0,0.004301557789354815,2.1507788946774075e-06,3.968253968253968e-05,0.00015873015873015873,0.0011825909670795933,10110.297571989826
2007-07-20 13:30:00+00:00,0.005212202104212027,0.0,0.005212202104212027,2.6061010521060137e-06,3.968253968253968e-05,0.00015873015873015873,0.005011183304747222,10160.96212638861
2007-07-23 13:30:00+00:00,0.0027309217869855296,0.0,0.005661081224918263,2.8305406124591314e-06,3.968253968253968e-05,0.00015873015873015873,0.002529678547960372,10186.66609430637
2007-07-24 13:30:00+00:00,-0.011310912642771176,0.0,0.011310912642771176,5.655456321385588e-06,3.968253968253968e-05,0.00015873015873015873,-0.011514980797505259,10069.366829839837
2007-07-25 13:30:00+00:00,0.0060151293771977254,0.0,0.0060151293771977254,3.007564688598863e-06,3.968253968253968e-05,0.00015873015873015873,0.005813709114096428,10127.907199551655
2007-07-26 13:30:00+00:00,0.0006993870490085152,0.0,0.02484123052713494,1.242061526356747e-05,3.968253968253968e-05,0.00015873015873015873,0.0004885537353322494,10132.855226445094
2007-07-27 13:30:00+00:00,-0.0152212716314305,0.0,0.029313802735540517,1.4656901367770259e-05,3.968253968253968e-05,0.00015873015873015873,-0.015434341231210968,9976.46128123368
2007-07-30 13:30:00+00:00,0.008286786859702855,0.0,0.008286786859702855,4.143393429851427e-06,3.968253968253968e-05,0.00015873015873015873,0.008084230767860306,10057.113296477797
2007-07-31 13:30:00+00:00,-0.004140081798907347,0.0,0.004140081798907347,2.0700408994536733e-06,3.968253968253968e-05,0.00015873015873015873,-0.004340564538219499,10013.45974714625
2007-08-01 13:30:00+00:00,-0.008404368822563901,0.0,0.008639439784610348,4.319719892305174e-06,3.968253968253968e-05,0.00015873015873015873,-0.008607101240868904,9927.272885331195
2007-08-02 13:30:00+00:00,0.0012594086921202674,0.0,0.00929628751436784,4.64814375718392e-06,3.968253968253968e-05,0.00015873015873015873,0.001056347849950385,9937.759538699485
2007-08-03 13:30:00+00:00,-0.0010124471023037485,0.0,0.002486857688051347,1.2434288440256736e-06,3.968253968253968e-05,0.00015873015873015873,-0.0012121032295604726,9925.713948268032
2007-08-06 13:30:00+00:00,0.0014329537607462584,0.0,0.006280455215813774,3.140227607906887e-06,3.968253968253968e-05,0.00015873015873015873,0.001231400834725653,9937.936480709177
2007-08-07 13:30:00+00:00,-0.00036882258024084624,0.0,0.002889828725081256,1.444914362540628e-06,3.968253968253968e-05,0.00015873015873015873,-0.0005686801930160853,9932.284973073147
2007-08-08 13:30:00+00:00,0.002238230335460445,0.0,0.011290143928221363,5.645071964110682e-06,3.968253968253968e-05,0.00015873015873015873,0.002034172565083636,9952.488954673965
2007-08-09 13:30:00+00:00,-0.007032997314705414,0.0,0.01960921669077731,9.804608345388655e-06,3.968253968253968e-05,0.00015873015873015873,-0.007241214621463501,9880.420846135425
2007-08-10 13:30:00+00:00,-0.009259048991686059,0.0,0.009259048991686059,4.62952449584303e-06,3.968253968253968e-05,0.00015873015873015873,-0.0094620912145946,9786.931402850709
2007-08-13 13:30:00+00:00,-0.0025493668392616575,0.0,0.0025493668392616575,1.2746834196308288e-06,3.968253968253968e-05,0.00015873015873015873,-0.0027490542210939868,9760.026597766146
2007-08-14 13:30:00+00:00,0.003144714472218313,0.0,0.02210389803356705,1.1051949016783525e-05,3.968253968253968e-05,0.00015873015873015873,0.002935249824788831,9788.674714127172
2007-08-15 13:30:00+00:00,-0.005746095679333929,0.0,0.027266758732808927,1.3633379366404464e-05,3.968253968253968e-05,0.00015873015873015873,-0.005958141757113032,9730.352402566135
2007-08-16 13:30:00+00:00,-0.040116014003048206,0.0,0.040116014003048206,2.0058007001524103e-05,3.968253968253968e-05,0.00015873015873015873,-0.040334484708462424,9337.88365237688
2007-08-17 13:30:00+00:00,-0.0032947252325803422,0.0,0.025295362994730786,1.2647681497365392e-05,3.968253968253968e-05,0.00015873015873015873,-0.0035057856124904056,9305.147034217269
2007-08-20 13:30:00+00:00,0.004501862418057723,0.0,0.019760423397772175,9.880211698886088e-06,3.968253968253968e-05,0.00015873015873015873,0.004293569507946138,9345.099329790339
2007-08-21 13:30:00+00:00,0.0024405113117329513,0.0,0.01627924621628285,8.139623108141425e-06,3.968253968253968e-05,0.00015873015873015873,0.0022339589902121114,9365.97589845255
2007-08-22 13:30:00+00:00,0.005883554522307932,0.0,0.006309907129118386,3.1549535645591933e-06,3.968253968253968e-05,0.00015873015873015873,0.005681986870330675,9419.19325053539
2007-08-23 13:30:00+00:00,0.009425130372625823,0.0,0.02470743654086105,1.2353718270430524e-05,3.968253968253968e-05,0.00015873015873015873,0.009214363955942695,9505.985125317184
2007-08-24 13:30:00+00:00,0.005384771960760482,0.0,0.012125062836931821,6.062531418465911e-06,3.968253968253968e-05,0.00015873015873015873,0.005180296730929317,9555.228948986127
2007-08-27 13:30:00+00:00,0.005099875109878083,0.0,0.005099875109878083,2.5499375549390415e-06,3.968253968253968e-05,0.00015873015873015873,0.004898912473910445,9602.039179275387
2007-08-28 13:30:00+00:00,-0.005083726520122234,0.0,0.025897750416968845,1.2948875208484423e-05,3.968253968253968e-05,0.00015873015873015873,-0.0052950880937434166,9551.195535941548
2007-08-29 13:30:00+00:00,0.00374240974554918,0.0,0.013090130044106418,6.5450650220532095e-06,3.968253968253968e-05,0.00015873015873015873,0.0035374519821144285,9584.982431521728
2007-08-30 13:30:00+00:00,-0.011927799266318484,0.0,0.011927799266318484,5.963899633159242e-06,3.968253968253968e-05,0.00015873015873015873,-0.01213217586436434,9468.695739005663
2007-08-31 13:30:00+00:00,0.0003388716305199324,0.0,0.00772468508991464,3.8623425449573205e-06,3.968253968253968e-05,0.00015873015873015873,0.00013659658956227666,9469.989130551216
2007-09-04 13:30:00+00:00,0.0020860012631822578,0.0,0.01248586905919602,6.24293452959801e-06,3.968253968253968e-05,0.00015873015873015873,0.0018813456302399615,9487.805453220399
2007-09-05 13:30:00+00:00,0.0024423028401903135,0.0,0.005112617490356408,2.556308745178204e-06,3.968253968253968e-05,0.00015873015873015873,0.002241333833032437,9509.07079258393
2007-09-06 13:30:00+00:00,0.00624567386804098,0.0,0.01003772567521799,5.018862837608995e-06,3.968253968253968e-05,0.00015873015873015873,0.006042242306790672,9566.52690242515
2007-09-07 13:30:00+00:00,8.467993537242258e-05,0.0,0.003700195649653626,1.850097824826813e-06,3.968253968253968e-05,0.00015873015873015873,-0.00011558286086510265,9565.421175877225
2007-09-10 13:30:00+00:00,-0.0031039997224296956,0.0,0.0031039997224296956,1.5519998612148477e-06,3.968253968253968e-05,0.00015873015873015873,-0.0033039644207036086,9533.81736464308
2007-09-11 13:30:00+00:00,0.00031063611824788673,0.0,0.022176961161713526,1.1088480580856763e-05,3.968253968253968e-05,0.00015873015873015873,0.00010113493925433155,9534.781566683116
2007-09-12 13:30:00+00:00,0.004563164144483878,0.0,0.01600287056344296,8.001435281721481e-06,3.968253968253968e-05,0.00015873015873015873,0.004356750010789457,9576.322226376638
2007-09-13 13:30:00+00:00,-0.0061495440818971625,0.0,0.0061495440818971625,3.074772040948581e-06,3.968253968253968e-05,0.00015873015873015873,-0.00635103155235081,9515.502701761441
2007-09-14 13:30:00+00:00,0.0005250094810467232,0.0,0.0058847290903987215,2.9423645451993607e-06,3.968253968253968e-05,0.00015873015873015873,0.0003236544180888254,9518.582436251203
2007-09-17 13:30:00+00:00,-0.01469891356549935,0.0,0.01469891356549935,7.349456782749675e-06,3.968253968253968e-05,0.00015873015873015873,-0.014904675720694796,9376.711051718179
2007-09-18 13:30:00+00:00,0.007651760577127131,0.0,0.037395975172620055,1.8697987586310027e-05,3.968253968253968e-05,0.00015873015873015873,0.0074346498911281225,9446.423615517975
2007-09-19 13:30:00+00:00,0.008699617705091534,0.0,0.008699617705091534,4.349808852545767e-06,3.968253968253968e-05,0.00015873015873015873,0.00849685519782629,9526.68850911636
2007-09-20 13:30:00+00:00,-0.008342978228905062,0.0,0.020214681682691138,1.010734084134557e-05,3.968253968253968e-05,0.00015873015873015873,-0.008551498268159105,9445.22104882936
2007-09-21 13:30:00+00:00,0.004081992459259887,0.0,0.004480468382115355,2.2402341910576772e-06,3.968253968253968e-05,0.00015873015873015873,0.0038813395266561303,9481.881158624186
2007-09-24 13:30:00+00:00,0.004629964812816301,0.0,0.004629964812816301,2.3149824064081502e-06,3.968253968253968e-05,0.00015873015873015873,0.004429237131997194,9523.878658733149
2007-09-25 13:30:00+00:00,0.007276066971243611,0.0,0.007276066971243611,3.6380334856218056e-06,3.968253968253968e-05,0.00015873015873015873,0.007074016239345291,9591.25073102658
2007-09-26 13:30:00+00:00,0.005637458987577393,0.0,0.005637458987577393,2.8187294937886965e-06,3.968253968253968e-05,0.00015873015873015873,0.005436227559670905,9643.390952582298
2007-09-27 13:30:00+00:00,-0.0023426667181016825,0.0,0.005066189949593181,2.53309497479659e-06,3.968253968253968e-05,0.00015873015873015873,-0.002543612511489177,9618.861902702129
2007-09-28 13:30:00+00:00,0.004471087683859398,0.0,0.01843830453160633,9.219152265803166e-06,3.968253968253968e-05,0.00015873015873015873,0.004263455833180897,9659.871495589765
2007-10-01 13:30:00+00:00,0.005308119861062499,0.0,0.011629252903422982,5.814626451711491e-06,3.968253968253968e-05,0.00015873015873015873,0.005103892536198089,9709.174441616738
2007-10-02 13:30:00+00:00,-0.0038849403373838465,0.0,0.017556615182545365,8.778307591272683e-06,3.968253968253968e-05,0.00015873015873015873,-0.004092131343387818,9669.443224565779
2007-10-03 13:30:00+00:00,-0.0024093265080673554,0.0,0.003008168898103847,1.5040844490519235e-06,3.968253968253968e-05,0.00015873015873015873,-0.0026092432909291053,9644.213294705061
2007-10-04 13:30:00+00:00,0.004568852562919723,0.0,0.008560472677718867,4.280236338859433e-06,3.968253968253968e-05,0.00015873015873015873,0.004366159628168165,9686.321469437844
2007-10-05 13:30:00+00:00,-0.004825231623863502,0.0,0.026641862683007833,1.3320931341503918e-05,3.968253968253968e-05,0.00015873015873015873,-0.005036965253617704,9637.531804760914
2007-10-08 13:30:00+00:00,7.966675070569806e-05,0.0,0.010311402546492987,5.155701273246494e-06,3.968253968253968e-05,0.00015873015873015873,-0.00012390164898024684,9636.337698678204
