strategy,entry_time,exit_time,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_profit,net_profit,return_rate,exit_reason
trend_breakout,2020-01-29 00:00:00+00:00,2020-02-16 00:00:00+00:00,175.66779,260.0797712508138,2.22141903353335,0.3902317722847395,0.5777461540935575,187.51438180881803,186.54640388243973,0.4775624566587578,stop
trend_breakout,2020-03-07 16:00:00+00:00,2020-03-07 16:00:00+00:00,246.953415,236.36983801235633,1.4396743146631743,0.35553248849385544,0.34029558454748465,-15.23690394637086,-15.932732019412201,-0.0447689471970241,same_bar_stop
trend_breakout,2020-04-06 16:00:00+00:00,2020-04-10 04:00:00+00:00,161.38065,159.46330066232264,1.9434092029147245,0.3136286403823601,0.30990244603431555,-3.726194348044643,-4.349725434461319,-0.013855176137961268,stop
trend_breakout,2020-04-18 16:00:00+00:00,2020-04-20 08:00:00+00:00,184.59224999999998,175.2016891343606,1.623666015147663,0.29971616298464115,0.2844690284439269,-15.247134540714269,-15.831319732142838,-0.052768272723167704,stop
trend_breakout,2020-04-29 08:00:00+00:00,2020-04-30 08:00:00+00:00,205.392645,210.1040275465983,1.7735993650924555,0.3642842647666601,0.37264036986001453,8.356105093354449,7.619180458727775,0.02089458597590944,stop
trend_breakout,2020-05-30 08:00:00+00:00,2020-06-02 12:00:00+00:00,232.266075,235.29466636573756,1.741444353349558,0.40447844478341494,0.40975256811588184,5.274123332466891,4.459892319567595,0.011015264076854952,stop
range_mean_reversion,2020-06-11 20:00:00+00:00,2020-06-12 12:00:00+00:00,232.49618999999998,237.251315,1.3756852988932013,0.3198415906316805,0.3263831461885801,6.541555556899563,5.895330820079302,0.01841361958921314,signal
trend_breakout,2020-06-22 16:00:00+00:00,2020-06-24 12:00:00+00:00,241.610745,236.0420870611654,2.3356288482610936,0.5643130260718547,0.5513067079438145,-13.006318128040263,-14.121937862055931,-0.02500000776205286,stop
trend_breakout,2020-07-08 12:00:00+00:00,2020-07-10 04:00:00+00:00,244.19203499999998,237.5731800264394,2.047961829471077,0.5000959667408652,0.48654080440020836,-13.555162340656878,-14.541799111797951,-0.029048968210306707,stop
trend_breakout,2020-07-23 00:00:00+00:00,2020-08-02 04:00:00+00:00,263.881875,374.17465154821343,1.7766777105934652,0.46883304554211097,0.6647877632747875,195.9547177326765,194.8210969238596,0.41512959102181013,stop
trend_breakout,2020-08-14 00:00:00+00:00,2020-08-17 08:00:00+00:00,424.75227,423.38820000000004,0.6913737457167886,0.2936625679116087,0.29271948572628886,-0.9430821853198789,-1.5294642389577766,-0.005203033922644933,signal
trend_breakout,2020-08-31 00:00:00+00:00,2020-09-02 08:00:00+00:00,429.15446999999995,446.66418644666464,0.9416901634089183,0.40413054298196766,0.4206192707238712,16.488727741903503,15.663977928197664,0.038720977343445415,stop
range_mean_reversion,2020-09-21 12:00:00+00:00,2020-09-21 12:00:00+00:00,352.65624,340.1987597642965,0.762678401311766,0.2689632973358185,0.2594622462252792,-9.501051110539299,-10.029476654100396,-0.03725213550008475,same_bar_stop
trend_breakout,2020-10-10 04:00:00+00:00,2020-10-15 12:00:00+00:00,376.478145,372.023895,1.1980891670585017,0.45105438715877977,0.44571779848640947,-5.3365886723703335,-6.233360858015523,-0.013805726984535818,signal
trend_breakout,2020-10-22 12:00:00+00:00,2020-10-26 12:00:00+00:00,415.5476699999999,404.90744500000005,0.9797134015217146,0.40711762127012285,0.39669325024241664,-10.424371027706261,-11.2281818992188,-0.027552147949995144,signal
trend_breakout,2020-11-06 04:00:00+00:00,2020-11-07 16:00:00+00:00,426.903345,427.51549191468143,0.769063021857266,0.32831557654667504,0.3287863561027005,0.47077955602550414,-0.1863223766238714,-0.0005669430684383805,stop
trend_breakout,2020-11-11 20:00:00+00:00,2020-11-15 08:00:00+00:00,468.724245,460.57959500000004,0.696158462405579,0.3263063496914159,0.32063638267058436,-5.669967020831568,-6.316909753193569,-0.01933949235130542,signal
trend_breakout,2020-11-21 16:00:00+00:00,2020-11-22 08:00:00+00:00,537.378555,513.323781499179,0.6414170134129593,0.3446837478202717,0.3292546068430499,-15.429140977221838,-16.10307933188516,-0.046671746031767776,stop
trend_breakout,2020-11-22 20:00:00+00:00,2020-11-25 20:00:00+00:00,573.316515,556.7466944608846,0.45781839652379114,0.262474847597908,0.2548888789280032,-7.585968669904805,-8.103332396430716,-0.0308419539371359,stop
trend_breakout,2020-12-01 00:00:00+00:00,2020-12-01 12:00:00+00:00,616.958325,581.8204031083009,0.45334776277165234,0.27969667636209594,0.26376697808404914,-15.929698278046844,-16.47316193249299,-0.05883768602942151,stop
range_mean_reversion,2020-12-09 04:00:00+00:00,2020-12-09 08:00:00+00:00,552.3860549999999,538.160785,0.4830843473490201,0.26684905686437493,0.2599770515905614,-6.872005273813552,-7.398831382268488,-0.0276989547168714,signal
trend_breakout,2020-12-17 00:00:00+00:00,2020-12-20 20:00:00+00:00,637.4985899999999,621.6094412030196,0.6237624671823534,0.3976476933236715,0.38773663866863955,-9.91105465503195,-10.696438987024262,-0.02687241347856289,stop
trend_breakout,2020-12-28 20:00:00+00:00,2020-12-29 04:00:00+00:00,744.61212,691.4858366744563,0.29942450354929295,0.22295511436778656,0.20704780335761655,-15.907311010169996,-16.3373139278954,-0.07320304349707514,stop
trend_breakout,2021-01-04 00:00:00+00:00,2021-01-04 08:00:00+00:00,978.819165,903.6150114557743,0.21087491143280576,0.2064084047281079,0.19054973551009016,-15.858669218017727,-16.255627358255925,-0.07867600154982557,stop
trend_breakout,2021-01-07 04:00:00+00:00,2021-01-08 00:00:00+00:00,1213.776585,1087.0907898009568,0.12539551685977543,0.15220214222836817,0.13631631146059245,-15.885830767775683,-16.174349221464645,-0.1061627043737008,stop
trend_breakout,2021-02-03 16:00:00+00:00,2021-02-07 12:00:00+00:00,1598.3587799999998,1563.8750307782846,0.151942519845464,0.2428586606503216,0.23761911289985516,-5.239547750466472,-5.720025524016649,-0.02352936970624061,stop
trend_breakout,2021-02-20 04:00:00+00:00,2021-02-20 20:00:00+00:00,2019.4392149999999,1923.595641103145,0.1609923169902396,0.3251141982438006,0.30968411921352074,-15.430079030279915,-16.064877347737237,-0.04936366546250658,stop
trend_breakout,2021-03-10 00:00:00+00:00,2021-03-10 00:00:00+00:00,1871.43525,1764.432909507009,0.14447588365430084,0.2703772614455574,0.25491800374975415,-15.45925769580324,-15.98455296099855,-0.05906038211662755,same_bar_stop
trend_breakout,2021-03-30 12:00:00+00:00,2021-03-31 08:00:00+00:00,1849.7844299999997,1774.776877136862,0.2022663432621528,0.37414913247936554,0.3589776290446961,-15.1715034346695,-15.904630196193562,-0.042466332474030505,stop
trend_breakout,2021-03-31 20:00:00+00:00,2021-04-04 00:00:00+00:00,1901.580315,1981.1454214558808,0.17708019090041677,0.33673220519267466,0.350821609432894,14.089404240219359,13.401850425593791,0.0397599687739087,stop
trend_breakout,2021-04-14 04:00:00+00:00,2021-04-16 08:00:00+00:00,2348.27355,2326.332429859852,0.155445799846239,0.3650292602375171,0.36161860526780937,-3.4106549697077426,-4.137302835213069,-0.011322844812106714,stop
trend_breakout,2021-05-01 08:00:00+00:00,2021-05-10 20:00:00+00:00,2860.199385,3742.4509681899526,0.10218865091408405,0.2922799164984429,0.3824360155514389,90.15609905299607,89.48138312094619,0.3058437685378653,stop
trend_breakout,2021-05-12 04:00:00+00:00,2021-05-12 16:00:00+00:00,4334.286059999999,4004.1149119803877,0.04820790653434284,0.20894685727358508,0.19302999742951896,-15.91685984406612,-16.318836698769225,-0.07802239467645526,stop
trend_breakout,2021-07-24 00:00:00+00:00,2021-07-27 00:00:00+00:00,2125.32213,2170.6129740027413,0.1338899064802767,0.28455918122616247,0.2906231680941024,6.063986867939837,5.488804518619572,0.019269528306184246,stop
trend_breakout,2021-07-31 00:00:00+00:00,2021-08-03 04:00:00+00:00,2463.000885,2456.912431248673,0.12054287360107674,0.29689720435989514,0.29616328464892294,-0.7339197109722183,-1.3269801999810364,-0.004465028723640856,stop
trend_breakout,2021-08-06 20:00:00+00:00,2021-08-12 16:00:00+00:00,2930.614575,3028.315085,0.08526351682293583,0.24987450511705345,0.2582047941950478,8.33028907799442,7.822209778682319,0.0312732800796879,signal
trend_breakout,2021-09-01 08:00:00+00:00,2021-09-07 08:00:00+00:00,3518.608425,3765.214447850172,0.09434235305578119,0.3319537982963962,0.3552191907698091,23.265392473412966,22.57821948434676,0.06794820223863396,stop
trend_breakout,2021-09-16 00:00:00+00:00,2021-09-17 08:00:00+00:00,3615.356775,3431.6353619300303,0.08602081547720657,0.31099593802654363,0.29519207225364014,-15.803865772903528,-16.410053783183713,-0.05271342200508563,stop
trend_breakout,2021-10-02 16:00:00+00:00,2021-10-10 16:00:00+00:00,3388.243275,3555.88117,0.08937027949108457,0.3028082484705377,0.3177900939999848,14.981845529447115,14.361247186976593,0.04737948969076981,signal
trend_breakout,2021-10-16 12:00:00+00:00,2021-10-17 12:00:00+00:00,3958.7283749999997,3799.7007187509817,0.09832840501351625,0.389255446995499,0.3736185112034953,-15.636935792003683,-16.399809750202678,-0.0420891382518489,stop
trend_breakout,2021-10-21 04:00:00+00:00,2021-10-22 12:00:00+00:00,4187.912909999999,4006.2940572107814,0.08596779759196214,0.3600256493796451,0.3444122766041772,-15.61337277546784,-16.317810701451663,-0.04527874394601689,stop
trend_breakout,2021-11-10 16:00:00+00:00,2021-11-10 20:00:00+00:00,4849.363469999999,4690.679000455476,0.09651519539850839,0.4680372628654386,0.4527218002806403,-15.315462584798327,-16.236221647944404,-0.03465536386354216,stop
range_mean_reversion,2021-11-16 08:00:00+00:00,2021-11-16 08:00:00+00:00,4314.57621,4161.670692003576,0.061607549775999526,0.26581046861991836,0.2563903343089287,-9.420134310989704,-9.942335113918551,-0.037366484332901344,same_bar_stop
range_mean_reversion,2021-11-16 12:00:00+00:00,2021-11-16 16:00:00+00:00,4294.586219999999,4283.67709,0.0561783067494771,0.2412625820292373,0.24064972557772746,-0.6128564515098723,-1.0947687591168371,-0.0045331318053301265,signal
range_mean_reversion,2021-12-28 20:00:00+00:00,2021-12-29 00:00:00+00:00,3809.8639799999996,3790.853625,0.0875412011932239,0.3335200691919967,0.33185587988018717,-1.6641893118095603,-2.3295652608817443,-0.006977805049324243,signal
trend_breakout,2022-02-05 16:00:00+00:00,2022-02-11 00:00:00+00:00,3052.8556649999996,3037.4929497743046,0.09982288745521331,0.30474486746430535,0.3032113168713243,-1.5335505929810396,-2.1415067773166694,-0.007020191767978983,stop
trend_breakout,2022-02-16 00:00:00+00:00,2022-02-17 08:00:00+00:00,3185.121765,3030.2934317316476,0.10024811990338371,0.31930246860459716,0.3037812192866703,-15.52124931792683,-16.144333005818098,-0.05051074259306518,stop
trend_breakout,2022-03-17 16:00:00+00:00,2022-03-31 16:00:00+00:00,2802.76068,3293.496431110929,0.13035662140403065,0.36535841284886345,0.42932906736585347,63.97065451698998,63.17596703677526,0.1727423044414755,stop
trend_breakout,2022-07-16 20:00:00+00:00,2022-07-25 16:00:00+00:00,1336.898115,1484.708255599672,0.16751313798939418,0.22394799841575597,0.24870813889426058,24.760140478504606,24.287484341194588,0.10834310327270809,stop
trend_breakout,2022-07-28 16:00:00+00:00,2022-08-01 20:00:00+00:00,1729.1841599999998,1621.46886,0.12302303757978506,0.21272948789804905,0.19947802449823124,-13.251463399817801,-13.663670912214082,-0.06416609669960073,signal
trend_breakout,2022-08-08 12:00:00+00:00,2022-08-09 08:00:00+00:00,1790.2646849999999,1716.26365630993,0.21201300715057825,0.3795593994623327,0.36387021883751475,-15.68918062481794,-16.43261024311779,-0.043250658717247384,stop
trend_breakout,2022-08-11 00:00:00+00:00,2022-08-15 04:00:00+00:00,1854.50679,1898.3949925091108,0.16609289582792894,0.30802040308365686,0.3153099217310777,7.289518647420806,6.666188322606072,0.021620414515214965,stop
range_mean_reversion,2022-08-19 08:00:00+00:00,2022-08-19 12:00:00+00:00,1745.502315,1706.86614,0.1367530622991214,0.23870278682645563,0.2334191715796809,-5.283615246774739,-5.755737205180875,-0.024088479629453728,signal
trend_breakout,2022-09-09 16:00:00+00:00,2022-09-13 12:00:00+00:00,1720.1996699999997,1667.0062827252593,0.17742844460891827,0.30521235186487444,0.2957743318972374,-9.438019967637018,-10.039006651399129,-0.032859016394479,stop
trend_breakout,2022-10-25 20:00:00+00:00,2022-11-02 08:00:00+00:00,1494.08667,1536.7462716016373,0.2719427810699465,0.40630608419933545,0.4179070548982206,11.60097069888522,10.776757559787663,0.02649724428674222,stop
trend_breakout,2023-01-06 20:00:00+00:00,2023-01-18 16:00:00+00:00,1273.7565599999998,1504.4504071944232,0.5905902590179855,0.7522682166962581,0.8885137556646682,136.24553896841005,134.60475699604913,0.17875311454722087,stop
trend_breakout,2023-02-16 00:00:00+00:00,2023-02-21 20:00:00+00:00,1675.75746,1647.7758502559109,0.26755339795904937,0.44835460257822574,0.4408680278108307,-7.4865747673950995,-8.375797397784156,-0.018662527204360416,stop
trend_breakout,2023-03-14 16:00:00+00:00,2023-03-14 20:00:00+00:00,1770.9150149999998,1681.431417532352,0.18312195445421747,0.3242934187191198,0.3079070074592497,-16.386411259870126,-17.018611686048494,-0.05242662692053619,stop
trend_breakout,2023-03-18 00:00:00+00:00,2023-03-21 00:00:00+00:00,1790.15463,1731.9036150000002,0.18005733567413124,0.32233047312251023,0.3118419505612964,-10.488522561213822,-11.12269498489763,-0.0344726432280974,signal
trend_breakout,2023-04-13 16:00:00+00:00,2023-04-19 00:00:00+00:00,1998.148575,2102.4582450000003,0.276046950112772,0.5515828200009315,0.5803771862717012,28.794366270769803,27.66240626449717,0.05010085610164127,signal
range_mean_reversion,2023-06-05 16:00:00+00:00,2023-06-05 16:00:00+00:00,1821.600345,1792.6974040721016,0.3028154752019802,0.5516087740992661,0.5428565163074498,-8.752257791816346,-9.846723082223063,-0.01783308507390931,same_bar_stop
trend_breakout,2023-06-21 16:00:00+00:00,2023-06-26 16:00:00+00:00,1850.7349049999998,1841.447378597406,0.3159519680822246,0.5847433356332189,0.5818089233877037,-2.9344122455151385,-4.100964504536061,-0.007006266488634132,stop
range_mean_reversion,2023-07-07 00:00:00+00:00,2023-07-07 04:00:00+00:00,1847.093085,1857.100985,0.23333275724473018,0.43098732241072474,0.4333224933119543,2.33517090122955,1.4708610855068707,0.0034093617547588753,signal
range_mean_reversion,2023-09-21 16:00:00+00:00,2023-09-21 20:00:00+00:00,1584.43182,1588.94513,0.3190733481816629,0.5055499657729658,0.5069900427060476,1.4400769330817957,0.42753692460278225,0.0008448419418542741,signal
trend_breakout,2023-09-29 08:00:00+00:00,2023-10-02 16:00:00+00:00,1687.033095,1674.375524986656,0.4048323311947229,0.6829655406514984,0.677841347075736,-5.124193575762454,-6.485000463489688,-0.009485869426688952,stop
trend_breakout,2023-10-21 20:00:00+00:00,2023-10-27 16:00:00+00:00,1635.99759,1745.2876965963655,0.4415041450085353,0.7222997172089742,0.7705517522796944,48.252035070720076,46.759183601231406,0.06467186684026702,stop
trend_breakout,2023-11-10 00:00:00+00:00,2023-11-11 00:00:00+00:00,2122.390665,2038.544735249485,0.19540615664155286,0.41472820273955957,0.3983441918569738,-16.384010882585745,-17.19708327718228,-0.041424487797848374,stop
trend_breakout,2023-12-04 00:00:00+00:00,2023-12-11 00:00:00+00:00,2194.0564799999997,2289.418095310658,0.30442490031538505,0.6679254252103245,0.6969558754451858,29.030450234861213,27.6655689342057,0.041378767688772335,stop
trend_breakout,2024-01-11 00:00:00+00:00,2024-01-12 20:00:00+00:00,2585.6621849999997,2468.5151692480968,0.12219477609770718,0.31595441176038325,0.30163965840006496,-14.314753360318354,-14.932347430478803,-0.04721386834690429,stop
trend_breakout,2024-02-08 16:00:00+00:00,2024-02-23 16:00:00+00:00,2455.10694,2914.60197,0.2804850731970972,0.6886208497726013,0.8175023468958538,128.8814971232524,127.37537392658393,0.18478691988893953,signal
trend_breakout,2024-02-25 20:00:00+00:00,2024-02-28 16:00:00+00:00,3083.1407999999997,3174.7532530227736,0.1774467546484389,0.5470933290841915,0.5633496615584654,16.2563324742738,15.145889483631144,0.027656631730886606,stop
trend_breakout,2024-02-29 12:00:00+00:00,2024-02-29 16:00:00+00:00,3515.63694,3350.8405419911915,0.10420057472662318,0.3663313896781468,0.3491595102927517,-17.171879385395176,-17.887370285366075,-0.048779605810687875,stop
trend_breakout,2024-03-04 16:00:00+00:00,2024-03-05 16:00:00+00:00,3562.20021,3565.6282658812074,0.1340940055578225,0.47766969475781645,0.47812937650220366,0.4596817443871587,-0.4961173268728614,-0.0010375824771947887,stop
trend_breakout,2024-03-06 12:00:00+00:00,2024-03-09 12:00:00+00:00,3881.6798699999995,3910.5437500000003,0.0675749143183898,0.26230418462666844,0.2642546588445647,1.9504742178963383,1.4239153744251052,0.00542306590940653,signal
trend_breakout,2024-04-08 20:00:00+00:00,2024-04-09 12:00:00+00:00,3704.6514,3573.0933630147133,0.12822755200422092,0.4750383800510099,0.4581690150219058,-16.869365029104095,-17.80257242417701,-0.037438633136612526,stop
range_mean_reversion,2024-04-30 16:00:00+00:00,2024-04-30 20:00:00+00:00,2995.607055,2927.4955200000004,0.09139277483134177,0.27377684106079386,0.2675519388791219,-6.224902181672013,-6.766230961611929,-0.024689712482367433,signal
trend_breakout,2024-05-18 12:00:00+00:00,2024-05-23 20:00:00+00:00,3135.356895,3652.341050932249,0.18112104518598515,0.5678791178534851,0.6615158285205284,93.63671066704326,92.40731572066925,0.16256100606215088,stop
trend_breakout,2024-07-15 20:00:00+00:00,2024-07-19 12:00:00+00:00,3407.703,3402.8477250000005,0.16297207829066235,0.555360440107325,0.5545691658499023,-0.7912742574226039,-1.9012038633798312,-0.003419949318777485,signal
range_mean_reversion,2024-09-16 04:00:00+00:00,2024-09-16 12:00:00+00:00,2279.51919,2306.6461000000004,0.15917505406117524,0.3628425903017364,0.36716051766749913,4.3179273657627,3.5879242577934645,0.009878498317672372,signal
trend_breakout,2024-09-20 08:00:00+00:00,2024-09-25 20:00:00+00:00,2562.2805,2569.4046550000003,0.18473111377010001,0.47333293055640874,0.47464898364422964,1.316053087820906,0.3680711736202677,0.0007768389782597158,signal
trend_breakout,2024-10-20 16:00:00+00:00,2024-10-22 00:00:00+00:00,2707.93329,2647.1547852799663,0.26005912309596835,0.7042227567997805,0.6884167521592044,-15.806004640576125,-17.198644149535113,-0.024397766929496103,stop
trend_breakout,2024-10-29 16:00:00+00:00,2024-10-31 12:00:00+00:00,2649.834255,2568.3038012043053,0.2084407005399375,0.5523333084269234,0.5353390435224097,-16.99426490451366,-18.081937256462993,-0.03270466058714954,stop
trend_breakout,2024-11-07 00:00:00+00:00,2024-11-13 04:00:00+00:00,2723.24094,3124.5690326226268,0.14550788105632004,0.3962530187852212,0.4546494191511142,58.396400365892944,57.5454979279566,0.1450790459446278,stop
trend_breakout,2024-11-30 08:00:00+00:00,2024-12-02 16:00:00+00:00,3704.91153,3554.600656599982,0.11600691964907442,0.42979537416763935,0.4123582727547413,-17.43710141289808,-18.27925505982046,-0.042487646827562425,stop
trend_breakout,2024-12-05 12:00:00+00:00,2024-12-05 20:00:00+00:00,3932.9454899999996,3767.37071975351,0.1049652270069091,0.41282251616364934,0.3954429228181097,-17.3795933455396,-18.18785878452136,-0.0440133190027435,stop
range_mean_reversion,2024-12-19 00:00:00+00:00,2024-12-19 04:00:00+00:00,3628.6134,3667.0655500000003,0.07232423620300873,0.26243669263100267,0.26521771501011615,2.781022379113528,2.2533679714724086,0.008577751960100178,signal
trend_breakout,2025-01-06 16:00:00+00:00,2025-01-07 12:00:00+00:00,3716.3072249999996,3616.8775814410988,0.1695058080390225,0.6299356590948822,0.6130817570203988,-16.853902074483468,-18.09691949059875,-0.028699503495206533,stop
range_mean_reversion,2025-02-25 00:00:00+00:00,2025-02-25 04:00:00+00:00,2514.7767599999997,2493.97239,0.08938766474456493,0.2247900219303032,0.22293036787952134,-1.8596540507818695,-2.307374440591694,-0.010254322462476415,signal
trend_breakout,2025-05-09 00:00:00+00:00,2025-05-17 00:00:00+00:00,2208.4936949999997,2481.0819082767357,0.16754741452629213,0.3700274085948675,0.41569885895972614,45.67145036485862,44.88572409730403,0.12118259937653686,stop
trend_breakout,2025-06-11 00:00:00+00:00,2025-06-12 16:00:00+00:00,2817.8182049999996,2700.6307160956057,0.1485736048043571,0.4186534084001929,0.4012424407356965,-17.410967664496393,-18.230863513632283,-0.04350293225216012,stop
trend_breakout,2025-07-09 16:00:00+00:00,2025-07-23 16:00:00+00:00,2658.16842,3571.4623006687866,0.21902228035438664,0.5821981089144169,0.7822298172922018,200.03170837778472,198.6672804515781,0.3408956652401512,stop
trend_breakout,2025-08-08 04:00:00+00:00,2025-08-14 12:00:00+00:00,3941.1595949999996,4492.859118076874,0.11873277731784318,0.467944824567216,0.5334496411870628,65.50481661984686,64.50342215409259,0.1377063700416364,stop
trend_breakout,2025-09-12 20:00:00+00:00,2025-09-15 00:00:00+00:00,4659.518595,4578.25372177446,0.13805186407135836,0.6432552277149066,0.6320364604825983,-11.218767232308322,-12.494058920505827,-0.019403771326510777,stop
trend_breakout,2025-10-02 16:00:00+00:00,2025-10-07 12:00:00+00:00,4439.31855,4522.298968422118,0.1328709852574484,0.5898566296101672,0.6008823195629893,11.025689952822196,9.834951003649039,0.016656803339253196,stop
trend_breakout,2026-01-02 16:00:00+00:00,2026-01-07 12:00:00+00:00,3088.1833199999996,3151.131927472617,0.24180332005364286,0.7467329797102813,0.7619541619899137,15.221182279632432,13.712495137932237,0.01834497298740646,stop
trend_breakout,2026-03-16 04:00:00+00:00,2026-03-18 12:00:00+00:00,2236.787835,2220.9441610087824,0.22191180379230077,0.49636962316552524,0.492853724891437,-3.5158982740882716,-4.505121622145234,-0.009067075806214797,stop
trend_breakout,2026-04-11 20:00:00+00:00,2026-04-12 00:00:00+00:00,2317.11798,2241.0807000914588,0.24180393712353718,0.5602882503437374,0.5419021366936878,-18.386113650049698,-19.488304037087126,-0.03474789126836247,stop
trend_breakout,2026-04-14 00:00:00+00:00,2026-04-19 04:00:00+00:00,2370.64473,2330.33358150822,0.20176916648426133,0.4783230112024068,0.470189464371197,-8.133546831209724,-9.082059306783329,-0.018968324976996662,stop
trend_breakout,2026-05-06 12:00:00+00:00,2026-05-06 12:00:00+00:00,2411.6752349999997,2346.476377204296,0.27653343652195883,0.6669088405094526,0.6488791763059002,-18.029664203552418,-19.345452220367772,-0.02897866233038723,same_bar_stop
trend_breakout,2026-07-04 00:00:00+00:00,2026-07-08 12:00:00+00:00,1759.0991099999999,1714.9181591669546,0.29345974882073506,0.5162247829713785,0.5032594522372519,-12.965330734126702,-13.984814969335332,-0.02706348975497505,stop
trend_breakout,2026-07-15 16:00:00+00:00,2026-07-16 12:00:00+00:00,1932.92598,1871.0822920226435,0.29214735596453856,0.5646992143321645,0.5466317444064839,-18.067469925680612,-19.17880088441926,-0.03392893199937427,stop
