strategy,entry_time,exit_time,entry_price,exit_price,quantity,entry_fee,exit_fee,entry_account_value,gross_profit,net_profit,return_rate,exit_reason
trend_breakout,2024-09-19 00:00:00+00:00,2024-09-30 00:00:00+00:00,61790.85999,64404.38529663602,0.005306421348601386,0.3278883385993752,0.3417568050816186,3000.0,13.86846648224338,13.198821338562384,0.04021379887794719,stop
trend_pullback,2024-10-01 20:00:00+00:00,2024-10-01 20:00:00+00:00,61786.86799499999,60135.77717266871,0.005640115082772732,0.34848504609588726,0.339172703845829,2000.0,-9.312342250058284,-10.0,-0.02866696893289703,same_bar_stop
trend_breakout,2024-10-06 16:00:00+00:00,2024-10-09 16:00:00+00:00,62751.370005,61585.01052527474,0.008901579619730543,0.5585863163466784,0.5482038745726766,3013.1988213385625,-10.382441774001885,-11.48923196492124,-0.02054786140444412,stop
trend_breakout,2024-10-14 04:00:00+00:00,2024-10-21 12:00:00+00:00,64332.149999999994,67304.36223635124,0.007370236347635427,0.4741431502515344,0.49604905690877715,3001.7095893736414,21.905906657242735,20.935714450082422,0.0441107282459667,stop
trend_breakout,2024-10-28 20:00:00+00:00,2024-10-31 16:00:00+00:00,69664.804995,70584.699995,0.007584393987122599,0.5283653281181464,0.5353421742249306,3022.6453038237237,6.9768461067841745,5.913138604441097,0.011180202520304527,signal
trend_breakout,2024-11-06 04:00:00+00:00,2024-11-24 16:00:00+00:00,74385.704265,95853.56924000001,0.004251178761699014,0.3162269261453918,0.40749065778613397,3028.5584424281647,91.26373164074222,90.5400140568107,0.28602739682810047,signal
trend_breakout,2024-11-29 12:00:00+00:00,2024-12-02 08:00:00+00:00,97286.528955,94895.9592355401,0.0039748343818939305,0.3866978401854534,0.3771957214722297,3119.098456484975,-9.502118713223759,-10.266012274881442,-0.026521370053281396,stop
trend_breakout,2024-12-05 00:00:00+00:00,2024-12-05 20:00:00+00:00,98636.61366,97787.49405159254,0.004178349636674396,0.4121382588490538,0.4085903402417714,3108.832444210094,-3.547918607282423,-4.368647206373248,-0.01058936614047332,stop
trend_breakout,2024-12-16 00:00:00+00:00,2024-12-18 20:00:00+00:00,104516.221995,102766.41109000001,0.004417329523498285,0.46168259310301435,0.45395310173181863,3104.4637970037206,-7.729491371195714,-8.645127066030545,-0.018706554469399384,signal
trend_pullback,2024-12-19 20:00:00+00:00,2024-12-20 08:00:00+00:00,97248.31985999999,93203.26860959637,0.0023491897841926694,0.22845475954501304,0.2189521664710291,1990.0,-9.502593073983958,-9.95,-0.04350997090126907,stop
trend_breakout,2025-01-03 20:00:00+00:00,2025-01-07 12:00:00+00:00,98641.31601,99038.57031009688,0.004814737627507014,0.47493205582015696,0.4768447310465225,3095.81866993769,1.9126752263654458,0.9608984394987663,0.002021212274964378,stop
trend_breakout,2025-01-15 16:00:00+00:00,2025-01-19 20:00:00+00:00,99041.91621,101504.14864964753,0.0037815412821932434,0.3745310948156392,0.3838421284325217,3096.779568377189,9.31103361688252,8.55266039363436,0.02281283555792022,stop
trend_breakout,2025-01-20 08:00:00+00:00,2025-01-20 16:00:00+00:00,107174.210325,101084.33504443074,0.0024652796483790192,0.264214399545315,0.2492011539549612,3105.3322287708233,-15.01324559035384,-15.526661143854117,-0.05870667919898878,stop
trend_breakout,2025-04-21 04:00:00+00:00,2025-05-03 12:00:00+00:00,87249.16278,95894.038995,0.0070699459501093655,0.6168468650468938,0.6779656726323298,3089.8055676269696,61.11880758543601,59.82399504775678,0.09688665729442665,signal
trend_breakout,2025-05-07 00:00:00+00:00,2025-05-12 16:00:00+00:00,96882.43701,102476.00636500001,0.005742867879134226,0.556383035556974,0.588506165335513,3149.6295626747265,32.12312977853913,30.978240577646645,0.05562228052726683,signal
trend_breakout,2025-05-18 16:00:00+00:00,2025-05-18 20:00:00+00:00,105570.75899999999,103236.62305400545,0.006253792147411271,0.6602175836304478,0.6456203825803968,3180.6078032523733,-14.59720105005102,-15.903039016261864,-0.024063509149568774,stop
