open_time,ending_equity,monthly_profit,monthly_return
2024-08-31 00:00:00+00:00,4994.71178887333,-5.288211126669921,-0.001057642225333999
2024-09-30 00:00:00+00:00,5007.8873441606065,13.175555287276438,0.0026379010129529146
2024-10-31 00:00:00+00:00,5013.219890277158,5.332546116551384,0.001064829487981367
2024-11-30 00:00:00+00:00,5099.728398619967,86.50850834280936,0.01725607697970477
2024-12-31 00:00:00+00:00,5070.411555692184,-29.316842927783,-0.005748706722443542
2025-01-31 00:00:00+00:00,5064.409052899645,-6.002502792539417,-0.0011838295031102453
2025-02-28 00:00:00+00:00,5064.409052899645,0.0,0.0
2025-03-31 00:00:00+00:00,5064.409052899645,0.0,0.0
2025-04-30 00:00:00+00:00,5112.651102788653,48.24204988900783,0.009525701692951971
2025-05-31 00:00:00+00:00,5115.707086857516,3.0559840688629265,0.0005977298288937227
2025-06-30 00:00:00+00:00,5098.786564184663,-16.920522672852712,-0.003307562842353118
2025-07-31 00:00:00+00:00,5122.930106430163,24.143542245499702,0.004735154519918794
2025-08-31 00:00:00+00:00,5115.819069931935,-7.111036498227804,-0.0013880799367733676
2025-09-30 00:00:00+00:00,5077.2172362333895,-38.601833698545306,-0.0075455822754613155
2025-10-31 00:00:00+00:00,5089.147449033987,11.930212800597474,0.002349754254251213
2025-11-30 00:00:00+00:00,5089.147449033987,0.0,0.0
2025-12-31 00:00:00+00:00,5089.147449033987,0.0,0.0
2026-01-31 00:00:00+00:00,5095.979425744385,6.831976710397612,0.0013424599658031777
2026-02-28 00:00:00+00:00,5095.979425744385,0.0,0.0
2026-03-31 00:00:00+00:00,5098.61750745246,2.638081708075333,0.0005176790343282001
2026-04-30 00:00:00+00:00,5093.728774259953,-4.888733192507061,-0.0009588350538869417
2026-05-31 00:00:00+00:00,5086.334326855161,-7.394447404792118,-0.0014516767053162072
2026-06-30 00:00:00+00:00,5086.334326855161,0.0,0.0
2026-07-31 00:00:00+00:00,5068.916361386172,-17.41796546898877,-0.0034244633462303664
