open_time,adjusted_close
2006-06-26 13:30:00+00:00,148.0264129638672
2006-06-27 13:30:00+00:00,148.04269409179688
2006-06-28 13:30:00+00:00,147.56390380859375
2006-06-29 13:30:00+00:00,148.683837890625
2006-06-30 13:30:00+00:00,150.07974243164062
2006-07-03 13:30:00+00:00,149.5791473388672
2006-07-05 13:30:00+00:00,149.5791473388672
2006-07-06 13:30:00+00:00,149.5791473388672
2006-07-07 13:30:00+00:00,150.53787231445312
2006-07-10 13:30:00+00:00,149.8148651123047
2006-07-11 13:30:00+00:00,150.2454071044922
2006-07-12 13:30:00+00:00,149.24607849121094
2006-07-13 13:30:00+00:00,149.87167358398438
2006-07-14 13:30:00+00:00,149.392333984375
2006-07-17 13:30:00+00:00,148.01119995117188
2006-07-18 13:30:00+00:00,148.66110229492188
2006-07-19 13:30:00+00:00,150.0423126220703
2006-07-20 13:30:00+00:00,150.49728393554688
2006-07-21 13:30:00+00:00,151.3828125
2006-07-24 13:30:00+00:00,150.70848083496094
2006-07-25 13:30:00+00:00,149.95294189453125
2006-07-26 13:30:00+00:00,151.057861328125
2006-07-27 13:30:00+00:00,151.3665313720703
2006-07-28 13:30:00+00:00,151.8622283935547
2006-07-31 13:30:00+00:00,152.26844787597656
2006-08-01 13:30:00+00:00,152.99380493164062
2006-08-02 13:30:00+00:00,153.0426788330078
2006-08-03 13:30:00+00:00,153.8822021484375
2006-08-04 13:30:00+00:00,155.585693359375
2006-08-07 13:30:00+00:00,155.43081665039062
2006-08-08 13:30:00+00:00,155.39002990722656
2006-08-09 13:30:00+00:00,155.47972106933594
2006-08-10 13:30:00+00:00,154.26524353027344
2006-08-11 13:30:00+00:00,154.27342224121094
2006-08-14 13:30:00+00:00,154.1348419189453
2006-08-15 13:30:00+00:00,154.51791381835938
2006-08-16 13:30:00+00:00,154.82766723632812
2006-08-17 13:30:00+00:00,154.0452117919922
2006-08-18 13:30:00+00:00,153.58067321777344
2006-08-21 13:30:00+00:00,154.85214233398438
2006-08-22 13:30:00+00:00,154.208251953125
2006-08-23 13:30:00+00:00,154.73800659179688
2006-08-24 13:30:00+00:00,154.3141632080078
2006-08-25 13:30:00+00:00,154.21641540527344
2006-08-28 13:30:00+00:00,154.9174041748047
2006-08-29 13:30:00+00:00,155.2433319091797
2006-08-30 13:30:00+00:00,155.7242431640625
2006-08-31 13:30:00+00:00,155.57754516601562
2006-09-01 13:30:00+00:00,155.89892578125
2006-09-05 13:30:00+00:00,155.0238800048828
2006-09-06 13:30:00+00:00,154.23046875
2006-09-07 13:30:00+00:00,153.4781036376953
2006-09-08 13:30:00+00:00,152.68478393554688
2006-09-11 13:30:00+00:00,152.7583770751953
2006-09-12 13:30:00+00:00,153.5680389404297
2006-09-13 13:30:00+00:00,153.7234649658203
2006-09-14 13:30:00+00:00,153.7234649658203
2006-09-15 13:30:00+00:00,153.7234649658203
2006-09-18 13:30:00+00:00,154.02606201171875
2006-09-19 13:30:00+00:00,154.3123016357422
2006-09-20 13:30:00+00:00,154.76217651367188
2006-09-21 13:30:00+00:00,156.00527954101562
2006-09-22 13:30:00+00:00,155.79258728027344
2006-09-25 13:30:00+00:00,155.83351135253906
2006-09-26 13:30:00+00:00,155.49819946289062
2006-09-27 13:30:00+00:00,154.88482666015625
2006-09-28 13:30:00+00:00,153.8787841796875
2006-09-29 13:30:00+00:00,153.65809631347656
2006-10-02 13:30:00+00:00,154.89622497558594
2006-10-03 13:30:00+00:00,154.98648071289062
2006-10-04 13:30:00+00:00,154.814208984375
2006-10-05 13:30:00+00:00,154.11676025390625
2006-10-06 13:30:00+00:00,154.11676025390625
2006-10-09 13:30:00+00:00,153.33717346191406
2006-10-10 13:30:00+00:00,152.31971740722656
2006-10-11 13:30:00+00:00,152.43453979492188
2006-10-12 13:30:00+00:00,152.43453979492188
2006-10-13 13:30:00+00:00,152.48377990722656
2006-10-16 13:30:00+00:00,152.97621154785156
2006-10-17 13:30:00+00:00,153.83766174316406
2006-10-18 13:30:00+00:00,153.57518005371094
2006-10-19 13:30:00+00:00,154.3711700439453
2006-10-20 13:30:00+00:00,154.95370483398438
2006-10-23 13:30:00+00:00,154.19061279296875
2006-10-24 13:30:00+00:00,154.1823272705078
2006-10-25 13:30:00+00:00,154.42852783203125
2006-10-26 13:30:00+00:00,155.6019287109375
2006-10-27 13:30:00+00:00,156.1106414794922
2006-10-30 14:30:00+00:00,156.5455322265625
2006-10-31 14:30:00+00:00,157.04617309570312
2006-11-01 14:30:00+00:00,157.27415466308594
2006-11-02 14:30:00+00:00,157.1754150390625
2006-11-03 14:30:00+00:00,156.60726928710938
2006-11-06 14:30:00+00:00,156.3026123046875
2006-11-07 14:30:00+00:00,157.0683135986328
2006-11-08 14:30:00+00:00,157.09303283691406
2006-11-09 14:30:00+00:00,156.98605346679688
2006-11-10 14:30:00+00:00,157.53759765625
2006-11-13 14:30:00+00:00,156.76364135742188
2006-11-14 14:30:00+00:00,156.4261016845703
2006-11-15 14:30:00+00:00,155.8332977294922
2006-11-16 14:30:00+00:00,155.93209838867188
2006-11-17 14:30:00+00:00,156.17906188964844
2006-11-20 14:30:00+00:00,156.54965209960938
2006-11-21 14:30:00+00:00,156.86248779296875
2006-11-22 14:30:00+00:00,158.03164672851562
2006-11-24 14:30:00+00:00,159.5384521484375
2006-11-27 14:30:00+00:00,160.0243377685547
2006-11-28 14:30:00+00:00,161.300537109375
2006-11-29 14:30:00+00:00,160.55946350097656
2006-11-30 14:30:00+00:00,162.41204833984375
2006-12-01 14:30:00+00:00,163.64561462402344
2006-12-04 14:30:00+00:00,163.620849609375
2006-12-05 14:30:00+00:00,163.19949340820312
2006-12-06 14:30:00+00:00,162.4806671142578
2006-12-07 14:30:00+00:00,162.24102783203125
2006-12-08 14:30:00+00:00,161.5635528564453
2006-12-11 14:30:00+00:00,161.89393615722656
2006-12-12 14:30:00+00:00,163.0673370361328
2006-12-13 14:30:00+00:00,162.71202087402344
2006-12-14 14:30:00+00:00,162.21627807617188
2006-12-15 14:30:00+00:00,161.43133544921875
2006-12-18 14:30:00+00:00,161.2826385498047
2006-12-19 14:30:00+00:00,163.00119018554688
2006-12-20 14:30:00+00:00,162.57151794433594
2006-12-21 14:30:00+00:00,162.37319946289062
2006-12-22 14:30:00+00:00,162.34022521972656
2006-12-26 14:30:00+00:00,161.94361877441406
2006-12-27 14:30:00+00:00,162.1832275390625
2006-12-28 14:30:00+00:00,162.43936157226562
2006-12-29 14:30:00+00:00,162.35670471191406
2007-01-03 14:30:00+00:00,161.81687927246094
2007-01-04 14:30:00+00:00,161.17828369140625
2007-01-05 14:30:00+00:00,160.19969177246094
2007-01-08 14:30:00+00:00,160.84664916992188
2007-01-09 14:30:00+00:00,161.0457000732422
