date,weight_PKW,weight_IWB,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,net_return,equity
2006-12-21 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2006-12-22 14:30:00+00:00,1.5,-1.5,0.0039607105187233205,3.0,0.013603826296035348,0.0015068019131480178,1.785714285714286e-05,0.00031746031746031746,0.0021185911452578426,10021.18591145258
2006-12-26 14:30:00+00:00,1.5,-1.5,-0.0029838546332268123,0.0,0.015076264424920938,7.538132212460469e-06,1.785714285714286e-05,0.00031746031746031746,-0.0033267102257567333,9987.84832980674
2006-12-27 14:30:00+00:00,1.5,-1.5,-0.00012392557382412406,0.0,0.019392690338842167,9.696345169421084e-06,1.785714285714286e-05,0.00031746031746031746,-0.0004689393793110055,9983.164634410308
2006-12-28 14:30:00+00:00,1.5,-1.5,0.0010966709627043825,0.0,0.0058829080397422295,2.941454019871115e-06,1.785714285714286e-05,0.00031746031746031746,0.000758412048367051,9990.735986749876
2006-12-29 14:30:00+00:00,1.5,-1.5,0.002412808543555023,0.0,0.010803376640486195,5.401688320243098e-06,1.785714285714286e-05,0.00031746031746031746,0.0020720893949173194,10011.43768483544
2007-01-03 14:30:00+00:00,1.5,-1.5,-0.005227610355275858,0.0,0.0067907164267191344,3.3953582133595672e-06,1.785714285714286e-05,0.00031746031746031746,-0.005566323173806679,9955.710787247219
2007-01-04 14:30:00+00:00,1.5,-1.5,0.008108343391991735,0.0,0.012406268285408029,6.203134142704014e-06,1.785714285714286e-05,0.00031746031746031746,0.007766822797531572,10033.035028755241
2007-01-05 14:30:00+00:00,1.5,-1.5,0.0005820203378864575,0.0,0.017361464771261437,8.680732385630718e-06,1.785714285714286e-05,0.00031746031746031746,0.00023802214518336647,10035.423113275485
2007-01-08 14:30:00+00:00,1.5,-1.5,0.0017095342298217853,0.0,0.010342021237351617,5.171010618675809e-06,1.785714285714286e-05,0.00031746031746031746,0.0013690457588856491,10049.16206672734
2007-01-09 14:30:00+00:00,1.5,-1.5,0.010372716949309857,0.0,0.010372716949309857,5.186358474654928e-06,1.785714285714286e-05,0.00031746031746031746,0.010032213130517742,10149.977402363862
2007-01-10 14:30:00+00:00,1.5,-1.5,-0.0019208137977138051,0.0,0.0066937234787778355,3.3468617393889176e-06,1.785714285714286e-05,0.00031746031746031746,-0.002259478119770654,10127.043750507055
2007-01-11 14:30:00+00:00,1.5,-1.5,-0.0029651070561640402,0.0,0.0220295028906361,1.1014751445318049e-05,1.785714285714286e-05,0.00031746031746031746,-0.0033114392679268185,10093.508660163612
2007-01-12 14:30:00+00:00,1.5,-1.5,-0.002009287590548081,0.0,0.015030770781877867,7.515385390938933e-06,1.785714285714286e-05,0.00031746031746031746,-0.0023521204362564802,10069.76751217051
2007-01-16 14:30:00+00:00,1.5,-1.5,-0.00021582379210327574,0.0,0.002141839649360544,1.070919824680272e-06,1.785714285714286e-05,0.00031746031746031746,-0.0005522121722454163,10064.206863978608
2007-01-17 14:30:00+00:00,1.5,-1.5,-0.0037442480259132216,0.0,0.004513509076044642,2.2567545380223208e-06,1.785714285714286e-05,0.00031746031746031746,-0.004081822240768704,10023.126560565523
2007-01-18 14:30:00+00:00,1.5,-1.5,-0.003834199299722396,0.0,0.011544163812762576,5.772081906381288e-06,1.785714285714286e-05,0.00031746031746031746,-0.004175288841946238,9981.277112075779
2007-01-19 14:30:00+00:00,1.5,-1.5,-0.0007144098356962614,0.0,0.005469454232241211,2.7347271161206056e-06,1.785714285714286e-05,0.00031746031746031746,-0.0010524620231298423,9970.772196972983
2007-01-22 14:30:00+00:00,1.5,-1.5,0.0017776990698540884,0.0,0.013648313174354498,6.824156587177249e-06,1.785714285714286e-05,0.00031746031746031746,0.001435557452949451,9985.08581331201
2007-01-23 14:30:00+00:00,1.5,-1.5,0.0003534767151490703,0.0,0.012757081006485094,6.378540503242547e-06,1.785714285714286e-05,0.00031746031746031746,1.1780714328367425e-05,9985.20344475552
2007-01-24 14:30:00+00:00,1.5,-1.5,0.0008783202547592017,0.0,0.0240425019915792,1.2021250995789601e-05,1.785714285714286e-05,0.00031746031746031746,0.0005309815434459519,9990.505403492238
2007-01-25 14:30:00+00:00,1.5,-1.5,0.0005988316472360644,0.0,0.031198699247157458,1.559934962357873e-05,1.785714285714286e-05,0.00031746031746031746,0.0002479148372950254,9992.982198013839
2007-01-26 14:30:00+00:00,1.5,-1.5,-0.0014108542844517569,0.0,0.003345868461783419,1.6729342308917095e-06,1.785714285714286e-05,0.00031746031746031746,-0.0017478446790001089,9975.516017251697
2007-01-29 14:30:00+00:00,1.5,-1.5,0.004736078416959277,0.0,0.004736078416959277,2.3680392084796387e-06,1.785714285714286e-05,0.00031746031746031746,0.004398392917433337,10019.392256249721
2007-01-30 14:30:00+00:00,1.5,-1.5,-0.0020087263009422873,0.0,0.013888454914421589,6.944227457210795e-06,1.785714285714286e-05,0.00031746031746031746,-0.0023509879887169583,9995.836785401036
2007-01-31 14:30:00+00:00,1.5,-1.5,-0.0031341866211959113,0.0,0.016151375368344767,8.075687684172383e-06,1.785714285714286e-05,0.00031746031746031746,-0.003477579769197544,9961.075465619926
2007-02-01 14:30:00+00:00,1.5,-1.5,-0.004469203294774848,0.0,0.015075078822121668,7.537539411060834e-06,1.785714285714286e-05,0.00031746031746031746,-0.004812058294503371,9913.142189803415
2007-02-02 14:30:00+00:00,1.5,-1.5,0.002252709631856975,0.0,0.009488087379646792,4.744043689823397e-06,1.785714285714286e-05,0.00031746031746031746,0.0019126481278496912,9932.10254265385
2007-02-05 14:30:00+00:00,1.5,-1.5,-0.0029686680572255653,0.0,0.006387078689280734,3.193539344640367e-06,1.785714285714286e-05,0.00031746031746031746,-0.003307179056887666,9899.255301133924
2007-02-06 14:30:00+00:00,1.5,-1.5,3.180552066683884e-05,0.0,0.002313413130422437,1.1567065652112185e-06,1.785714285714286e-05,0.00031746031746031746,-0.0003046686462158327,9896.239308422784
2007-02-07 14:30:00+00:00,1.5,-1.5,0.002665269825913752,0.0,0.011403875848699396,5.701937924349698e-06,1.785714285714286e-05,0.00031746031746031746,0.002324250427671942,9919.240646867729
2007-02-08 14:30:00+00:00,1.5,-1.5,0.006530983169653171,0.0,0.006530983169653171,3.2654915848265854e-06,1.785714285714286e-05,0.00031746031746031746,0.006192400217750884,9980.664554809318
2007-02-09 14:30:00+00:00,1.5,-1.5,-0.0029345711930311436,0.0,0.022675774713010244,1.1337887356505122e-05,1.785714285714286e-05,0.00031746031746031746,-0.003281226540705109,9947.915733378202
