scenario,candidate,leverage,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,total_trading_cost,total_financing_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
BUY_HOLD_1x,BUY_HOLD,1.0,10000.0,1260429.5462880544,125.04295462880543,0.6225411824867171,0.6680238425948396,1.0607667038711395,1.4364196142390542,0.7464611285896714,-0.8339900882218974,-0.38781559145694633,1079.0,1.183230856273807,0.5223226513284032,0.0002738975623116954,0.10004108463434674,12.5,1,1.0,1.0,13.688978981270676,-0.7356177886907108,0.5583333333333333,3650.0,0.6666666666666666,9,0.25021653866503757,12.5,0.0,0.0014,0.0018,False,True,False,False,False,True,False
BUY_HOLD_2x,BUY_HOLD,2.0,10000.0,913390.6291494045,90.33906291494044,0.5710859569066191,1.3360476851896792,1.03082765271046,1.3965072607633549,0.5771013323804014,-0.9895765697698697,-0.7294104109736167,3190.0,1.177620026423713,0.5209531635168447,0.0005477951246233908,0.2000821692686935,4023.357289527722,1,2.0,2.0,83.51220545650196,-0.9667515319969857,0.525,3650.0,0.6666666666666666,9,0.21749105927186801,25.0,3998.35728952772,0.002,0.0022,False,True,False,False,False,True,False
BUY_HOLD_3x,BUY_HOLD,3.0,10000.0,-7640.370050676562,-1.7640370050676561,0.0,2.004071527784519,1.020847968990234,1.3829873471883043,0.0,-1.0460938501173824,-0.924688633659077,3190.0,1.175755664923333,0.5209531635168447,0.0008216926869350862,0.30012325390304023,8034.214579055444,1,3.0,3.0,189.09805200650732,-10.465704775608035,0.5166666666666667,3650.0,0.4444444444444444,9,0.20658256614081158,37.5,7996.71457905544,0.0022,0.0022,False,False,False,False,False,True,False
TSMOM30_1x,TSMOM30,1.0,10000.0,1655514.1731602168,164.55141731602168,0.6674210199386152,0.4769194723353385,1.3085994618640444,1.4783946395988812,1.022157159091129,-0.6529534269779667,-0.22720907536829682,713.0,1.3080964940094226,0.5314617618586641,0.08244316625582032,30.112366474938373,3762.5,301,0.5658723637359627,0.5658723637359627,5.881977810733148,-0.46456291469015243,0.475,3650.0,0.6666666666666666,9,0.46923964966938214,3762.5000000000005,0.0,0.0004,0.0015000000000000002,False,True,False,False,False,True,False
TSMOM30_2x,TSMOM30,2.0,10000.0,23270452.997604303,2326.04529976043,1.172256406995999,0.9537729843705844,1.284958009122422,1.4524913095168475,1.289806516480167,-0.9088622146173072,-0.4287886992077524,1053.0,1.301718393380458,0.5290416263310745,0.16488633251164064,60.224732949876746,9787.559890485969,301,1.1317447274719254,1.1317447274719254,22.696060064865968,-0.7585341678419584,0.4666666666666667,3650.0,0.6666666666666666,9,0.441854760098783,7525.000000000001,2262.559890485968,0.001,0.0015000000000000002,False,True,False,False,False,True,False
TSMOM30_3x,TSMOM30,3.0,10000.0,33070344.06016952,3306.0344060169523,1.2500124892403548,1.43062687099047,1.2770764638215832,1.443427689903518,1.2728411673427449,-0.9820647864886013,-0.6091157701489959,1096.0,1.2995988211682263,0.5290416263310745,0.24732949876746096,90.33709942481512,15812.619780971938,301,1.6976170912078883,1.6976170912078883,40.29081021701131,-0.9081486233773579,0.44166666666666665,3650.0,0.6666666666666666,9,0.432725762534697,11287.500000000002,4525.119780971936,0.001,0.0015000000000000002,False,True,False,False,False,True,False
TSMOM30_DD_1x,TSMOM30_DD,1.0,10000.0,748464.667466103,73.8464667466103,0.5400878627579273,0.362938853819226,1.3694967312840112,1.5063429908869237,1.1930719834995298,-0.4526867366156203,-0.16825155973783945,714.0,1.3494529754204991,0.5314617618586641,0.0571076417419885,20.8585661462613,2606.25,345,0.3992056970692961,0.3992056970692961,5.830796053857202,-0.2525792186277461,0.475,3650.0,0.6666666666666666,9,0.298006063912064,2606.2500000000005,0.0,0.001,0.0015000000000000002,False,True,False,False,False,True,False
TSMOM30_DD_2x,TSMOM30_DD,2.0,10000.0,14082597.496794509,1407.2597496794508,1.065779388350654,0.7257988535543077,1.356829901127695,1.4926354901830525,1.475651785178093,-0.7222431464222621,-0.32402689771723925,955.0,1.3456873667366358,0.5300096805421104,0.114215283483977,41.7171322925226,6142.274127310062,345,0.7984113941385922,0.7984113941385922,24.970163985743312,-0.46298120143059884,0.4666666666666667,3650.0,0.6666666666666666,9,0.2876170717490758,5212.500000000001,929.7741273100615,0.001,0.0015000000000000002,False,True,False,False,False,True,False
TSMOM30_DD_3x,TSMOM30_DD,3.0,10000.0,67713532.3193731,6770.35323193731,1.4172964931190681,1.0886643852100755,1.3464764280889447,1.48105478529277,1.6280754267900253,-0.8705349087624664,-0.4790329218379207,1054.0,1.342612399915186,0.5300096805421104,0.17132292522596548,62.575698438783895,10344.69113620808,345,1.1976170912078883,1.1976170912078883,55.31092257164933,-0.6313627651642187,0.45,3650.0,0.6666666666666666,9,0.2732715744465145,7818.75,2525.9411362080764,0.001,0.0015000000000000002,False,True,False,False,False,True,False
