date,VAL,MOM
01/31/1972,0.010064601239131863,-0.012954785120272138
02/29/1972,-0.0375280755409972,0.03853035865271264
03/31/1972,0.053547842601056474,-0.04282389650491348
04/30/1972,0.007434346155831316,0.010657869297793733
05/31/1972,-0.019909181813289524,0.007095462169738784
06/30/1972,-0.01670818031441885,-0.0298089985882001
07/31/1972,0.09182043915270202,-0.05623374940360574
08/31/1972,0.04471802641055683,-0.04029685422826012
09/30/1972,-0.00582743588307111,0.01458454924196237
10/31/1972,0.026071568921167028,-0.0327345493743235
11/30/1972,0.012616722973171889,-0.01883197649011316
12/31/1972,-0.07389998199342619,-0.012382919129075685
01/31/1973,-0.014830718171755339,-0.006127240251312491
02/28/1973,0.03555817538180142,0.058798078335396985
03/31/1973,0.015265622810870206,-0.013984840252758897
04/30/1973,0.02206682751146226,0.04801901125949962
05/31/1973,-0.011624145749184883,0.10909587886512437
06/30/1973,0.04730479751559513,0.03882904374229002
07/31/1973,-0.038703854776096766,0.0586523519437219
08/31/1973,0.16577389678505136,0.022880933485883187
09/30/1973,0.0852139040331282,-0.009400196046159989
10/31/1973,0.02363752388570994,-0.08620502565748334
11/30/1973,-0.0295313136925879,0.06256889099144551
12/31/1973,-0.018080826787449968,0.01105856831454229
01/31/1974,0.07394510751991722,-0.14269234790425991
02/28/1974,0.10725512547281389,0.015463877105337935
03/31/1974,0.11432103754877077,-0.020005523038781503
04/30/1974,-0.09496541496496234,0.05748237708692636
05/31/1974,-0.04147094662496968,0.016146038175088567
06/30/1974,0.03802475527060406,-0.062231076709113084
07/31/1974,0.059915679724500646,-0.050655635683746085
08/31/1974,-0.12823898047385654,0.15331093135148738
09/30/1974,0.04541781481577938,-0.03865448731661039
10/31/1974,-0.18867514027355703,0.16467774110309688
11/30/1974,-0.017469346748896615,0.032235214853370914
12/31/1974,0.030884280315288063,0.0054441305811627145
01/31/1975,0.09275403292972705,-0.05080901137039575
02/28/1975,0.045131753370367456,-0.05205725006816159
03/31/1975,0.07308908670205856,-0.051643115019604585
04/30/1975,0.12825032711594364,-0.0952380290214376
05/31/1975,0.0793573674402697,-0.04892538735202227
06/30/1975,0.05552408766385521,0.009150131683596139
07/31/1975,-0.024234245071213457,-0.07352633402693146
08/31/1975,0.06146419027357799,0.004163004619639399
09/30/1975,0.037880210559322745,0.050130745724863604
10/31/1975,-0.05210507198931793,-0.037225664348893434
11/30/1975,0.042460486890123834,0.07438400439752976
12/31/1975,-0.0616033948952303,0.0062404269566237285
01/31/1976,0.01050165736357536,-0.00926063122497206
02/29/1976,0.024189401174327392,-0.01094851644261339
03/31/1976,0.014557517453856245,0.03340824057752272
04/30/1976,-0.0325409652374566,0.07734067077908721
05/31/1976,0.004923847014533242,0.04140356421668139
06/30/1976,-0.02896917212003039,0.030556160363257093
07/31/1976,0.014408804160065578,0.009303161562247107
08/31/1976,-0.043351498597706255,0.14588414132796101
09/30/1976,-0.12690744268319146,0.07261150509897468
10/31/1976,-0.036214527722431694,0.05576627613686413
11/30/1976,0.030037959197397872,-0.004446298336264392
12/31/1976,0.0026985904536144492,0.041573627614030495
01/31/1977,-0.011370561877820727,0.038315960315031025
02/28/1977,-0.04817904976356509,0.07906764893128207
03/31/1977,0.026697831115487587,0.004705052591596536
04/30/1977,0.030323758409546202,-0.0028982781016686074
05/31/1977,-0.025534663990260217,0.02765715308791809
06/30/1977,-0.028477122186757724,-0.017877996531257212
07/31/1977,-0.023404017202123584,0.020523832869735272
08/31/1977,-0.0016254054208836098,-0.007041938954180804
09/30/1977,-0.02018753951214187,0.005607910164466721
10/31/1977,0.0168288280298736,0.02022043204944536
11/30/1977,0.032328140981865004,0.015772194233242286
12/31/1977,0.014183426442873242,0.013722704047062568
01/31/1978,0.007173496201542858,0.009070525515036936
02/28/1978,-0.006655665512341546,0.011631778831892313
03/31/1978,0.031555489093798524,-0.006188725511384174
04/30/1978,0.013661078489009762,-0.02326046928645535
05/31/1978,-0.000327534108026822,0.01225775964237576
06/30/1978,-0.027267940385740364,0.00339890738871741
07/31/1978,-0.03329161188213576,0.034694723817949205
08/31/1978,0.005648595936187359,-0.0025949342129088404
09/30/1978,0.026881297844335728,0.035138603056904194
10/31/1978,0.010646257112185078,-0.023740623256449794
11/30/1978,0.0007632329398159641,0.0233124596165998
12/31/1978,-0.028445305219076435,0.004072531656246765
01/31/1979,0.027675110802450997,-0.01635638321011293
02/28/1979,-0.001858946224945566,-0.005157387071110876
03/31/1979,0.015430224627708537,0.007486282474275975
04/30/1979,0.010162420560551381,0.0036420907517853924
05/31/1979,0.0029240324764519864,0.0006057716213222427
06/30/1979,0.016788547676125316,0.018079997206312093
07/31/1979,0.004923579823104334,0.0063887462662634625
08/31/1979,-0.005648062385821795,0.015212176655110595
09/30/1979,-0.03237388271916771,0.047191747749718654
10/31/1979,0.01901624430334053,0.0018515759760237835
11/30/1979,-0.03382010079265047,0.036403077796257254
12/31/1979,-0.03400590954502036,0.034343538273149385
01/31/1980,-0.012715787553265662,0.058953049932339116
02/29/1980,-0.00965946845659205,0.044264628315754756
03/31/1980,0.05006058793074325,-0.06018344851197886
04/30/1980,0.01995448463498107,-0.010853591847244012
05/31/1980,0.0032157444260927713,0.024035555213218332
06/30/1980,-0.003318942429426899,-0.007361833524820555
07/31/1980,0.016409382548752304,-0.005920997328574595
08/31/1980,-0.014654607138676447,0.025525168461737874
09/30/1980,-0.03229723363413584,0.04014548896604256
10/31/1980,0.006734385116161494,0.04238239980355505
11/30/1980,-0.029817759028861003,0.012396257801713224
12/31/1980,0.005903040124332878,-0.0055629585956158654
01/31/1981,0.054320140659196284,0.008384241763439625
02/28/1981,0.022607657980133193,-0.0008377923320188044
03/31/1981,-0.00014696587543936758,-0.014494539227561477
04/30/1981,0.007373415120431605,0.01065948885338593
05/31/1981,-0.008223177083992948,0.035187052835788005
06/30/1981,0.046938177724800134,0.01863313325926188
07/31/1981,0.031365829237745745,-0.02185907064186864
08/31/1981,-0.0024682178790968986,0.00837672076742907
09/30/1981,0.03584278719690384,-0.04775098136988063
10/31/1981,0.004091957152023721,-0.009377867433182013
11/30/1981,0.014120929039562137,-0.0151468097730579
12/31/1981,0.019487289344277018,0.008981278956884525
01/31/1982,0.015946405955315483,0.020964045854053297
02/28/1982,0.014277426908076863,0.013574053908130605
03/31/1982,0.01861303991211257,0.023412292563715832
04/30/1982,0.012569577060850646,0.020299447998507386
05/31/1982,-0.0060848958621615105,0.03262988557220753
06/30/1982,-0.00490145063251139,0.00929860407517526
07/31/1982,-0.02131592359719295,0.008090253019293328
08/31/1982,-0.012327273435857274,-0.005132911923428091
09/30/1982,-0.01695141166237791,0.03309872490719533
10/31/1982,-0.02242114332068136,0.0063520376977732555
11/30/1982,-0.005257926446625547,-0.017571873007270436
12/31/1982,0.013990242933597068,-0.003065732009417135
01/31/1983,0.004207223270192709,-0.013008968737226208
02/28/1983,0.015042495194841457,-0.0029632998425241897
03/31/1983,0.016629488506158047,3.742506165916076e-05
04/30/1983,-0.00284232736096635,0.014823548053642142
05/31/1983,-0.006134470823005353,-0.013348871612221536
06/30/1983,0.011374742767200165,0.015513229078016678
07/31/1983,-0.00202791224715797,-0.004595065379936069
08/31/1983,-0.006429681393418155,0.004421617784768085
09/30/1983,0.005967780781014898,-0.001344096183376167
10/31/1983,0.03400451282662467,-0.01793051303555563
11/30/1983,-0.004673791927566323,0.015880505049219243
12/31/1983,0.009959730210779342,0.015399041453798657
01/31/1984,0.024483116811426422,-0.001434054818267824
02/29/1984,-0.00028408896883242303,-0.010304620070016621
03/31/1984,0.0009219254772005393,0.007765401920761167
04/30/1984,-0.015363593155299034,0.022848370614157273
05/31/1984,0.008751656408157723,-2.8707530012445897e-05
06/30/1984,-0.014927343568674143,0.0032755659397965763
07/31/1984,0.026437077199759212,0.0013232109780813518
08/31/1984,-0.002644071377923421,0.006233917709592634
09/30/1984,-0.006549920855641742,0.007487311687683809
10/31/1984,0.002448269020080372,0.01564492522143145
11/30/1984,-0.011056095078345842,0.009896037939136302
12/31/1984,0.009180971741338194,0.02826346152401607
01/31/1985,0.005324323460182491,-0.002548366718022417
02/28/1985,-0.005320338426883657,0.0043933678566506025
03/31/1985,0.02790978122160679,-0.007910023225728289
04/30/1985,0.0007700499175160035,0.013922111261595146
05/31/1985,0.016788558680818418,0.031357647392919824
06/30/1985,0.018765701863229692,0.005996383412677816
07/31/1985,0.03013117528287859,-0.028849219618283083
08/31/1985,0.004736395077282334,0.019597897270190567
09/30/1985,0.0019648385572872823,0.010604434723698763
10/31/1985,0.006668323349370399,-0.009156626144336754
11/30/1985,0.009474500635114893,-0.003185891553486123
12/31/1985,-0.012114361617347169,0.00013854018984978104
01/31/1986,0.024074294962596696,-0.004799438633959931
02/28/1986,-0.004369204009014361,0.04296949786282885
03/31/1986,0.0031075790322653146,0.028719159694736752
04/30/1986,0.0012645383533839484,-0.004709374539741997
05/31/1986,0.009470289142212783,-0.012050817731982142
06/30/1986,-0.020121767278544367,0.015220112892226573
07/31/1986,-0.03325791130988902,0.03171307763193434
08/31/1986,0.0048361077815176085,-0.01796628310140991
09/30/1986,0.034292545736460234,-0.023638340419853375
10/31/1986,0.018210355819873014,-0.01842014158142072
11/30/1986,-0.0014958966374886656,0.02008317901864197
12/31/1986,0.009293990301985949,-0.01128434445532311
01/31/1987,0.003951009976992112,0.026583121073608544
02/28/1987,-0.019675214658587563,0.005081751429507694
03/31/1987,0.011242092026962306,0.008308770135323931
04/30/1987,0.010609652061055203,-0.005076234380839652
05/31/1987,0.015305392651911527,-0.006070715497468313
