symbol,alpha_name,regime,direction,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
BTCUSDT,A20_market_breadth_24,trending,regime,False,0.018391270602915424,0.6666666666666666,0.49831843207407256,1.0,0.15045464865687383,-1.4936597386267056,4819,483,True,True,True,False,True,True,True
BTCUSDT,A23_cross_sectional_relative_strength_24,trending,relative_value,False,0.03699816102285859,0.6666666666666666,0.7011416614912448,0.5787251515100941,0.16520616407842167,-1.3092908416592237,4819,483,True,True,False,True,True,True,True
BTCUSDT,A21_funding_rate_crowding_90,trending,mean_reversion,False,-0.0034440484779722762,0.5,inf,1.0,0.23676900730365552,-1.257442153981691,4819,483,False,False,False,False,True,True,True
BTCUSDT,A22_funding_rate_trend_21,trending,trend,False,0.006008084211644185,0.5,inf,1.0,0.11955643566510146,-0.36067601020356876,4819,483,True,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_12,mixed,trend,False,0.0277000754021747,0.5,1.0,inf,0.4049501031061373,-3.576604311332297,4717,472,True,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_24,mixed,trend,False,-0.0026398068159757173,0.5,1.0,inf,0.35350572681627307,-3.937817875045213,4717,472,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_48,mixed,trend,False,0.027465890136363566,0.8333333333333334,inf,inf,0.3486790741578877,-4.113201072825676,4717,472,True,True,False,False,True,True,True
BTCUSDT,A01_ts_momentum_72,mixed,trend,False,-0.00493326290583993,0.3333333333333333,inf,inf,0.33893569437565807,-4.694147888954383,4717,472,False,False,False,False,True,True,True
BTCUSDT,A01_ts_momentum_120,mixed,trend,False,0.016406152046403645,0.6666666666666666,inf,inf,0.3236788424425775,-4.594731307611128,4717,472,True,True,False,False,True,True,True
BTCUSDT,A16_momentum_ensemble,mixed,trend,False,0.03127849117654546,0.6666666666666666,1.0,inf,0.35189061728428506,-2.7706150913501606,4717,472,True,True,False,False,True,True,True
BTCUSDT,A02_ema_distance_20,mixed,trend,False,0.006044594839549696,0.5,1.0,inf,0.397318590437101,-1.5773306902907538,4717,472,True,False,False,False,True,True,True
BTCUSDT,A02_ema_distance_50,mixed,trend,False,0.02764996014830167,0.6666666666666666,1.0,inf,0.3561095704468135,-2.1990687792868426,4717,472,True,True,False,False,True,True,True
BTCUSDT,A02_ema_distance_100,mixed,trend,False,0.018730304808011945,0.8333333333333334,inf,inf,0.3447387150162832,-2.8474797927328273,4717,472,True,True,False,False,True,True,True
BTCUSDT,A03_donchian_breakout_20,mixed,trend,False,-0.003781275234980829,0.5,1.0,1.0,0.6959881515068999,-0.13463132588627746,4717,472,False,False,False,False,True,True,True
BTCUSDT,A08_trend_quality,mixed,trend,False,0.003288726291562744,0.5,1.0,inf,0.3434363710936936,-0.25403720938290664,4717,472,True,False,False,False,True,True,True
BTCUSDT,A09_efficiency_ratio_20,mixed,trend,False,0.0025311906433449034,0.5,1.0,inf,0.3592331830914559,-1.311910265655443,4717,472,True,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_1,mixed,mean_reversion,False,-0.00850792162864442,0.5,inf,inf,0.5727940237474696,-3.5073581483988687,4717,472,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_2,mixed,mean_reversion,False,-0.0024257806293540235,0.5,inf,inf,0.46089595655380083,-2.821601574196211,4717,472,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_3,mixed,mean_reversion,False,-0.03759596424387897,0.16666666666666666,inf,inf,0.4239595436513073,-3.2509835800399065,4717,472,False,False,False,False,True,True,True
BTCUSDT,A04_short_reversion_6,mixed,mean_reversion,False,-0.01115379641967839,0.3333333333333333,inf,inf,0.3731141899438127,-2.599629634969629,4717,472,False,False,False,False,True,True,True
BTCUSDT,A05_bollinger_reversion_20,mixed,mean_reversion,False,-0.012270286196930444,0.5,inf,inf,0.3498006487619244,-3.570974736647022,4717,472,False,False,False,False,True,True,True
BTCUSDT,A06_rsi_reversion_14,mixed,mean_reversion,False,-0.019424236937137598,0.16666666666666666,inf,inf,0.32768402370281413,-3.2913965610601537,4717,472,False,False,False,False,True,True,True
BTCUSDT,A17_mean_reversion_ensemble,mixed,mean_reversion,False,-0.013867736472488635,0.3333333333333333,inf,inf,0.4077706523515698,-2.488104706135234,4717,472,False,False,False,False,True,True,True
BTCUSDT,A07_volatility_compression,mixed,regime,False,-0.006242831819638737,0.3333333333333333,inf,inf,0.3967784991388531,-1.8096969619207088,4717,472,False,False,False,False,True,True,True
BTCUSDT,A07_atr_percentile,mixed,regime,False,-0.014538972104716972,0.16666666666666666,inf,inf,0.2360857926503061,-3.3669316958125965,4717,472,False,False,False,False,True,True,True
BTCUSDT,A15_volatility_adjusted_breakout_20,mixed,trend,False,0.014828081055885067,0.6666666666666666,1.0,inf,0.8057479407284744,-0.08717845385472248,4717,472,True,True,False,False,False,True,True
BTCUSDT,A10_volume_surprise_48,mixed,trend,False,0.017967514330370006,0.6666666666666666,inf,inf,0.644407612533436,-2.3905474412863876,4717,472,True,True,False,False,True,True,True
BTCUSDT,A11_signed_volume_pressure_6,mixed,trend,False,8.922892370898192e-05,0.5,inf,inf,0.42626122554837276,-1.598506253710722,4717,472,True,False,False,False,True,True,True
