scenario,symbol,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days
B_alpha_ensemble_equal,BTCUSDT,2500.0,4748.6450312891,0.8994580125156402,0.10059919707352516,0.13214591471859993,0.7914644790189667,0.835695050633338,0.48397359886158164,-0.20786091908764825,-0.12333723211459463,1150.3333333333333,1.0939944908098156,0.5011419001218027,0.008120672145189403,17.796453006182578,893.4160477333752,1430,0.1265924845763421,0.1265924845763421,0.5616119140786855,-0.09591762642172097,0.3375,2444.6666666666665
B_alpha_ensemble_equal,ETHUSDT,2500.0,6506.382023592244,1.6025528094368977,0.15362204763740483,0.17403117559092415,0.9081875526795278,0.9531851019364482,0.7442199507788074,-0.2064202222429582,-0.12647078815419321,1034.1666666666665,1.1049968410553792,0.5044582971672059,0.007802359859778649,17.09887163270491,858.3961258731977,1431,0.12202945060954927,0.12202945060954927,0.5378764374332583,-0.0438405223350935,0.375,2444.6666666666665
B_alpha_ensemble_ic,BTCUSDT,2500.0,3644.744668526655,0.45789786741066196,0.05794223178225222,0.12370348842058003,0.5172586654658059,0.5032610981070105,0.20010887595960433,-0.2895535318180935,-0.1700853387900411,2071.5,1.0667586056908998,0.5018568534773802,0.007840069216217906,17.18151168734154,862.5448149952534,1242,0.10036035917028319,0.10036035917028319,0.4781420883824046,-0.11651237759393551,0.3875,2444.6666666666665
B_alpha_ensemble_ic,ETHUSDT,2500.0,4297.444665501923,0.7189778662007693,0.08430384381610545,0.15204372906834604,0.6084718668955802,0.5820772889203376,0.2980788716027784,-0.2828239497915479,-0.20544041906861174,2069.6666666666665,1.079681237520212,0.5022292158405455,0.0061311457189087044,13.436405842988426,674.5333241300384,1058,0.08796564209380975,0.08796564209380975,0.6412695764408141,-0.06284440607722086,0.3875,2444.6666666666665
B_alpha_ensemble_corr_penalized,BTCUSDT,2500.0,3466.230856263008,0.38649234250520315,0.05003420400529501,0.1192061285551991,0.4693178896004613,0.4457466127893287,0.1729123198119527,-0.28936170690271634,-0.1776250756257059,2071.5,1.061170125956179,0.5019701901661813,0.0073619915776988645,16.133804542527063,809.947908399485,1202,0.09487501123781254,0.09487501123781254,0.40311162187593275,-0.11590261730075124,0.4125,2444.6666666666665
B_alpha_ensemble_corr_penalized,ETHUSDT,2500.0,4369.899678751463,0.7479598715005855,0.08701582467659863,0.15338803830435924,0.6207701961508375,0.5929920114235764,0.30153176499387513,-0.2885792967064884,-0.2043827948746602,2069.6666666666665,1.08103792993773,0.5012713722051731,0.0061860199319925275,13.556662680961624,680.5704478679879,1056,0.0887426821864643,0.0887426821864643,0.6825146699223783,-0.06009667720909251,0.375,2444.6666666666665
D_regime_filtered_ensemble_corr_penalized,BTCUSDT,2500.0,2377.2108430439075,-0.049115662782437064,-0.007496316712783724,0.0650656688465309,-0.08316128509766808,-0.08777665627930874,-0.03589295199952819,-0.20885205298472698,-0.13141970419358473,2076.6666666666665,0.9889783225195784,0.5021772824562698,0.0066415073063823766,14.554863261936978,730.682030079923,1136,0.05017681961185176,0.05017681961185176,0.08753962284028538,-0.09432661401415487,0.325,2444.6666666666665
D_regime_filtered_ensemble_corr_penalized,ETHUSDT,2500.0,2984.715814048277,0.19388632561931085,0.026830589236060076,0.09460078360915393,0.3270637907674715,0.3354788927582837,0.1253324980292387,-0.2140752770267197,-0.14272837379466444,1956.0,1.0467934421640444,0.5005698469553891,0.005800610476690075,12.7120378596663,638.1686631192503,1027,0.04834700609332492,0.04834700609332492,0.1821249033279242,-0.10441954619606819,0.3375,2444.6666666666665
E_corr_penalized_with_atr_stop_loss,BTCUSDT,2500.0,3666.0177066508604,0.46640708266034414,0.05886251059223491,0.11144228987115376,0.5689850493763158,0.460838949996114,0.2036188815443054,-0.2890817892024764,-0.1906822353331577,2071.5,1.0831265776470371,0.4986021805982667,0.00859076346674162,18.826658137364262,945.1343197022464,1202,0.07835342389551234,0.07835342389551234,0.5249475637307219,-0.10255053746750376,0.3375,2444.6666666666665
E_corr_penalized_with_atr_stop_loss,ETHUSDT,2500.0,3543.1362447647098,0.41725449790588387,0.05348255570653171,0.1464554206925306,0.42910308782821277,0.35063110209982223,0.15620426547730581,-0.3423885739810475,-0.2369861756359103,2069.6666666666665,1.0597310258334585,0.495530353569046,0.009173487621106641,20.103698121655203,1009.2441743551002,1297,0.07823263135859851,0.07823263135859851,0.5305319524809835,-0.06092386464386712,0.3375,2444.6666666666665
