stop_loss_atr_multiple,ensemble_method,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days
,equal,5000.0,11255.027054881299,1.2510054109762598,0.1288792140499153,0.13791742901731846,0.948015518331817,1.029839409188077,0.7035767982139244,-0.18317718034063035,-0.10700435407320967,1149.1666666666665,1.1018167665454397,0.5064422277639236,0.007961516002484027,17.447662319443744,1751.812173606573,2861,0.1243109675929457,0.1243109675929457,0.5497441757559607,-0.059528257247934424,0.375,2444.6666666666665
,ic,5000.0,7942.189334028731,0.5884378668057462,0.07158427940670054,0.12500290933751892,0.6157918405967361,0.6185222750384345,0.2620925935850284,-0.273125914881975,-0.1872663547375403,2069.6666666666665,1.074224624001414,0.5059047898481626,0.006985607467563306,15.308958765164986,1537.078139125292,2300,0.09416300063204645,0.09416300063204645,0.5597058324116115,-0.08675362616228954,0.3625,2444.6666666666665
,corr_penalized,5000.0,7836.130535014557,0.5672261070029114,0.0694340573903216,0.12460690345809602,0.6012428597456091,0.6055951120935837,0.25579027006384314,-0.2714491734693092,-0.1896365626523177,2069.6666666666665,1.072789600023752,0.5039768618944324,0.006774005754845696,14.845233611744343,1490.5183562674729,2258,0.09180884671213843,0.09180884671213843,0.5428131458991483,-0.08387014384857683,0.3625,2444.6666666666665
1.5,equal,5000.0,6750.937227613698,0.3501874455227396,0.045879786262605915,0.11197678410430258,0.45672870829388834,0.37618770552325753,0.21207487638710065,-0.2163376777306778,-0.16074946320226055,2069.6666666666665,1.0564965835201072,0.49194966851576244,0.01212120968489651,26.563631024450704,2667.0903730162036,2859,0.08369577848684157,0.08369577848684157,0.3617963101244941,-0.051038765190433155,0.275,2444.6666666666665
1.5,ic,5000.0,5763.242401167461,0.1526484802334922,0.021451941305943523,0.11280194034666402,0.2447843924883968,0.20457285497654518,0.06460225799368031,-0.3320617881195739,-0.22389108103342092,2069.6666666666665,1.0324036540793515,0.48953823953823955,0.012009310256083866,26.318403426207794,2642.4685821974135,2918,0.07402498337689599,0.07402498337689599,0.3447597574268302,-0.07280984074576413,0.3125,2444.6666666666665
1.5,corr_penalized,5000.0,5628.500711489439,0.12570014229788784,0.01784795378284887,0.11307671574702993,0.2132209408128609,0.17715541211056318,0.05238966316366397,-0.34067700964391234,-0.2309650921074769,2069.6666666666665,1.028155589552248,0.4904681467181467,0.011999373421687791,26.296626853628794,2640.282130841073,2922,0.07362862988715944,0.07362862988715944,0.33278147844290373,-0.07489911429786922,0.3125,2444.6666666666665
2.0,equal,5000.0,7530.402294024634,0.5060804588049268,0.06309417696203123,0.11713818800585711,0.5810157477568684,0.48738607783603444,0.35470464423010656,-0.1778780683827199,-0.13025281865608868,2069.6666666666665,1.0717725251546364,0.4960888215997981,0.010069800846919729,22.067968556024585,2215.7086293519824,2683,0.0871489725258393,0.0871489725258393,0.39848485294301095,-0.04856552221992949,0.3125,2444.6666666666665
2.0,ic,5000.0,6409.231490488997,0.2818462980977994,0.03779466196580339,0.11726151702190551,0.3752185850118218,0.3176986327362733,0.12180444149662599,-0.31028968649595845,-0.21756938265008136,2069.6666666666665,1.0490429842133655,0.49587337478801585,0.010069190810371779,22.066631660929755,2215.574399960154,2660,0.07743817771906585,0.07743817771906585,0.4137890826431674,-0.07619149338904385,0.375,2444.6666666666665
2.0,corr_penalized,5000.0,6494.677663534122,0.2989355327068244,0.03985017108292843,0.11903267904538806,0.38802466819422654,0.329101371942425,0.12592277881825872,-0.3164651499665776,-0.22247136205484697,2069.6666666666665,1.0507785431298666,0.4960691823899371,0.0101743856962472,22.297166253325738,2238.720956673753,2701,0.07783791947593663,0.07783791947593663,0.4465645965572149,-0.07815531247878305,0.3625,2444.6666666666665
2.5,equal,5000.0,8052.2156138310365,0.6104431227662073,0.07378927911639477,0.11928766181665217,0.6565754478968506,0.5690067782716827,0.3521150863154649,-0.20956011822306841,-0.14881850965736826,2069.6666666666665,1.0793625486346705,0.4972858154354496,0.009246570475699685,20.26385919749586,2034.5691346205804,2673,0.09225784708844756,0.09225784708844756,0.4913354176745368,-0.03851452564477398,0.3125,2444.6666666666665
2.5,ic,5000.0,7222.290004635187,0.44445800092703736,0.05647934914970776,0.11552983654993342,0.533513462668399,0.4623922617348688,0.19264751288828488,-0.293174556488875,-0.21166469218487927,2069.6666666666665,1.0708772165717775,0.497783544166937,0.008735418909512408,19.143670540196442,1922.0978997545628,2471,0.07746638079306419,0.07746638079306419,0.5213263961056462,-0.07274893806894489,0.325,2444.6666666666665
2.5,corr_penalized,5000.0,7209.15395141559,0.441830790283118,0.05619203451165977,0.11629521476867125,0.5284275855605498,0.4580206301803219,0.18897538351502938,-0.29735108068819327,-0.21233642373505154,2069.6666666666665,1.0697921799017955,0.4987012987012987,0.00888212554392413,19.465178129509734,1954.3784940573466,2499,0.07829302762705542,0.07829302762705542,0.5277397581058487,-0.08118969649999963,0.325,2444.6666666666665
3.0,equal,5000.0,9269.964023604325,0.8539928047208649,0.0966225807872223,0.12643183003350386,0.7928387256421976,0.7076487971542605,0.5712863409804904,-0.169131613791764,-0.09901036314736962,1401.5,1.0940827126629753,0.5007253654726035,0.009435647324235907,20.678221111062992,2076.1726589882483,2831,0.10033725810898383,0.10033725810898383,0.49862178166282023,-0.0352646317656351,0.375,2444.6666666666665
