alpha_name,median_fold_ic,positive_fold_ratio,cost_drag_ratio,total_observations,min_fold_observations,max_fold_pnl_ratio_diagnostic,max_year_pnl_ratio_diagnostic,mean_timestamp_ic,mean_net_pnl,ic_bootstrap_p,pnl_bootstrap_p,ic_bh_q,pnl_bh_q,check__median_fold_ic_positive,check__positive_fold_ratio_60pct,check__cost_drag_70pct,check__total_observations_1000,check__min_fold_observations_30,check__ic_fdr_5pct,check__pnl_fdr_5pct,experimental_passed
A10_volume_surprise_48,0.0024408315305506564,0.6666666666666666,13.067707458216889,14668,1466,1.0,0.8332676997985408,-0.0033456313562395873,-4.0952841302136006e-05,0.7404,0.8904,0.9278777777777779,1.0,True,True,False,True,True,False,False,False
A11_signed_volume_pressure_6,0.0002568463598089446,0.5,inf,14668,1466,0.5244148014374279,1.0,-0.004248627189569147,-7.116761922827637e-05,0.7986,0.975,0.9278777777777779,1.0,True,False,False,True,True,False,False,False
A12_close_location_value_10,0.0044511285458625725,0.5,inf,14668,1466,0.8807212526653311,0.6946556959712916,-0.0052179736360741516,-3.930715430192524e-05,0.8666,0.9626,0.9278777777777779,1.0,True,False,False,True,True,False,False,False
A13_intraday_range_position_10,0.004451128545862554,0.5,inf,14668,1466,0.8807212526653311,0.694655695971292,-0.005217973636074136,-3.930715430192528e-05,0.8666,0.9626,0.9278777777777779,1.0,True,False,False,True,True,False,False,False
A14_gap_proxy,-0.014728031736772335,0.16666666666666666,0.16076603497860673,14668,1466,0.6693147955621177,0.8311891124614748,-0.0066835832655625284,9.308778770625427e-06,0.8942,0.1076,0.9278777777777779,1.0,False,False,True,True,True,False,False,False
A15_volatility_adjusted_breakout_20,-0.007108109697570376,0.3333333333333333,inf,14668,1466,0.6053134600494069,0.862026391813631,-0.017691035871325086,-1.540289723604161e-05,0.937,0.9828,0.937,1.0,False,False,False,True,True,False,False,False
A16_momentum_ensemble,0.019106291564995,0.8333333333333334,1.5596006413951016,14668,1466,0.3741137528731731,0.6425544108107417,0.010334355283667917,-1.982841960614749e-05,0.021,0.6812,0.111,1.0,True,True,False,True,True,False,False,False
A17_mean_reversion_ensemble,-0.02293752280516674,0.16666666666666666,1.5014616029829404,14668,1466,1.0,0.934586088440343,0.012312246121820383,-1.521141370312409e-05,0.0118,0.6204,0.08732,1.0,False,False,False,True,True,False,False,False
A20_market_breadth_24,,0.0,inf,14668,1466,inf,inf,,0.0,,1.0,,1.0,False,False,False,True,True,False,False,False
A21_funding_rate_crowding_90,-0.00860852952053409,0.16666666666666666,1.7508093111518686,14668,1466,inf,1.0,0.005323615198800539,-3.0910952492417384e-05,0.1362,0.7498,0.25196999999999997,1.0,False,False,False,True,True,False,False,False
A22_funding_rate_trend_21,0.006075400248520836,0.6666666666666666,inf,14668,1466,0.4899042550827966,0.8522330161260377,-0.003937366822640517,-6.024771835152137e-05,0.7938,0.9388,0.9278777777777779,1.0,True,True,False,True,True,False,False,False
A23_cross_sectional_relative_strength_24,0.01850370879724098,0.6666666666666666,16.922683288701,14668,1466,0.72684618118631,0.8533417367079482,0.009314021501093936,-8.369155245153405e-05,0.0336,0.946,0.13813333333333333,1.0,True,True,False,True,True,False,False,False
A24_skip_momentum_120_6,0.0060053225015910625,0.8333333333333334,0.630339803034446,14668,1466,0.5162047167664282,0.6576672700566999,0.012400308030909104,2.474528995724441e-05,0.0032,0.22,0.03946666666666667,1.0,True,True,True,True,True,True,False,False
A24_skip_momentum_168_6,0.01181582254547242,0.8333333333333334,0.5699700868088012,14668,1466,0.6122283749750179,0.5651395442027584,0.010706643924567686,2.6367310918279512e-05,0.0142,0.22,0.08756666666666667,1.0,True,True,True,True,True,False,False,False
A24_skip_momentum_72_6,-0.0019140181908443193,0.3333333333333333,2.136288907677838,14668,1466,0.8079776835096568,0.7602349352118032,0.008104443508950097,-2.788399518919962e-05,0.0476,0.7536,0.15046666666666667,1.0,False,False,False,True,True,False,False,False
A25_sign_tsmom_168,0.008122213343094417,0.8333333333333334,0.4101182719951219,14668,1466,0.8222636683069126,0.5101060250044048,0.008080723388069685,4.167202994291748e-05,0.147,0.0796,0.259,1.0,True,True,True,True,True,False,False,False
A25_sign_tsmom_24,0.012241418811045825,0.6666666666666666,inf,14668,1466,0.6717365237630194,0.7920318613714235,0.009288887739147475,-5.2517365655164823e-05,0.1346,0.9322,0.25196999999999997,1.0,True,True,False,True,True,False,False,False
A25_sign_tsmom_72,0.01713553354828592,0.6666666666666666,2.8567987148345306,14668,1466,0.9446683638590289,0.6776703232104427,0.006850256056220748,-2.6292413787151616e-05,0.1976,0.8118,0.3178782608695652,1.0,True,True,False,True,True,False,False,False
A26_chan_pivot_position,0.018066315302242168,0.6666666666666666,inf,14668,1466,0.8170506030292956,0.7197187797418984,0.005485351384284072,-9.884294240598006e-05,0.1324,0.9702,0.25196999999999997,1.0,True,True,False,True,True,False,False,False
