leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_34_5y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__same_strategy_for_full_sample,check__solvent,check__start_by_1991_12_31,check__end_by_2026_08_31,check__span_at_least_34_5y,check__weekday_coverage_at_least_94pct,ending_equity,entry_sales_load,exit_sales_load,total_external_cost_pct_initial,total_financing_cost_pct_initial,strict_gate_passed
1.0,10000.0,66933.17982055781,5.69331798205578,0.05418554335106829,0.0594845051273725,1.3166771022419343,1.41608192881621,0.26092254229566525,-0.20766907632560072,-0.018650162843681768,578.0,1.251379079871797,0.4703483245149912,,,,,,,0.14461818626716427,-0.13291114339446597,0.7245370370370371,13159.0,0.8857142857142857,35,-0.3623271609675688,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,66933.17982055781,0.0275,0.0,0.029500000000000002,0.0,False
2.0,10000.0,97166.30012052359,8.71663001205236,0.0651484627556922,0.118969010254745,0.8293553169127329,0.9876916488182582,0.15606311081724702,-0.4174494690931948,-0.04790910047647283,1226.0,1.1509020118557807,0.4701278659611993,,,,,,,0.25712533132472615,-0.291471751903307,0.6550925925925926,13159.0,0.8,35,-0.5782298866141838,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,97166.30012052359,0.0275,0.0,0.059000000000000004,1.44,False
3.0,10000.0,129015.38437825235,11.901538437825234,0.07356342672097838,0.1784535153821175,0.666914721802999,0.7942387150187947,0.12627050878352386,-0.5825859690412298,-0.10025843644858004,3071.0,1.1194746909986544,0.4701278659611993,,,,,,,0.3788737921495178,-0.43216671134128737,0.6365740740740741,13159.0,0.7714285714285715,35,-0.6501974618297213,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,129015.38437825235,0.0275,0.0,0.08850000000000001,2.88,False
5.0,10000.0,173409.13106209243,16.340913106209243,0.08241177884322526,0.29742252563686256,0.5369622457152119,0.6394763679792237,0.10288192510076981,-0.801032628058868,-0.2956718396094186,4745.0,1.0950221475115336,0.4701278659611993,,,,,,,0.6523472065788347,-0.6563259100782061,0.6203703703703703,13159.0,0.7428571428571429,35,-0.7077715220021523,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,173409.13106209243,0.0275,0.0,0.14750000000000002,5.76,False
7.5,10000.0,149059.2090958293,13.90592090958293,0.07787532863352387,0.4461337884552938,0.4719860076713178,0.5621600502680684,0.08357772553435384,-0.9317713318426444,-0.49454731572579075,4745.0,1.0830179309471493,0.4699074074074074,,,,,,,1.0564005228294797,-0.8365368087794989,0.5856481481481481,13159.0,0.7142857142857143,35,-0.7365585520883685,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,149059.2090958293,0.0275,0.0,0.22125,9.360000000000001,False
10.0,10000.0,70104.74369516352,6.010474369516352,0.05554105641677687,0.5948450512737251,0.4394978886493703,0.5234649993011945,0.05663846090454378,-0.9806243942677674,-0.602549675821407,5697.0,1.0770701181753364,0.4699074074074074,,,,,,,1.5382943933108923,-0.9321451999111149,0.5810185185185185,13159.0,0.6857142857142857,35,-0.7533756114846606,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,70104.74369516352,0.0275,0.0,0.29500000000000004,12.959999999999999,False
