leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_15y,strict_oos_passed
1.0,10000.0,10395.17090197283,0.039517090197283,0.0014756426115156707,0.06691879196371893,0.06544000171914845,0.1031539542727693,0.005396016341868433,-0.27346889223925375,-0.0803714737302843,3881.0,1.009168700397037,0.49841173801240357,,,,,,,0.0768016502861204,-0.060636691978185,0.4620253164556962,9600.0,0.48,25,-1.2229799893704527,True,True,False,False,False,False,False,True,False
2.0,10000.0,3545.7042141615634,-0.6454295785838436,-0.03868086403602933,0.1342508843740016,-0.359596938742791,-0.564982564182647,-0.051415965276359346,-0.752312318326045,-0.3286799108092334,5131.0,0.951067204542758,0.48706700952957194,,,,,,,0.11193298698816445,-0.155480242591872,0.4272151898734177,9600.0,0.28,25,-1.7211828084816112,True,True,False,False,False,False,False,True,False
3.0,10000.0,1130.929478028489,-0.886907052197151,-0.07957971868686553,0.20212287774754278,-0.49472436205745274,-0.7763673508982836,-0.08609984113896231,-0.9242725379530781,-0.4903008725257835,6127.0,0.9332564654225073,0.4817728029042505,,,,,,,0.14602005920388872,-0.2438339048707897,0.3924050632911392,9600.0,0.2,25,-1.8911581451788253,True,True,False,False,False,False,False,True,False
