alpha_a,alpha_b,correlation
A12_close_location_value_10,A13_intraday_range_position_10,1.0
A02_ema_distance_20,A06_rsi_reversion_14,-0.9766327602304999
A16_momentum_ensemble,A02_ema_distance_100,0.9555204169628361
A02_ema_distance_50,A06_rsi_reversion_14,-0.9465336980523997
A16_momentum_ensemble,A02_ema_distance_50,0.9412044245608578
A02_ema_distance_20,A05_bollinger_reversion_20,-0.9343242863001523
A02_ema_distance_50,A02_ema_distance_100,0.9245983810363908
A05_bollinger_reversion_20,A06_rsi_reversion_14,0.9004693211149721
A02_ema_distance_20,A02_ema_distance_50,0.8917356757738256
A09_efficiency_ratio_20,A06_rsi_reversion_14,-0.8886585234095439
A05_bollinger_reversion_20,A17_mean_reversion_ensemble,0.8877478787186619
A01_ts_momentum_12,A05_bollinger_reversion_20,-0.886249697473141
A02_ema_distance_20,A17_mean_reversion_ensemble,-0.8841069131261334
A03_donchian_breakout_20,A15_volatility_adjusted_breakout_20,0.8812003039757876
A01_ts_momentum_12,A02_ema_distance_20,0.8690872596104418
A01_ts_momentum_24,A20_market_breadth_24,0.8646356783126335
A02_ema_distance_20,A09_efficiency_ratio_20,0.8643206222130838
A01_ts_momentum_48,A16_momentum_ensemble,0.8640417660076641
A01_ts_momentum_24,A06_rsi_reversion_14,-0.8485065708066126
A01_ts_momentum_72,A16_momentum_ensemble,0.8462862023208935
A01_ts_momentum_24,A02_ema_distance_50,0.8460755385592058
A01_ts_momentum_12,A06_rsi_reversion_14,-0.8458259281612901
A01_ts_momentum_24,A09_efficiency_ratio_20,0.8440948619129417
A01_ts_momentum_72,A02_ema_distance_100,0.8402844923316889
A02_ema_distance_50,A09_efficiency_ratio_20,0.8390355015016087
A16_momentum_ensemble,A06_rsi_reversion_14,-0.8363863030843717
A04_short_reversion_6,A17_mean_reversion_ensemble,0.8323464474358082
A04_short_reversion_3,A17_mean_reversion_ensemble,0.8279479533098132
A01_ts_momentum_48,A02_ema_distance_100,0.8261713143736829
A01_ts_momentum_48,A02_ema_distance_50,0.825147365340397
A06_rsi_reversion_14,A17_mean_reversion_ensemble,0.8096556326696792
A04_short_reversion_2,A04_short_reversion_3,0.7975943281879101
A01_ts_momentum_24,A02_ema_distance_20,0.7908867291363253
A01_ts_momentum_120,A02_ema_distance_100,0.7899516080907222
A01_ts_momentum_24,A16_momentum_ensemble,0.7866071254927638
A02_ema_distance_100,A06_rsi_reversion_14,-0.7852015245415331
A04_short_reversion_2,A17_mean_reversion_ensemble,0.7822760223488855
A02_ema_distance_50,A05_bollinger_reversion_20,-0.7755308895618861
A02_ema_distance_50,A08_trend_quality,0.7721490040676221
A09_efficiency_ratio_20,A05_bollinger_reversion_20,-0.7694017290441706
A01_ts_momentum_120,A16_momentum_ensemble,0.76794350840939
A16_momentum_ensemble,A02_ema_distance_20,0.7650738886266586
