symbol,alpha_name,direction,horizon_bars,sample_start,sample_end,observations,alpha_mean,alpha_std,forward_return_correlation,pearson_ic,spearman_ic,ic_t_stat,rolling_ic_positive_ratio,rolling_windows_used,low_bucket_return,mid_bucket_return,high_bucket_return,top_minus_bottom_spread,turnover_proxy,cost_adjusted_spread_1x,cost_adjusted_spread_2x,cost_adjusted_spread_3x,regime_trending_ic,regime_trending_observations,regime_mixed_ic,regime_mixed_observations,regime_ranging_ic,regime_ranging_observations
BTCUSDT,A01_ts_momentum_12,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 12:00:00+00:00,14620,0.042792007756001456,0.6446173584166917,0.009865154819363833,0.009865154819363833,-0.020211050137065267,1.1928038112783519,0.4296151972722845,14371,8.65393194402171e-05,0.0002651069538139461,0.00035569470115358835,0.0002691553817133713,0.20040499988661617,-0.0003320596179464772,-0.0009332746176063257,-0.0015344896172661741,0.009203955739225568,4863,0.024234810390335135,4875,-0.010391109903740313,4882
BTCUSDT,A01_ts_momentum_12,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 04:00:00+00:00,14618,0.042792007756001456,0.6446173584166917,0.015345426403005772,0.015345426403005772,-0.01387979599607611,1.8554291191823962,0.4220892198482845,14369,0.00048399569796557816,0.0005677482480486735,0.0010517302715763992,0.000567734573610821,0.20040499988661617,-0.0012359104253687244,-0.00303955542434827,-0.004843200423327816,0.021045189774828926,4862,0.012286827288516475,4874,0.006258073828945303,4882
BTCUSDT,A01_ts_momentum_12,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 16:00:00+00:00,14615,0.042792007756001456,0.6446173584166917,0.01646368040404218,0.01646368040404218,-0.0120818717237953,1.9904693080247553,0.41083112905471253,14366,0.0009740853865285485,0.0015507477047121952,0.0017476954051829476,0.0007736100186543991,0.20040499988661617,-0.0028336799793046916,-0.006440969977263782,-0.010048259975222875,0.01633924342771948,4861,0.016367922857394874,4872,0.014411597380355681,4882
BTCUSDT,A01_ts_momentum_24,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 12:00:00+00:00,14620,0.05908574857628494,0.739943824351141,0.00811415265255152,0.00811415265255152,-0.01332574517523264,0.9810732852612853,0.41152320645744905,14371,0.0001238980167450731,0.0002946377327111194,0.00028879755848381744,0.00016489954173874434,0.1561525986618526,-0.0003035582542468135,-0.0007720160502323714,-0.001240473846217929,0.012166146931324512,4863,0.017889236929655564,4875,-0.01862614092563988,4882
BTCUSDT,A01_ts_momentum_24,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 04:00:00+00:00,14618,0.05908574857628494,0.739943824351141,0.01422674268960424,0.01422674268960424,-0.013831808799475072,1.7201396198072816,0.39933189505184774,14369,0.0003619558469943041,0.0008590813327302397,0.0008824968230261077,0.0005205409760318037,0.1561525986618526,-0.0008848324119248698,-0.002290205799881543,-0.0036955791878382164,0.02305859297372124,4862,0.011314297018633145,4874,-0.0026817930557031943,4882
BTCUSDT,A01_ts_momentum_24,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 16:00:00+00:00,14615,0.05908574857628494,0.739943824351141,0.015593694324144385,0.015593694324144385,-0.009605459166549245,1.8852611477806527,0.379576778504803,14366,0.0010832762283146775,0.0016375505564735218,0.0015517195283127829,0.0004684432999981054,0.1561525986618526,-0.0023423034759152417,-0.0051530502518285885,-0.007963797027741935,0.02587971139788001,4861,0.004264705527732069,4872,0.01061562899708267,4882
BTCUSDT,A01_ts_momentum_48,trend,1,2020-01-09 00:00:00+00:00,2026-09-10 12:00:00+00:00,14620,0.084306305683953,0.8148170202314349,0.009685916795960738,0.009685916795960738,-0.004178205926404101,1.1711299453802375,0.3690070280425858,14371,0.00012067542146860842,0.00019313362094509757,0.0003935249268427982,0.0002728495053741898,0.11689490758964631,-7.783521739474912e-05,-0.00042851994016368804,-0.000779204662932627,0.0069702196604940975,4863,0.025847360285427296,4875,-0.007874274155245007,4882
BTCUSDT,A01_ts_momentum_48,trend,3,2020-01-09 00:00:00+00:00,2026-09-10 04:00:00+00:00,14618,0.084306305683953,0.8148170202314349,0.011188809575351294,0.011188809575351294,-0.011141702181716824,1.3527742752074414,0.3334261256872434,14369,0.00046406707362153245,0.0005286462392002674,0.001110752880551973,0.0006466858069304405,0.11689490758964631,-0.00040536836137637633,-0.001457422529683193,-0.00250947669799001,0.021447626674953514,4862,0.01879562685910365,4874,-0.013516117722968823,4882
BTCUSDT,A01_ts_momentum_48,trend,6,2020-01-09 00:00:00+00:00,2026-09-09 16:00:00+00:00,14615,0.084306305683953,0.8148170202314349,0.010929148385346877,0.010929148385346877,-0.011566377887527816,1.3212407309039722,0.33266044828066266,14366,0.0013442371653925723,0.0010686921870904185,0.001859500199868939,0.0005152630344763666,0.11689490758964631,-0.001588845302137267,-0.003692953638750901,-0.005797061975364535,0.029463815886559476,4861,0.007201208276519182,4872,-0.010406483578656147,4882
BTCUSDT,A01_ts_momentum_72,trend,1,2020-01-13 00:00:00+00:00,2026-09-10 12:00:00+00:00,14596,0.10654159274063492,0.8469965224797602,0.007809722209022035,0.007809722209022035,-0.0010284772493381546,0.9434871767489764,0.27016100927023073,14347,0.0002144563411544116,5.9482069775086666e-05,0.00043044167117110263,0.00021598533001669103,0.0998007188781424,-8.341682661773618e-05,-0.0003828189832521634,-0.0006822211398865906,0.014582636645499043,4863,0.006108783265560192,4862,-0.0003239573974774494,4871
BTCUSDT,A01_ts_momentum_72,trend,3,2020-01-13 00:00:00+00:00,2026-09-10 04:00:00+00:00,14594,0.10654159274063492,0.8469965224797602,0.011971451021564453,0.011971451021564453,0.00021791955647192855,1.44622320751953,0.24942488672011154,14345,0.0004859958801832501,0.0001657418109175217,0.0014422432322802226,0.0009562473520969725,0.0998007188781424,5.804088219369091e-05,-0.0008401655877095907,-0.0017383720576128721,0.03377435697792355,4862,0.005439560204270527,4861,-0.009137277947862458,4871
BTCUSDT,A01_ts_momentum_72,trend,6,2020-01-13 00:00:00+00:00,2026-09-09 16:00:00+00:00,14591,0.10654159274063492,0.8469965224797602,0.018825465897822122,0.018825465897822122,0.005867736658836548,2.274235662244958,0.24271370799051736,14342,0.0010439479700565194,0.0002586466605113023,0.0029463840295993983,0.0019024360595428788,0.0998007188781424,0.00010602311973631571,-0.0016903898200702474,-0.0034868027598768106,0.04177180540726622,4861,0.004284509571320236,4859,0.006761188962232696,4871
