,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A18_btc_lead_eth_lag_1,A18_btc_lead_eth_lag_2,A18_btc_lead_eth_lag_3,A19_relative_strength_btc_eth_24,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.6845373453611336,0.4916112480107512,0.38729581891492,0.299105229544816,0.669137335673562,0.8841812297890662,0.7443652351043832,0.5754590905753089,0.41089105501320616,0.49516819458283223,0.7528794672663796,-0.21055116948389171,-0.3126220767014992,-0.3987776314124173,-0.5850612397995496,-0.8834438801509248,-0.8559040362107556,-0.7437358996542867,0.020666201504692276,-0.017935578434122294,0.41019325174917803,0.14449514363986518,0.4663234088112795,0.5250233050943435,0.5250233050943435,0.007562507885104694,0.19137722085700665,0.2836812129340991,0.3551987263257521,-0.1477728559089946,0.5884176329238079,0.30042174162246393,-0.265780731478587,0.0950830617509161
A01_ts_momentum_24,0.6845373453611336,1.0,0.692396908487987,0.5450686672652347,0.4205847980706586,0.8017266706347647,0.8191519521737974,0.8661881783465412,0.732922274172373,0.34444035637724274,0.6614221559438884,0.8846691375044783,-0.11387018162833977,-0.17522502249130634,-0.22647588067444352,-0.34727681750617695,-0.6886642664302544,-0.8710422382012417,-0.5741888266294963,0.04974807732578575,0.023578787893810075,0.3437552948874323,0.10221858755652612,0.3331330990756391,0.37910855556681955,0.37910855556681955,0.0004422470657922059,0.12355896393441433,0.18762595760536555,0.23486787228532338,-0.2524454767640253,0.8560574545967683,0.46144785522365933,-0.3126917719816695,0.21395571128610594
A01_ts_momentum_48,0.4916112480107512,0.692396908487987,1.0,0.7754068843723864,0.5790460874514805,0.8738154930018913,0.6370605604700537,0.8637464774161951,0.8537678034335061,0.2462496730472373,0.709722434570775,0.6178935928560043,-0.04624992072934085,-0.07477307983500264,-0.10148428633943979,-0.16935184616292198,-0.47813716735134904,-0.728022412217891,-0.3916382896870471,0.06702212842875105,0.09015706857702237,0.24576286737330652,0.06177298561393103,0.2568860407054961,0.32011094693752395,0.32011094693752395,0.0007165036123993481,0.09040323282751563,0.13556783517659143,0.16827348626052308,-0.19522531277268115,0.5589569947559401,0.3310823707455452,-0.3186073169331917,0.34896163970562655
A01_ts_momentum_72,0.38729581891492,0.5450686672652347,0.7754068843723864,1.0,0.7248205345360219,0.8546428523873092,0.5052424304850305,0.7718476991898588,0.8749883945845044,0.1955861071186386,0.6632978376948798,0.482612827790263,-0.003950695165045641,-0.012355744046800718,-0.025070809360880707,-0.05711367526799818,-0.37126641334922117,-0.5896567715149003,-0.2733033593596892,0.024027006167071596,0.16208194568920592,0.19508111961489555,0.053163583613222744,0.2194963464149506,0.27990276600822117,0.27990276600822117,-0.004587092445265315,0.07598453443760876,0.11174099644102564,0.1398239466133702,-0.15119206721486697,0.43503331714226606,0.24497289248751267,-0.25883784351984523,0.4282612697828539
A01_ts_momentum_120,0.299105229544816,0.4205847980706586,0.5790460874514805,0.7248205345360219,1.0,0.7578652626007227,0.3884935168563897,0.6184652865017907,0.8175233144579636,0.16006379718248945,0.5601732101583601,0.3737857269936311,0.02141022557902106,0.026132668809189727,0.023417635580492428,0.01757097356083607,-0.2899871891366001,-0.45388857270793165,-0.17998833760438795,-0.06059956070160594,0.2986142944676962,0.1581982116757077,0.039453544296135505,0.193858222798164,0.26294719842406156,0.26294719842406156,-0.006235309766780122,0.05858639986624282,0.08483197093649168,0.10210047343414141,-0.11298431753975419,0.33196080405810013,0.19231485556885816,-0.11762135101939468,0.5120079518592022
A16_momentum_ensemble,0.669137335673562,0.8017266706347647,0.8738154930018913,0.8546428523873092,0.7578652626007227,1.0,0.7671485107929175,0.9416297431067091,0.9524697973895647,0.31833186364619903,0.7708460071262144,0.7393806647407056,-0.07376240706947566,-0.1169524295087018,-0.15648691973496362,-0.2503724763645096,-0.6380639562071323,-0.8367079137376412,-0.5032003681326301,0.02889257014471879,0.13402280756476675,0.31728325365524485,0.09183553052567656,0.3423560847627562,0.4115857502581099,0.4115857502581099,-0.0005951640198063218,0.12224127912407073,0.1832246183015241,0.2281531988709696,-0.2084209946325188,0.6725875930876029,0.36239217767691184,-0.29650883709788795,0.39727156549342185
A02_ema_distance_20,0.8841812297890662,0.8191519521737974,0.6370605604700537,0.5052424304850305,0.3884935168563897,0.7671485107929175,1.0,0.891486001954953,0.7164584325922457,0.4629303235564554,0.5859886780274628,0.8562527864699345,-0.30428961955846295,-0.432998048483667,-0.5255612685419432,-0.6808877729576366,-0.9505159023667521,-0.9837319164365574,-0.8798107132168084,0.037172171752762925,0.004597854873624635,0.4618136846889232,0.16486028770374322,0.581122060093896,0.5541998317934572,0.5541998317934572,0.0032924065081573503,0.283297244321576,0.4043482131303103,0.4869638314026001,-0.17990434972067873,0.7064427999213689,0.3547365632562777,-0.2928344102718859,0.1602906773357632
A02_ema_distance_50,0.7443652351043832,0.8661881783465412,0.8637464774161951,0.7718476991898588,0.6184652865017907,0.9416297431067091,0.891486001954953,1.0,0.9300410210749154,0.3869583580005031,0.7640708076348516,0.8362395068961335,-0.14949143788599187,-0.22175902073797174,-0.28050772025660403,-0.39926978638904626,-0.765234581525686,-0.9470821136138604,-0.6500029505259082,0.05419688578210769,0.07723432884596375,0.3859991424202406,0.11901714595340183,0.4329717405584792,0.4645871790135182,0.4645871790135182,0.0012785233185302444,0.179159928778181,0.2621086265638959,0.3227222117754313,-0.21095627317761073,0.7288161660643095,0.3887871239945469,-0.32961649380501595,0.32644279321260006
A02_ema_distance_100,0.5754590905753089,0.732922274172373,0.8537678034335061,0.8749883945845044,0.8175233144579636,0.9524697973895647,0.7164584325922457,0.9300410210749154,1.0,0.30210137527531555,0.7597184130369625,0.6826267316914665,-0.06553338863361327,-0.10123862368157069,-0.13478822172695346,-0.20550002081433175,-0.5773550718155199,-0.7927082803222186,-0.4568545699423801,0.013787637494031155,0.19124847344043638,0.3010588954020895,0.08536998976689643,0.3391565200546292,0.3944873903084753,0.3944873903084753,-0.0014917184129764158,0.12574697975422597,0.18410880167359234,0.22755286158741325,-0.1901018012767366,0.60054107894646,0.33290986265176964,-0.26601518889399733,0.47015732038322994
A03_donchian_breakout_20,0.41089105501320616,0.34444035637724274,0.2462496730472373,0.1955861071186386,0.16006379718248945,0.31833186364619903,0.4629303235564554,0.3869583580005031,0.30210137527531555,1.0,0.22489406389535088,0.3792771423374754,-0.43838869134309766,-0.44422160130157995,-0.43587044620772347,-0.42359612910219147,-0.4854289657359477,-0.437202452143722,-0.4889948631320838,0.006906014598626209,0.0016193046000199836,0.999842975787468,0.331136151077013,0.38813974950458846,0.31148647729870554,0.31148647729870554,0.0023658219361958766,0.3391202897468767,0.36172532950350855,0.35774849953666576,-0.0817856249287413,0.29221081730586745,0.14966479690803608,-0.07719637302385035,0.04710847821642815
A08_trend_quality,0.49516819458283223,0.6614221559438884,0.709722434570775,0.6632978376948798,0.5601732101583601,0.7708460071262144,0.5859886780274628,0.7640708076348516,0.7597184130369625,0.22489406389535088,1.0,0.61817162283491,0.022594508126828262,-0.004678166272389442,-0.030344137545172,-0.10315249218685867,-0.47468100924804996,-0.6616956831333215,-0.3314760835113451,-0.14148765667681149,0.265756830392169,0.22309449477354293,0.04213691962042523,0.21078374660929555,0.2889827526379472,0.2889827526379472,-0.004550380472307268,0.02921305419112667,0.06859531685111457,0.09827696255693784,-0.17027575957961694,0.558653032461335,0.31172618928562307,-0.2423466278854764,0.3141504205611737
A09_efficiency_ratio_20,0.7528794672663796,0.8846691375044783,0.6178935928560043,0.482612827790263,0.3737857269936311,0.7393806647407056,0.8562527864699345,0.8362395068961335,0.6826267316914665,0.3792771423374754,0.61817162283491,1.0,-0.13789014851062042,-0.2115037193929652,-0.27440631241742475,-0.4169014604753558,-0.7827331197292726,-0.8862263527959013,-0.6401193511970635,0.05253106549121881,0.0027590882658383976,0.37820733580429466,0.11324250109548255,0.3710540243803848,0.4116314331494009,0.4116314331494009,0.0003376555587117646,0.1397989315779141,0.2133643167421673,0.27090903937403915,-0.20226753886699878,0.7652594769714638,0.38981748400522265,-0.2931902695652462,0.16740016375823769
