,A01_ts_momentum_12,A01_ts_momentum_24,A01_ts_momentum_48,A01_ts_momentum_72,A01_ts_momentum_120,A16_momentum_ensemble,A02_ema_distance_20,A02_ema_distance_50,A02_ema_distance_100,A03_donchian_breakout_20,A08_trend_quality,A09_efficiency_ratio_20,A04_short_reversion_1,A04_short_reversion_2,A04_short_reversion_3,A04_short_reversion_6,A05_bollinger_reversion_20,A06_rsi_reversion_14,A17_mean_reversion_ensemble,A07_volatility_compression,A07_atr_percentile,A15_volatility_adjusted_breakout_20,A10_volume_surprise_48,A11_signed_volume_pressure_6,A12_close_location_value_10,A13_intraday_range_position_10,A14_gap_proxy,A18_btc_lead_eth_lag_1,A18_btc_lead_eth_lag_2,A18_btc_lead_eth_lag_3,A19_relative_strength_btc_eth_24,A20_market_breadth_24,A23_cross_sectional_relative_strength_24,A21_funding_rate_crowding_90,A22_funding_rate_trend_21
A01_ts_momentum_12,1.0,0.6534664971832171,0.4407945224671737,0.3392993721493521,0.25463117390480217,0.6511895528554632,0.8716504876978047,0.7356380221712591,0.549233610296649,0.32483636037074637,0.5255711695066381,0.7443762948258094,-0.233911401357536,-0.3368233296200175,-0.4168238051324157,-0.5910104601608546,-0.8871807284753341,-0.8491630802640435,-0.7345211165234287,0.026060272016663874,-0.026340808263195653,0.28561211979099094,0.17375120366632602,0.4769235991161953,0.5232643097757843,0.5232643097757842,0.0074725475684355586,0.21374591894105074,0.3025166924742775,0.36864075893484627,-0.14207693689058845,0.5850588971474564,0.29287810452728225,-0.2706127851843405,0.10079352268198385
A01_ts_momentum_24,0.6534664971832171,1.0,0.6163848642893142,0.4724295742756432,0.3517737013879331,0.7732491617177342,0.78646655293237,0.8402969584035975,0.6913147525669047,0.2716162420718918,0.6557707862584297,0.8438945243509846,-0.12898133444764848,-0.189895907466984,-0.23717105257737645,-0.34871502350046524,-0.6833345161492196,-0.8431970031873407,-0.5586238763582917,0.07344169877354693,0.0052158566543881015,0.2381653685863678,0.12175169352794549,0.3354439065913078,0.3654978786667099,0.36549787866670974,0.003131582962861348,0.13709892994909062,0.194314334570953,0.2378041943070115,-0.23786920190671224,0.8774833872324788,0.4359557022262403,-0.301627526306434,0.20915969298110532
A01_ts_momentum_48,0.4407945224671737,0.6163848642893142,1.0,0.7117418877332038,0.5147904717198803,0.8518842789861399,0.5907784472518683,0.8186550759448504,0.8128927574857743,0.19765928113627343,0.6502623199295938,0.5694855960513664,-0.05451822154169805,-0.08396153019618655,-0.10633555360787147,-0.1662016957130008,-0.44255899132833104,-0.6779520908826793,-0.3653629051116822,0.08875583846559437,0.06416752196345381,0.17228197657164557,0.07763668287114447,0.2532487896592664,0.29872181972986944,0.2987218197298692,-0.008599581892202661,0.09279437959353184,0.1337371991316654,0.1621340333050261,-0.18257393189969828,0.5219137056797323,0.30043797348406587,-0.2947252122669256,0.3260650956847149
A01_ts_momentum_72,0.3392993721493521,0.4724295742756432,0.7117418877332038,1.0,0.680362173864622,0.8476192883169114,0.4675070848939915,0.7254004998184299,0.8408292224280007,0.1573675479659911,0.5902715992061776,0.44697830052942045,-0.012890953163310124,-0.02385964152912268,-0.034437976736504346,-0.06208026210787484,-0.33543569247495497,-0.5456280026240885,-0.25274187381180335,0.04740239051240689,0.13197949950497254,0.13887589697157632,0.0677668957402582,0.2127641010571684,0.25438904969015125,0.2543890496901513,-0.016202583105659685,0.07492206249209789,0.1067332585224312,0.13156741453398516,-0.14044874335930002,0.40628657831373,0.2243201827298365,-0.24388504651195447,0.37772598285151204
A01_ts_momentum_120,0.25463117390480217,0.3517737013879331,0.5147904717198803,0.680362173864622,1.0,0.7515435368509084,0.3529842292357274,0.5743600808204891,0.7746991518941536,0.12498932180061262,0.49073744736273467,0.33758421401374844,0.006077227509740885,0.007956689566074074,0.007711506231585053,0.0047470656301340656,-0.2559020967524855,-0.4110079258976547,-0.16627461516092196,-0.042889140402271854,0.2549077760675795,0.10769737387075758,0.04820658784989105,0.18012786923355795,0.23190324697912257,0.2319032469791229,-0.0024186927951590203,0.05939274224892682,0.08220396389560111,0.09791156627678146,-0.10844035503866135,0.30190422549002455,0.17262144719563394,-0.1175979338019626,0.4254103372890755
A16_momentum_ensemble,0.6511895528554632,0.7732491617177342,0.8518842789861399,0.8476192883169114,0.7515435368509084,1.0,0.7599116708289484,0.9401755355935284,0.9537425996345511,0.26546475714647755,0.7455426394064241,0.73116803415461,-0.09622414979218752,-0.14271742932291212,-0.1797663642742027,-0.26743560895834817,-0.6344517047269842,-0.8304034270710837,-0.503810576317206,0.04732423530320458,0.12305448239705635,0.23238860815703077,0.1190018876126447,0.3582914578293196,0.4136436506367504,0.4136436506367503,-0.005201698119992811,0.14029746853744438,0.19899155718863792,0.24222830485346372,-0.20595617283373316,0.6717939404150635,0.35784919460244646,-0.30917299634229795,0.38524393355749365
A02_ema_distance_20,0.8716504876978047,0.78646655293237,0.5907784472518683,0.4675070848939915,0.3529842292357274,0.7599116708289484,1.0,0.8902777962886302,0.700406413556971,0.43532933295704423,0.6388870087710986,0.8641000370909074,-0.35701801946102113,-0.48910733979614335,-0.5770189160448688,-0.7204069237637003,-0.9333735850757681,-0.9782723717006999,-0.8833513661653761,0.029426610093305963,0.0036228784994788562,0.37951140287682517,0.24113240007136283,0.6185786157418468,0.5693857858479494,0.5693857858479492,0.012553529664564769,0.3225047911338966,0.4385411817202906,0.5145929998337304,-0.19500526810402039,0.6966085685166883,0.3698917596114383,-0.3101555961158643,0.16194113832280438
A02_ema_distance_50,0.7356380221712591,0.8402969584035975,0.8186550759448504,0.7254004998184299,0.5743600808204891,0.9401755355935284,0.8902777962886302,1.0,0.9207568628438101,0.32754879344662674,0.7713023171204756,0.8363095779672649,-0.18143399293027002,-0.257540967788271,-0.31388786724688555,-0.427158261009464,-0.767552305634441,-0.945258824911003,-0.6572891657326234,0.060641501257362264,0.07175835452907395,0.28559128102667014,0.1567630537726731,0.45612092197571646,0.47533782179284395,0.47533782179284384,0.0014812819311577072,0.20383692758158237,0.2841613468632849,0.34172639820839557,-0.21546207018817165,0.7303350300414285,0.3930159174669181,-0.34451557681811557,0.3194576444484734
A02_ema_distance_100,0.549233610296649,0.6913147525669047,0.8128927574857743,0.8408292224280007,0.7746991518941536,0.9537425996345511,0.700406413556971,0.9207568628438101,1.0,0.24733507274433125,0.7295962597687351,0.6690376039548547,-0.08293429300908389,-0.12074513798431656,-0.1505435196517553,-0.21557651150172066,-0.5629971693708344,-0.7763188304927034,-0.44857803285291864,0.02772374040095048,0.18231218367330046,0.2174094863150286,0.10703108378004686,0.3470615673541265,0.3920507316784565,0.39205073167845667,-0.0035263983774472575,0.13637683697679787,0.19155419483680067,0.23205536207542973,-0.1826976590332453,0.5920259814283191,0.32442749995482834,-0.27069864553897716,0.4299389364040582
A03_donchian_breakout_20,0.32483636037074637,0.2716162420718918,0.19765928113627343,0.1573675479659911,0.12498932180061262,0.26546475714647755,0.43532933295704423,0.32754879344662674,0.24733507274433125,1.0,0.20498773975572857,0.3336030096481262,-0.46689136747760784,-0.45199825437771046,-0.42955817705543675,-0.3929119025299149,-0.3853502996592642,-0.37436184187566723,-0.5103105352175276,-0.00929816817719656,-0.0008518796822607589,0.8824050192885121,0.4164720636726691,0.38719481037940534,0.260282425763889,0.2602824257638889,-0.00012862079072406356,0.3567824910269007,0.34335509924151214,0.32584344378279334,-0.0769466288581459,0.2367926226702066,0.13430478169385954,-0.06043477024303254,0.0355936709265546
