date,WTMF
2011-01-05 14:30:00+00:00,34.655487060546875
2011-01-06 14:30:00+00:00,34.42118835449219
2011-01-07 14:30:00+00:00,34.372955322265625
2011-01-10 14:30:00+00:00,34.483211517333984
2011-01-11 14:30:00+00:00,34.6141471862793
2011-01-12 14:30:00+00:00,34.8553352355957
2011-01-13 14:30:00+00:00,34.53833770751953
2011-01-14 14:30:00+00:00,34.696842193603516
2011-01-18 14:30:00+00:00,34.77263641357422
2011-01-19 14:30:00+00:00,34.72440719604492
2011-01-20 14:30:00+00:00,34.64860153198242
2011-01-21 14:30:00+00:00,34.66238021850586
2011-01-24 14:30:00+00:00,34.593467712402344
2011-01-25 14:30:00+00:00,34.31782531738281
2011-01-26 14:30:00+00:00,34.593467712402344
2011-01-27 14:30:00+00:00,34.386741638183594
2011-01-28 14:30:00+00:00,34.62103271484375
2011-01-31 14:30:00+00:00,34.848445892333984
2011-02-01 14:30:00+00:00,35.082740783691406
2011-02-02 14:30:00+00:00,35.21366882324219
2011-02-03 14:30:00+00:00,35.11030197143555
2011-02-04 14:30:00+00:00,35.02072525024414
2011-02-07 14:30:00+00:00,34.92424392700195
2011-02-08 14:30:00+00:00,35.03450393676758
2011-02-09 14:30:00+00:00,35.47554016113281
2011-02-10 14:30:00+00:00,35.01382827758789
2011-02-11 14:30:00+00:00,34.89668273925781
2011-02-14 14:30:00+00:00,34.938026428222656
2011-02-15 14:30:00+00:00,34.77263641357422
2011-02-16 14:30:00+00:00,34.88978958129883
2011-02-17 14:30:00+00:00,35.1929931640625
2011-02-18 14:30:00+00:00,34.97937774658203
2011-02-22 14:30:00+00:00,34.882896423339844
2011-02-23 14:30:00+00:00,35.234344482421875
2011-02-24 14:30:00+00:00,35.04829025268555
2011-02-25 14:30:00+00:00,35.46175765991211
2011-02-28 14:30:00+00:00,35.54444885253906
2011-03-01 14:30:00+00:00,35.52377700805664
2011-03-02 14:30:00+00:00,35.696048736572266
2011-03-03 14:30:00+00:00,35.88211441040039
2011-03-04 14:30:00+00:00,35.951019287109375
2011-03-07 14:30:00+00:00,35.8338737487793
2011-03-08 14:30:00+00:00,35.68226623535156
2011-03-09 14:30:00+00:00,35.606468200683594
2011-03-10 14:30:00+00:00,35.206783294677734
2011-03-11 14:30:00+00:00,35.206783294677734
2011-03-14 13:30:00+00:00,35.234344482421875
2011-03-15 13:30:00+00:00,34.63481521606445
2011-03-16 13:30:00+00:00,34.64860153198242
2011-03-17 13:30:00+00:00,35.558231353759766
2011-03-18 13:30:00+00:00,35.420406341552734
2011-03-21 13:30:00+00:00,35.56511688232422
2011-03-22 13:30:00+00:00,35.71672821044922
2011-03-23 13:30:00+00:00,35.730506896972656
2011-03-24 13:30:00+00:00,35.847652435302734
