leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__sample_at_least_5y,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__solvent,strict_oos_passed
1.0,10000.0,6454.661011439106,-0.35453389885608944,-0.07144974860058884,0.2599404464546366,-0.1546898370128123,-0.20291350133322592,-0.12848047365283422,-0.5561136768039359,-0.25701996116582365,1552.0,0.9764132776451121,0.49304911955514363,,,,,,,0.07263527105201706,-0.20536855732500547,0.4788732394366197,2157.0,0.3333333333333333,6,-0.7549551427975458,True,True,True,False,False,False,False,False,True,False
2.0,10000.0,2182.002972756358,-0.7817997027243642,-0.22723617481707736,0.5198733638964886,-0.23395839530193355,-0.30988239322409866,-0.26269599422937095,-0.8650157589333771,-0.5076594442182645,1954.0,0.9645428811956506,0.4879518072289157,,,,,,,0.008625945823783843,-0.42872518307373797,0.4788732394366197,2157.0,0.16666666666666666,6,-0.8263647917664384,True,True,True,False,False,False,False,False,True,False
3.0,10000.0,486.6054857145541,-0.9513394514285446,-0.4006279007263568,0.7799224826518266,-0.2618814001924455,-0.35011085701375755,-0.41187222676859614,-0.9726994798108667,-0.7034848383844347,1954.0,0.9603919595267704,0.48517145505097314,,,,,,,-0.057118769229488664,-0.6138102614287659,0.4647887323943662,2157.0,0.0,6,-0.8535631088207271,True,True,True,False,False,False,False,False,True,False
