funding_time,basis_contribution,funding_contribution,trend_contribution,gross_return,spot_turnover,perp_turnover,trading_cost,financing_cost,net_return,equity,bankrupt
2020-10-16 16:00:00+00:00,-0.0028762181290763198,0.0,0.0,-0.0028762181290763198,0.9000000000000001,0.9000000000000001,0.0009000000000000002,7.305936073059361e-05,-0.0038492774898069137,9961.50722510193,False
2020-10-17 00:00:00+00:00,0.01662715486314353,0.0,0.0,0.01662715486314353,0.0,0.0,0.0,7.305936073059361e-05,0.016554095502412935,10126.410967054244,False
2020-10-17 08:00:00+00:00,-0.0031966278801560865,0.0,0.0,-0.0031966278801560865,0.0,0.0,0.0,7.305936073059361e-05,-0.0032696872408866802,10093.30077031929,False
2020-10-17 16:00:00+00:00,-0.023254168919437802,0.0,0.0,-0.023254168919437802,0.0,0.0,0.0,7.305936073059361e-05,-0.023327228280168397,9857.852039149653,False
2020-10-18 00:00:00+00:00,-0.00783724172413752,0.0,0.0,-0.00783724172413752,0.0,0.0,0.0,7.305936073059361e-05,-0.007910301084868114,9779.873461469899,False
2020-10-18 08:00:00+00:00,-0.007341509800697267,0.0,0.0,-0.007341509800697267,0.0,0.0,0.0,7.305936073059361e-05,-0.00741456916142786,9707.359913299817,False
2020-10-18 16:00:00+00:00,-0.011148878825964275,0.0,0.0,-0.011148878825964275,0.0,0.0,0.0,7.305936073059361e-05,-0.011221938186694869,9598.424520396766,False
2020-10-19 00:00:00+00:00,-0.008649863532129909,0.0,0.0,-0.008649863532129909,0.0,0.0,0.0,7.305936073059361e-05,-0.008722922892860502,9514.698203412403,False
2020-10-19 08:00:00+00:00,0.011007273003326535,0.0,0.0,0.011007273003326535,0.0,0.0,0.0,7.305936073059361e-05,0.010934213642595942,9618.733946313338,False
2020-10-19 16:00:00+00:00,0.00226971398616705,0.0,0.0,0.00226971398616705,0.0,0.0,0.0,7.305936073059361e-05,0.0021966546254364562,9639.862982727349,False
2020-10-20 00:00:00+00:00,-0.0017341002311683422,0.0,0.0,-0.0017341002311683422,0.0,0.0,0.0,7.305936073059361e-05,-0.0018071595918989357,9622.442211873522,False
2020-10-20 08:00:00+00:00,-0.004478378492006869,0.0,0.0,-0.004478378492006869,0.0,0.0,0.0,7.305936073059361e-05,-0.004551437852737462,9578.646264154622,False
2020-10-20 16:00:00+00:00,-0.005401949383172184,0.0,0.0,-0.005401949383172184,0.0,0.0,0.0,7.305936073059361e-05,-0.005475008743902777,9526.203092103624,False
2020-10-21 00:00:00+00:00,-0.005789369536076456,0.0,0.0,-0.005789369536076456,0.0,0.0,0.0,7.305936073059361e-05,-0.005862428896807049,9470.356403819622,False
2020-10-21 08:00:00+00:00,-0.005910960534915908,0.0,0.0,-0.005910960534915908,0.0,0.0,0.0,7.305936073059361e-05,-0.0059840198956465016,9413.685602680303,False
2020-10-21 16:00:00+00:00,-0.002931577193485682,0.0,0.0,-0.002931577193485682,0.0,0.0,0.0,7.305936073059361e-05,-0.0030046365542162755,9385.40089880859,False
2020-10-22 00:00:00+00:00,-0.0006988609285215035,0.0,0.0,-0.0006988609285215035,0.0,0.0,0.0,7.305936073059361e-05,-0.0007719202892520972,9378.156117432034,False
