,spot,spot,spot,spot,spot,spot,perp,perp,perp,perp,perp,perp
,VETUSDT,THETAUSDT,ALGOUSDT,ATOMUSDT,FILUSDT,UNIUSDT,VETUSDT,THETAUSDT,ALGOUSDT,ATOMUSDT,FILUSDT,UNIUSDT
funding_time,,,,,,,,,,,,
2020-10-16 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-17 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-17 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-17 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-18 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-18 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-18 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-19 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-19 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-19 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-20 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-20 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-20 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-21 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-21 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-21 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-22 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-22 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-22 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-23 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-23 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-23 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-24 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-24 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-24 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-25 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-25 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-25 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-26 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-26 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-26 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-27 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-27 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-27 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-28 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-28 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-28 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-29 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-29 08:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-29 16:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2020-10-30 00:00:00+00:00,0.05,0.05,0.05,0.05,0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
