leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_10y,strict_oos_passed
1.0,10000.0,18153.213184670876,0.8153213184670878,0.03473594053614604,0.07617762714678049,0.6889863516980527,0.842300413705722,0.23147290277187257,-0.1500648245223759,-0.027647916129902698,776.0,1.1142295055609395,0.5108126564989757,,,,,,,0.10037998624342559,-0.08728880522250282,0.5857142857142857,6378.0,0.75,16,-0.2520201905429303,True,True,False,False,True,False,False,True,False
2.0,10000.0,15296.77494232398,0.5296774942323981,0.024640486826628116,0.15235525429356098,0.30845342721826513,0.38309649541239654,0.07474503985716537,-0.3296604948464146,-0.09455626787207239,1647.0,1.0496085366100847,0.5108126564989757,,,,,,,0.16068904841044063,-0.20567805615692036,0.5666666666666667,6378.0,0.625,16,-0.6066049583557845,True,True,False,False,False,False,False,True,False
3.0,10000.0,12008.719556551701,0.20087195565517013,0.010537771526484718,0.22853288144034145,0.18160911905833615,0.22555695903145212,0.019490676689627555,-0.540657037941256,-0.2063028907399322,2993.0,1.028919572396257,0.5108126564989757,,,,,,,0.22110366866585562,-0.3140692555439565,0.5238095238095238,6378.0,0.5,16,-0.7247998809600705,True,True,False,False,False,False,False,True,False
