date,inflation_protected_return,nominal_return,weight_protected,weight_nominal,turnover,leverage,net_return
2003-12-08 14:30:00+00:00,-0.0008844240908244538,-0.0037733750776763886,0.997401724501492,-0.9945177291302214,2.0,2.0,0.0017183160662170142
2003-12-09 14:30:00+00:00,-0.00255500287845134,-0.004969838156021478,0.992646119302399,-0.9873796066316259,0.0,2.0,0.0022235929593626435
2003-12-10 14:30:00+00:00,0.0026594747892296766,0.0024974160453457017,0.9952826678624059,-0.9898421539498727,0.0,2.0,3.3847358275337176e-06
2003-12-11 14:30:00+00:00,0.003929913498564197,0.0060508126110379035,1.0014459034433416,-0.9980757860494993,0.0,2.0,-0.002248609517372277
2003-12-12 14:30:00+00:00,-0.0007821350668476557,0.0,1.0016180818536795,-0.9990287604625194,0.0,2.0,-0.0009539008792688895
2003-12-15 14:30:00+00:00,-0.0021550623443628014,-0.00047202726838435627,1.0013195992655457,-1.0004155791473852,0.0,2.0,-0.001857615515432151
2003-12-16 14:30:00+00:00,-0.0010794717593116676,0.012034521581850477,1.0137120040509244,-1.0260929589811834,0.0,2.0,-0.013291054028156004
2003-12-17 14:30:00+00:00,-0.0002949657983635223,0.0025906229053809238,1.0165927588072203,-1.0319790703392613,0.0,2.0,-0.00312786521380723
2003-12-18 14:30:00+00:00,0.0043242155996157106,0.0034061109558938263,1.020264035479658,-1.034759120160824,0.0,2.0,0.0007102961277199495
2003-12-19 14:30:00+00:00,-0.0004884297046665598,0.00011681746828351436,1.020571796771483,-1.0356980339639232,0.0,2.0,-0.0007898401228666267
2003-12-22 14:30:00+00:00,-0.0010776772949984137,-0.002691493819951374,1.0179276589106114,-1.0313458117144656,0.0,2.0,0.0015170928838184041
2003-12-23 14:30:00+00:00,-0.004998812913188266,-0.006805118671294408,1.0110604038951152,-1.022528379620955,0.0,2.0,0.00175936579317061
2003-12-24 14:30:00+00:00,0.0056158348976198535,0.006260874575050757,1.017648749472251,-1.0298516156209847,0.0,2.0,-0.0008946085550757939
2003-12-26 14:30:00+00:00,0.0017633392268205927,0.0031703490707089,1.0211190333041769,-1.0348149057802647,0.0,2.0,-0.0016411640741176266
2003-12-29 14:30:00+00:00,-0.0029344444825303295,-0.006086190097566835,1.014944795416568,-1.0253065617908639,0.0,2.0,0.0031310281984533376
2003-12-30 14:30:00+00:00,-0.002648355537385294,-0.0010598100048784254,1.014053702494642,-1.0260380088508296,0.0,2.0,-0.0017719394374633162
2003-12-31 14:30:00+00:00,0.0014474075788510898,0.0017619209097949895,1.0160403267711946,-1.0283709789985203,0.0,2.0,-0.0005106837283208606
2004-01-02 14:30:00+00:00,-0.002162945838796615,-0.008027074029921422,0.9922099461793717,-0.9863788875985737,0.04441130576971486,2.0,0.005671287617605028
2004-01-05 14:30:00+00:00,-0.001379460029300783,-0.0008338810787478224,0.9915520026634077,-0.9862633443043658,0.0,2.0,-0.0007168261912192695
2004-01-06 14:30:00+00:00,0.00641315032697598,0.007504083163822228,0.9991225757193926,-0.9948707914772901,0.0,2.0,-0.0012126650276297964
2004-01-07 14:30:00+00:00,0.0007853134204216516,0.0022470760371482434,1.0015312439609025,-0.9987258365281144,0.0,2.0,-0.0016215608688635594
2004-01-08 14:30:00+00:00,-0.0038212949646053707,0.0,1.0017087099300062,-1.002734549880349,0.0,2.0,-0.003997781220077671
2004-01-09 14:30:00+00:00,0.007572185996697289,0.011796119137576166,1.013768493632125,-1.0190609454114112,0.0,2.0,-0.00441388646828563
2004-01-12 14:30:00+00:00,-0.0007808660334102102,0.0,1.013952554430394,-1.0200424836405069,0.0,2.0,-0.000962252303053682
2004-01-13 14:30:00+00:00,0.004883727166888896,0.005362911350121902,1.0196070992848034,-1.0262201157295099,0.0,2.0,-0.0006891646977490222
2004-01-14 14:30:00+00:00,0.00019499308233372759,0.0019720270626948366,1.0218450610105234,-1.0302998669732564,0.0,2.0,-0.0019955524300764465
2004-01-15 14:30:00+00:00,0.0012633852900056919,0.0005779182114553638,1.0225992621818947,-1.0303544423327775,0.0,2.0,0.0005249200417268598
2004-01-16 14:30:00+00:00,0.0004852455571588976,-0.004163917585682353,1.0183946783490538,-1.0213496957405377,0.0,2.0,0.004615887810008196
2004-01-20 14:30:00+00:00,-0.0008735526108621938,-0.0017418968451065053,1.016774169687879,-1.0188382388828066,0.0,2.0,0.0007188295619660311
2004-01-21 14:30:00+00:00,0.004078258877546093,0.002909191872221495,1.0198886724510343,-1.0207691781808743,0.0,2.0,0.0010120374396879058
2004-01-22 14:30:00+00:00,0.0016435445269791238,0.004292141651062398,1.0245110795039878,-1.0281069793813793,0.0,2.0,-0.0028756883806908833
