leverage,dev__initial_capital,dev__final_value,dev__total_return,dev__cagr,dev__annualized_volatility,dev__sharpe_ratio,dev__sortino_ratio,dev__calmar_ratio,dev__max_drawdown,dev__average_drawdown,dev__longest_drawdown_days,dev__profit_factor,dev__win_rate,dev__turnover_per_bar,dev__annualized_turnover,dev__total_fees,dev__rebalance_count,dev__exposure_pct,dev__average_exposure,dev__best_year,dev__worst_year,dev__monthly_hit_rate,dev__elapsed_days,dev__positive_complete_year_ratio,dev__complete_year_count,dev__worst_rolling_3y_sharpe,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__sample_at_least_5y,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,strict_oos_passed
1.0,10000.0,10200.091793614365,0.020009179361436535,0.08276574669327674,0.07391528919239575,1.1011996683336336,1.1232628489914096,3.127568470683952,-0.026463288484033454,-0.009941329450465032,38.0,1.3487782061101201,0.5652173913043478,,,,,,,0.020009179361436535,0.020009179361436535,1.0,91.0,0.0,0,,10000.0,12790.76677798485,0.279076677798485,0.04421327202449454,0.036814187742128024,1.1937015677863188,0.8905004041281676,0.39110308780062103,-0.1130476168652339,-0.04505790870605344,1401.0,1.7443392886666869,0.5988455988455988,,,,,,,0.29486982074710943,-0.09610828149943584,0.6323529411764706,2078.0,0.8333333333333334,6,-0.6270991139068793,True,True,True,False,False,True,True,True,False
2.0,10000.0,10280.142281882403,0.028014228188240287,0.11727820069835015,0.14783871710694868,0.8160851543162043,0.8407762043482649,2.116015260000889,-0.05542408077827421,-0.021544707455399482,39.0,1.2490104867804552,0.5543478260869565,,,,,,,0.028014228188240287,0.028014228188240287,1.0,91.0,0.0,0,,10000.0,12872.857277622037,0.2872857277622036,0.04538812759818045,0.07296787060707113,0.6470039939403214,0.5296355664322155,0.17176768272099666,-0.2642413688022134,-0.15672756294651902,1703.0,1.346927139181315,0.5194805194805194,,,,,,,0.601401378311343,-0.2190668087793537,0.4411764705882353,2078.0,0.3333333333333333,6,-1.0485440988375239,True,True,True,False,False,False,True,False,False
3.0,10000.0,10341.026056145569,0.0341026056145568,0.1440752210962668,0.2217788090947156,0.7115998403525413,0.7328170107071047,1.70231583075267,-0.08463483596493648,-0.03303817921679412,41.0,1.2144369350637167,0.5543478260869565,,,,,,,0.0341026056145568,0.0341026056145568,1.0,91.0,0.0,0,,10000.0,12795.757801362288,0.27957578013622886,0.044284879289483436,0.10853437914527891,0.45899844816595164,0.3886228490931747,0.11180466317249695,-0.39609152277628046,-0.25591809209900934,1703.0,1.2316611471259917,0.49013949013949015,,,,,,,0.9685941405539251,-0.3290556208580514,0.38235294117647056,2078.0,0.3333333333333333,6,-2.2576406616343982,True,True,True,False,False,False,False,False,False
