funding_time,gross_pair_return,hedge_turnover,trading_cost,financing_cost,net_return
2020-09-14 00:00:00+00:00,-0.0002653110212170884,0.06369878770748583,0.0010318493938537429,0.0,-0.0012971604150708313
2020-09-14 08:00:00+00:00,1.4640184921688973e-05,0.03720982924274674,1.860491462137337e-05,0.0,-3.964729699684396e-06
2020-09-14 16:00:00+00:00,0.0002739853533482195,0.08258434619691868,4.129217309845934e-05,0.0,0.00023269318024976018
2020-09-15 00:00:00+00:00,0.0009055688830082987,0.05777247013946729,2.8886235069733645e-05,0.0,0.000876682647938565
2020-09-15 08:00:00+00:00,-0.002211123841524619,0.061116813666857256,3.055840683342863e-05,0.0,-0.0022416822483580473
2020-09-15 16:00:00+00:00,-0.00091806369736695,0.03422391742612532,1.7111958713062662e-05,0.0,-0.0009351756560800127
2020-09-16 00:00:00+00:00,-0.0002687977062812161,0.046505327509084954,2.3252663754542476e-05,0.0,-0.00029205037003575857
2020-09-16 08:00:00+00:00,0.012909311132886445,0.05558781648123837,2.7793908240619184e-05,0.0,0.012881517224645825
2020-09-16 16:00:00+00:00,-0.01320794676247946,0.04654423700894875,2.3272118504474375e-05,0.0,-0.013231218880983935
2020-09-17 00:00:00+00:00,-0.00021385841872235853,0.011081145678395715,5.540572839197858e-06,0.0,-0.00021939899156155638
2020-09-17 08:00:00+00:00,0.00011347011064426724,0.040661389717665725,2.0330694858832864e-05,0.0,9.313941578543438e-05
2020-09-17 16:00:00+00:00,-0.00022041497520750448,0.02636684037737383,1.3183420188686916e-05,0.0,-0.00023359839539619138
2020-09-18 00:00:00+00:00,0.00018582172998087002,0.08162756267426491,4.0813781337132456e-05,0.0,0.00014500794864373757
2020-09-18 08:00:00+00:00,-0.0005589270081396669,0.02606405891480229,1.3032029457401145e-05,0.0,-0.000571959037597068
2020-09-18 16:00:00+00:00,-0.0009522759003082143,0.015901809887943902,7.950904943971951e-06,0.0,-0.0009602268052521862
2020-09-19 00:00:00+00:00,0.0009058741556593763,0.04064106254332672,2.0320531271663362e-05,0.0,0.0008855536243877129
2020-09-19 08:00:00+00:00,0.00015256713944599798,0.030901506754239694,1.5450753377119847e-05,0.0,0.00013711638606887813
2020-09-19 16:00:00+00:00,0.00046326593784800957,0.039075335590402216,1.9537667795201108e-05,0.0,0.00044372827005280846
2020-09-20 00:00:00+00:00,-0.0005400843425549911,0.004888903012814277,2.4444515064071388e-06,0.0,-0.0005425287940613983
2020-09-20 08:00:00+00:00,0.0009850529877948404,0.02344269837761573,1.1721349188807864e-05,0.0,0.0009733316386060326
2020-09-20 16:00:00+00:00,-0.0006362330060340159,0.05990158810980975,2.9950794054904877e-05,0.0,-0.0006661838000889208
2020-09-21 00:00:00+00:00,-0.0002856763202794973,0.014984078692843517,7.492039346421759e-06,0.0,-0.00029316835962591906
2020-09-21 08:00:00+00:00,3.552383537534548e-05,0.03389467470401206,1.694733735200603e-05,0.0,1.8576498023339453e-05
2020-09-21 16:00:00+00:00,-0.00014135706517980615,0.12050328429570478,6.025164214785239e-05,0.0,-0.00020160870732765856
2020-09-22 00:00:00+00:00,0.0008336964525127256,0.018251660373220818,9.12583018661041e-06,0.0,0.0008245706223261152
2020-09-22 08:00:00+00:00,-0.0012587804720762459,0.026266053074240514,1.3133026537120257e-05,0.0,-0.001271913498613366
2020-09-22 16:00:00+00:00,0.0003133085401310932,0.07420722684408071,3.710361342204036e-05,0.0,0.00027620492670905287
2020-09-23 00:00:00+00:00,0.0013969800553603074,0.013272429294125976,6.636214647062988e-06,0.0,0.0013903438407132445
2020-09-23 08:00:00+00:00,-0.00019342604302638407,0.051267255246289195,2.5633627623144597e-05,0.0,-0.00021905967064952866
2020-09-23 16:00:00+00:00,-8.173569810220993e-05,0.03470465387277405,1.7352326936387026e-05,0.0,-9.908802503859695e-05
2020-09-24 00:00:00+00:00,0.0011631227724217777,0.06728359877140358,3.364179938570179e-05,0.0,0.001129480973036076
2020-09-24 08:00:00+00:00,-0.0019947932594203046,0.07130620231457702,3.565310115728851e-05,0.0,-0.002030446360577593
2020-09-24 16:00:00+00:00,0.0005139743552766013,0.04119827454121877,2.0599137270609387e-05,0.0,0.0004933752180059918
2020-09-25 00:00:00+00:00,0.00011734470965686507,0.04541890410756505,2.2709452053782525e-05,0.0,9.463525760308255e-05
2020-09-25 08:00:00+00:00,-0.0001592523590997267,0.03332866041073229,1.6664330205366144e-05,0.0,-0.00017591668930509285
2020-09-25 16:00:00+00:00,-0.00024364888692257668,0.03211052738812345,1.6055263694061725e-05,0.0,-0.0002597041506166384
2020-09-26 00:00:00+00:00,0.00014913713410402355,0.021661226420191915,1.0830613210095958e-05,0.0,0.0001383065208939276
2020-09-26 08:00:00+00:00,-0.0003804052404112108,0.013370799198570149,6.685399599285074e-06,0.0,-0.00038709064001049586
2020-09-26 16:00:00+00:00,0.00016716893289643036,0.01612076771899329,8.060383859496644e-06,0.0,0.0001591085490369337
2020-09-27 00:00:00+00:00,0.00044957790864512837,0.017825380862830198,8.9126904314151e-06,0.0,0.0004406652182137133
2020-09-27 08:00:00+00:00,-0.00021265862540705986,0.016059979890711257,8.029989945355628e-06,0.0,-0.00022068861535241548
2020-09-27 16:00:00+00:00,-0.00010459152286993622,0.01788075281362328,8.94037640681164e-06,0.0,-0.00011353189927674786
2020-09-28 00:00:00+00:00,-0.0006566994046745906,0.008633685655917323,4.316842827958661e-06,0.0,-0.0006610162475025492
2020-09-28 08:00:00+00:00,-0.0001520520589079117,0.025278145699382776,1.2639072849691388e-05,0.0,-0.0001646911317576031
2020-09-28 16:00:00+00:00,0.00015192268913248879,0.04092225654096193,2.0461128270480967e-05,0.0,0.0001314615608620078
2020-09-29 00:00:00+00:00,-0.00018147834006509685,0.04915048447408757,2.4575242237043786e-05,0.0,-0.00020605358230214063
2020-09-29 08:00:00+00:00,0.00022381762822077945,0.022875906246425604,1.1437953123212802e-05,0.0,0.00021237967509756664
2020-09-29 16:00:00+00:00,-0.0009775816075654597,0.009053656474662664,4.526828237331332e-06,0.0,-0.000982108435802791
2020-09-30 00:00:00+00:00,-0.00012150676613445824,0.028973083783440323,1.4486541891720162e-05,0.0,-0.0001359933080261784
2020-09-30 08:00:00+00:00,0.00010769511837141666,0.025110458560096194,1.2555229280048097e-05,0.0,9.513988909136856e-05
2020-09-30 16:00:00+00:00,-8.141545466799064e-05,0.02386082681639068,1.1930413408195339e-05,0.0,-9.334586807618597e-05
2020-10-01 00:00:00+00:00,-0.0010602448523061886,0.006739091282092158,3.369545641046079e-06,0.0,-0.0010636143979472347
2020-10-01 08:00:00+00:00,-0.0003429821144583956,0.025233052761761077,1.2616526380880538e-05,0.0,-0.0003555986408392761
2020-10-01 16:00:00+00:00,-0.0006313249908865496,0.0495280070347055,2.4764003517352752e-05,0.0,-0.0006560889944039024
2020-10-02 00:00:00+00:00,0.0003374323432906876,0.02373295430314007,1.1866477151570035e-05,0.0,0.00032556586613911756
2020-10-02 08:00:00+00:00,-0.0006966319675575107,0.06460761236402227,3.2303806182011135e-05,0.0,-0.0007289357737395219
2020-10-02 16:00:00+00:00,0.0005144809495287615,0.014364351649181428,7.182175824590714e-06,0.0,0.0005072987737041708
2020-10-03 00:00:00+00:00,0.00011476198866313566,0.016654686456044454,8.327343228022227e-06,0.0,0.00010643464543511343
2020-10-03 08:00:00+00:00,-0.0004552056841090125,0.01093950916208239,5.469754581041195e-06,0.0,-0.0004606754386900537
2020-10-03 16:00:00+00:00,-0.0008017092644466552,0.01133654331250919,5.668271656254595e-06,0.0,-0.0008073775361029098
2020-10-04 00:00:00+00:00,4.8736636603463835e-05,0.01980128864542341,9.900644322711704e-06,0.0,3.883599228075213e-05
2020-10-04 08:00:00+00:00,-0.0010090872177915984,0.015620834880857581,7.810417440428791e-06,0.0,-0.0010168976352320272
2020-10-04 16:00:00+00:00,-0.00030388763499936215,0.027911926528086245,1.3955963264043123e-05,0.0,-0.0003178435982634053
2020-10-05 00:00:00+00:00,-0.0007446355894494617,0.02390371450044304,1.195185725022152e-05,0.0,-0.0007565874466996832
2020-10-05 08:00:00+00:00,-2.6784540585243473e-05,0.011585658286087347,5.792829143043673e-06,0.0,-3.257736972828715e-05
2020-10-05 16:00:00+00:00,3.552236754223993e-05,0.03539293876149155,1.7696469380745776e-05,0.0,1.7825898161494156e-05
2020-10-06 00:00:00+00:00,-0.0006950208158150713,0.012871847532373915,6.435923766186958e-06,0.0,-0.0007014567395812583
2020-10-06 08:00:00+00:00,-0.000472123881636629,0.03303217525645394,1.651608762822697e-05,0.0,-0.000488639969264856
2020-10-06 16:00:00+00:00,-0.0010511974440038743,0.030811627018091953,1.5405813509045978e-05,0.0,-0.0010666032575129202
