variant,symbol,fold,initial_capital,final_value,profit,total_return,annualized_return,max_drawdown,sharpe_ratio,total_fees,trade_count,win_rate,profit_factor,average_trade,elapsed_days
base,BTCUSDT,1,5000.0,5600.0302084235145,600.0302084235145,0.12000604168470286,0.18796419162054057,-0.01606750592470696,2.8565519289726202,15.656170823659014,9,0.4444444444444444,8.33030006479625,66.67002315816814,240.33333333333334
base,BTCUSDT,2,5000.0,5055.086320219458,55.086320219457775,0.011017264043891473,0.01677976607184739,-0.030362622450971655,0.5195457198519859,24.02741130354292,15,0.26666666666666666,1.2119028610248321,3.672421347963705,240.5
base,BTCUSDT,3,5000.0,5202.0117197881955,202.01171978819548,0.040402343957639086,0.0620426399668117,-0.03394896488250676,1.551612877861955,23.20337735905325,16,0.25,2.3732845346834774,12.625732486762287,240.33333333333334
base,BTCUSDT,4,5000.0,5140.59842149941,140.5984214994096,0.028119684299881875,0.04301573605752451,-0.01398218133180451,1.394125793128359,16.534710466548212,12,0.5,2.520113508082195,11.716535124950758,240.5
base,BTCUSDT,5,5000.0,5040.102977166502,40.10297716650166,0.00802059543330036,0.012214789135444049,-0.029314743136839683,0.3810964155203687,35.968303061027235,18,0.3333333333333333,1.1603563064021163,2.2279431759165993,240.33333333333334
base,BTCUSDT,6,5000.0,4967.464693565491,-32.53530643450904,-0.006507061286901816,-0.00986565035976339,-0.017284356249433697,-0.45019066960169957,16.440837614786624,10,0.5,0.5057312799752568,-3.253530643450985,240.5
base,ETHUSDT,1,5000.0,5054.647035676905,54.647035676905034,0.01092940713538093,0.01665721834239453,-0.04172703182769433,0.44621661262479795,17.5483296176881,16,0.25,1.2798978331870914,3.4154397298064976,240.33333333333334
base,ETHUSDT,2,5000.0,5044.167697232106,44.16769723210564,0.00883353944642118,0.01344628576521667,-0.01886382756137195,0.38272936442911215,17.427889201213016,12,0.3333333333333333,1.3168883108597298,3.680641436008905,240.5
base,ETHUSDT,3,5000.0,4985.156176462595,-14.843823537405115,-0.0029687647074809753,-0.00450833971208664,-0.04775807111131791,-0.0973116505147857,21.181070264482475,19,0.15789473684210525,0.9505775389361145,-0.7812538703897429,240.33333333333334
base,ETHUSDT,4,5000.0,4905.161276818193,-94.83872318180693,-0.018967744636361417,-0.028664378004722768,-0.0217347722040947,-1.3840159504591458,12.875508491805045,12,0.16666666666666666,0.4115487019133857,-7.903226931817305,240.5
