variant,score,gate_passed,fold_count,profitable_fold_ratio,median_fold_return,worst_fold_return,median_sharpe,worst_max_drawdown,total_trades
trailing_plus_20pct,1.3792472938505131,True,12,0.75,0.02514930051147579,-0.04117600524735132,0.9860021022993125,-0.04979266228733337,156
trailing_minus_20pct,0.9952602624555917,False,12,0.6666666666666666,0.01565994119636749,-0.04595304589226179,0.6911932561213121,-0.05535650009712134,181
entry_plus_20pct,0.9100233541623981,False,12,0.6666666666666666,0.013099021820877632,-0.03889298268985042,0.6020798989252552,-0.04860481594058863,159
exit_minus_20pct,0.8744024713179093,False,12,0.6666666666666666,0.011916429517807137,-0.037393260306126885,0.5681899405256012,-0.04775807111131791,171
stop_minus_20pct,0.8299069797981514,False,12,0.75,0.013828272040560474,-0.04873892613597419,0.4970717439078579,-0.0551529975747872,172
ema_minus_20pct,0.800251253908746,False,12,0.75,0.010298359206169727,-0.030473041624840103,0.44500390033374726,-0.04571303358707157,171
exit_plus_20pct,0.7397676850023795,False,12,0.6666666666666666,0.009925401745156326,-0.04220239872606402,0.451137542140549,-0.05021473082265748,166
stop_plus_20pct,0.7308851499786115,False,12,0.75,0.007485023306304961,-0.030617811007379925,0.38718067876815154,-0.03747803452003873,160
base,0.7070981436632073,False,12,0.6666666666666666,0.009881473290901055,-0.04011703568034264,0.414472988526955,-0.04814681261208931,168
ema_plus_20pct,0.6322815715379131,False,12,0.6666666666666666,0.008063214382754258,-0.044326051693385105,0.3553474840603329,-0.049594822705676056,167
entry_minus_20pct,0.4133613989081153,False,12,0.5833333333333334,0.004097106611387291,-0.03672786748267265,0.17876204076124477,-0.045269376659948124,184
