open_time,net_pnl,base_return,risk_position,gross_exposure,turnover,filter_trading_cost,financing_cost,equity
2016-09-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-09-13 00:00:00+00:00,-0.0005,0.0,1.0,1.0,1.0,0.0005,0.0,0.9995
2016-09-14 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-15 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-16 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-19 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-20 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-21 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-22 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-23 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-26 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-27 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-28 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-29 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-09-30 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-03 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-04 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-05 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-06 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-07 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-10 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-11 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-12 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-13 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
2016-10-14 00:00:00+00:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9995
