scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,average_risk_position,filter_switches,total_filter_cost,average_position,max_position,total_overlay_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
BASE_BLEND_1x,10000.0,452428.8127742839,44.242881277428395,0.46442933299489164,0.34926017806111237,1.7618750237704681,2.3682128565365135,1.4001012331532863,-0.3317112520134784,-0.12469027412833289,411.0,1.3190564515119,0.536808595304417,,,,,,,2.2000557130490312,-0.2636864291704868,0.5833333333333334,3650.0,0.7777777777777778,9,0.7906672746113024,,,,,,,0.0004,0.0004,True,True,False,False,False,True,False
CURVE_FILTER_1x,10000.0,365983.5521284286,35.59835521284286,0.43368335524703205,0.3268436405981266,1.764878322180871,2.356784645703932,1.3103733918378222,-0.3309616617281761,-0.126498034914036,419.0,1.332859685749506,0.4970155192996419,,,,,,,2.1630756927905965,-0.28119682337706087,0.575,3650.0,0.7777777777777778,9,0.8261628688997972,0.9235972940708317,115.0,575.0,,,,0.0004,0.0004,True,True,False,False,False,True,False
CURVE_FILTER_2x,10000.0,4452749.082499335,444.2749082499335,0.840959503318577,0.6536643623978757,1.6830225459876604,2.264392796679592,1.435080736302737,-0.586001527332308,-0.2535042053711901,500.0,1.3151578119063358,0.4950258654994031,,,,,,,7.500973538953815,-0.5132710603658774,0.5583333333333333,3650.0,0.7777777777777778,9,0.7434868612784319,0.9235972940708317,115.0,1150.0,,,,0.0004,0.0004,True,True,False,False,False,True,False
CURVE_FILTER_3x,10000.0,25959254.122143507,2594.9254122143507,1.1961554458522121,0.9804854150833442,1.6557354529095594,2.228671268812754,1.5881839171025185,-0.7531592739173919,-0.36653017164423407,507.0,1.3093094538003185,0.4934341424592121,,,,,,,19.24977461914502,-0.6778343382467632,0.5416666666666666,3650.0,0.7777777777777778,9,0.7159277212596926,0.9235972940708317,115.0,1724.9999999999998,,,,0.0004,0.0004,True,True,False,False,False,True,False
CURVE_FILTER_RISK_OVERLAY,10000.0,304728.9996875233,29.47289996875233,0.4076445932224706,0.2846825324809743,1.8869501529737955,2.5779004701907,1.6426874648692065,-0.2481571217534846,-0.11091013489568094,419.0,1.3851159848507908,0.4958217270194986,,,,,,,1.8346588571324274,-0.20032402186932985,0.5583333333333333,3650.0,0.7777777777777778,9,0.9591176686759882,,,,0.8125758164309,3.0,594.2118147656684,0.0004,0.0004,True,True,False,False,False,True,False
