date,hedged_return,unhedged_return,weight_hedged,weight_unhedged,turnover,leverage,net_return
2014-02-18 14:30:00+00:00,0.007748606144140302,0.008572486729490514,1.5162796136693981,-1.5175192416163366,3.0,3.0,-0.003071138338342778
2014-02-19 14:30:00+00:00,0.0008094350562608543,-0.006710159667817517,1.5008849298781062,-1.4908258341030698,0.0,3.0,0.01107480882431118
2014-02-20 14:30:00+00:00,0.0,0.0034527819842049556,1.5091593700637504,-1.504220693022462,0.0,3.0,-0.005482814041895866
2014-02-21 14:30:00+00:00,0.0,0.0019448283898302332,1.5140964883027532,-1.5120766762301039,0.0,3.0,-0.0032607685686776525
2014-02-24 14:30:00+00:00,0.0,0.008660810676597075,1.5347093651260937,-1.5459361512684129,0.0,3.0,-0.013431127281644563
2014-02-25 14:30:00+00:00,0.006469744445058767,-0.002368835924708712,1.5244307960841814,-1.522097268816102,0.0,3.0,0.013255929021917289
2014-02-26 14:30:00+00:00,0.0012052659609600447,-0.0034126543399410902,1.516115595446571,-1.5068126283449759,0.0,3.0,0.006696418938279778
2014-02-27 14:30:00+00:00,0.0,0.0034243404301714797,1.5244929231979862,-1.5203269025634392,0.0,3.0,-0.005495156864252113
2014-02-28 14:30:00+00:00,0.0,0.001781030689605334,1.5291462165663483,-1.5276834936406107,0.0,3.0,-0.003043066332015564
2014-03-03 14:30:00+00:00,-0.020866693092852162,-0.021181942828631617,1.4685396805796,-1.4680668575809148,0.05682971020695904,3.0,0.00010914228824824239
2014-03-04 14:30:00+00:00,0.02090164023215868,0.019823989175177248,1.4973529513331232,-1.4952907731505825,0.0,3.0,0.0012566291166860302
2014-03-05 14:30:00+00:00,0.0,-0.0008901037551627411,1.4958636000172862,-1.4924738329121627,0.0,3.0,0.0009956464719240716
2014-03-06 14:30:00+00:00,0.00321167410254497,0.010396376959480591,1.517431517012905,-1.5248356404917178,0.0,3.0,-0.011047411644317948
